item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1487044395000.0,1751614418000.0,1449241028000.0,2177111034000.0,1188212681000.0,1501800600000.0,995262050000.0,1020854527000.0,1064809061000.0,1506703178000.0,2507334100000.0,2418776459000.0,2967392293000.0,3148972127000.0,3501501869000.0,3965775492000.0,3934366379000.0,4194158912000.0,3532814296000.0,3901652742000.0,3788515137000.0,3533019598000.0,3594754713000.0,3190743770000.0,3092453999000.0,3653560748000.0,3730896477000.0,3868356182000.0,1392705405000.0,1614307150000.0,2041032710000.0,2394678543000.0,2993103444000.0,8137876711000.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1269922000.0,-4388538000.0,-65712208000.0,-4215594000.0,-5138392000.0,-4734135000.0,-5263814000.0,-4540328000.0,-490265000.0,-4858919000.0,-3555163000.0,-2013226000.0,-4210466000.0,-4808492000.0,-2747547000.0,-2984489000.0,-1401514000.0,-4336219000.0,-216457000.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,1487044395000.0,1751614418000.0,1449241028000.0,2177111034000.0,1188212681000.0,1501800600000.0,995262050000.0,1020854527000.0,1064809061000.0,1505433256000.0,2502945562000.0,2353064251000.0,2963176699000.0,3143833735000.0,3496767734000.0,3960511678000.0,3929826051000.0,4193668647000.0,3527955377000.0,3898097579000.0,3786501911000.0,3528809132000.0,3589946221000.0,3187996223000.0,3089469510000.0,3652159234000.0,3726560258000.0,3868139725000.0,1392705405000.0,1614307150000.0,2041032710000.0,2394678543000.0,2993103444000.0,8137876711000.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-974394718000.0,-1128340511000.0,-1072015355000.0,-1528798700000.0,-833904835000.0,-1144971894000.0,-1030391909000.0,-961876660000.0,-912208113000.0,-1572301462000.0,-2405216642000.0,-2375092897000.0,-2773923574000.0,-2589819947000.0,-2998188023000.0,-2931953795000.0,-3246957521000.0,-3440979145000.0,-2960451763000.0,-3524305115000.0,-3245564308000.0,-3298790409000.0,-3191984484000.0,-3572628042000.0,-3203166715000.0,-3291186783000.0,-3461808841000.0,-3487459767000.0,-1246305559000.0,-1216331989000.0,-1640883743000.0,-1963872635000.0,-2076278385000.0,-6075600592000.0
Lợi nhuận gộp,Gross Profit,gross_profit,512649677000.0,623273907000.0,377225673000.0,648312334000.0,354307846000.0,356828706000.0,-35129859000.0,58977867000.0,152600948000.0,-66868206000.0,97728920000.0,-22028646000.0,189253125000.0,554013788000.0,498579711000.0,1028557883000.0,682868530000.0,752689502000.0,567503614000.0,373792464000.0,540937603000.0,230018723000.0,397961737000.0,-384631819000.0,-113697205000.0,360972451000.0,264751417000.0,380679958000.0,146399846000.0,397975161000.0,400148967000.0,430805908000.0,916825059000.0,2062276119000.0
Doanh thu hoạt động tài chính,Financial income,financial_income,16241222000.0,18900665000.0,64845317000.0,26803545000.0,11838844000.0,26893087000.0,694125911000.0,198822418000.0,38429903000.0,470124876000.0,79193274000.0,58734295000.0,96111292000.0,38924887000.0,96069799000.0,113516968000.0,107166898000.0,127747218000.0,199465519000.0,35854201000.0,103629845000.0,140896899000.0,111808219000.0,128976355000.0,66339967000.0,117612135000.0,138750561000.0,1594630838000.0,42843197000.0,56931247000.0,34981416000.0,49091529000.0,84548611000.0,61180075000.0
Chi phí tài chính,Financial expenses,financial_expenses,-284118570000.0,-294188718000.0,-320823111000.0,-305699597000.0,-306422573000.0,-333335498000.0,-347137205000.0,-303765913000.0,-341258250000.0,-428446172000.0,-429502718000.0,-453760859000.0,-344248413000.0,-357426361000.0,-364419245000.0,-369358185000.0,-380800338000.0,-452072058000.0,-591593994000.0,-493026933000.0,-498491454000.0,-649770237000.0,-547197861000.0,-500384304000.0,-519870078000.0,-683110054000.0,-479082498000.0,-602333511000.0,-338288824000.0,-324317836000.0,-298264549000.0,-292592608000.0,-311733949000.0,-313988789000.0
Chi phí lãi vay,Interest expenses,interest_expenses,-265253213000.0,0.0,-268030853000.0,-277230747000.0,-264147985000.0,-300254746000.0,-236076047000.0,-361040828000.0,-281796296000.0,-572959440000.0,-381970632000.0,-244995835000.0,-270997487000.0,-305705744000.0,-282153021000.0,-250350165000.0,-262066766000.0,-269824539000.0,-289695157000.0,-298401622000.0,-346278595000.0,-392108115000.0,-397761906000.0,-366867278000.0,-365777027000.0,-349552616000.0,-334732258000.0,-321607258000.0,-256538153000.0,-256028849000.0,-256789416000.0,-250715520000.0,-236621304000.0,-310266740000.0
Chi phí bán hàng,Selling expenses,selling_expenses,-31136397000.0,-27886760000.0,-24793585000.0,-20514815000.0,-20721525000.0,-28348983000.0,-31051789000.0,-24660073000.0,-17177127000.0,-59801128000.0,-63659195000.0,-85577483000.0,-92608795000.0,-106730872000.0,-117373505000.0,-128909221000.0,-125641190000.0,-110968246000.0,-109911375000.0,-106454130000.0,-99117839000.0,-86899944000.0,-98395069000.0,-92766716000.0,-80590704000.0,-90593183000.0,-91774299000.0,-98751198000.0,-23204597000.0,-25126603000.0,-23137388000.0,-27700061000.0,-25322774000.0,-26808357000.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-35107586000.0,-51383047000.0,-19356094000.0,-21175919000.0,-26581396000.0,-24132953000.0,-27215366000.0,-64077428000.0,-22016353000.0,-55368016000.0,-190298464000.0,-3748428000.0,-136450772000.0,-156970954000.0,-161261265000.0,-183347689000.0,-160622821000.0,-169210817000.0,-143468384000.0,-114674821000.0,-78918454000.0,-166795393000.0,-138936365000.0,-114922276000.0,-117222313000.0,-116513844000.0,-117599338000.0,-100991466000.0,-15307796000.0,-34272153000.0,-101172836000.0,72142934000.0,-69761380000.0,3904954000.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,178528346000.0,268716047000.0,77098200000.0,327725548000.0,12421196000.0,-2095641000.0,253591692000.0,-134703129000.0,-189420879000.0,-140590744000.0,-519500222000.0,-522675187000.0,-284184698000.0,-27283836000.0,-47162589000.0,457617866000.0,130931021000.0,149924717000.0,-73783925000.0,-304490436000.0,-28544417000.0,-530000122000.0,-271818531000.0,-962925356000.0,-758185440000.0,-407048481000.0,-280292739000.0,1187450940000.0,-187558174000.0,71189816000.0,12555610000.0,231747702000.0,594555567000.0,1786564002000.0
Thu nhập khác,Other incomes,other_incomes,814623000.0,814912000.0,216363000.0,252879000.0,968182000.0,120563000.0,1216923808000.0,12016857000.0,2393272000.0,2140288000.0,902748140000.0,519472587000.0,3623029000.0,351286000.0,88474654000.0,49723923000.0,56364863000.0,27047855000.0,18580696000.0,69649519000.0,17966174000.0,2150209000.0,12768384000.0,148193965000.0,6059221000.0,34036580000.0,5926882000.0,23519651000.0,1606405000.0,4482748000.0,1037139000.0,3088198000.0,3941416000.0,1954055000.0
Chi phí khác,Other expenses,other_expenses,-5792667000.0,-5715657000.0,-6034713000.0,-8511337000.0,-5830000000.0,-6052093000.0,-899211354000.0,17636262000.0,-500205000.0,-22271014000.0,-10269365000.0,-22119638000.0,-14320987000.0,-9560571000.0,-3837558000.0,-56924605000.0,-20206478000.0,-17010785000.0,-22103526000.0,-37549922000.0,-6249760000.0,-9139804000.0,-5930401000.0,-20483165000.0,-1705991000.0,-48139696000.0,-17438395000.0,-677752218000.0,-30181966000.0,-57601004000.0,108273000.0,-1598764000.0,-17669217000.0,-40462431000.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-4978044000.0,-4900745000.0,-5818350000.0,-8258458000.0,-4861818000.0,-5931530000.0,317712454000.0,29653119000.0,1893067000.0,-20130726000.0,892478775000.0,497352949000.0,-10697958000.0,-9209285000.0,84637096000.0,-7200682000.0,36158385000.0,10037070000.0,-3522830000.0,32099597000.0,11716414000.0,-6989595000.0,6837983000.0,127710800000.0,4353230000.0,-14103116000.0,-11511513000.0,-654232567000.0,-28575561000.0,-53118256000.0,1145412000.0,1489434000.0,-13727801000.0,-38508376000.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,173550302000.0,263815302000.0,71279850000.0,319467090000.0,7559378000.0,-8027171000.0,571304146000.0,-105050010000.0,-187527812000.0,-160721470000.0,372978553000.0,-25322238000.0,-294882656000.0,-36493121000.0,37474507000.0,450417184000.0,167089406000.0,159961787000.0,-77306755000.0,-272390839000.0,-16828003000.0,-536989717000.0,-264980548000.0,-835214556000.0,-753832210000.0,-421151597000.0,-291804252000.0,533218373000.0,-216133735000.0,18071560000.0,13701022000.0,233237136000.0,580827766000.0,1748055626000.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-6084587000.0,-17636244000.0,-1473435000.0,-9995899000.0,-4150585000.0,-7575309000.0,-104498964000.0,-22337290000.0,-185319000.0,-46541643000.0,45455490000.0,-19383186000.0,-2114392000.0,-9088350000.0,-14584754000.0,-33919587000.0,-5315389000.0,-28388749000.0,-20422591000.0,8864163000.0,-5785042000.0,-9510733000.0,-22133870000.0,-19560124000.0,-14880383000.0,-20354622000.0,-23495003000.0,-250979181000.0,-7112278000.0,-1237131000.0,-11604892000.0,-13550005000.0,-49264374000.0,-96453605000.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-182989000.0,10839641000.0,-8205641000.0,14628289000.0,-1939797000.0,15686361000.0,4199678000.0,7223378000.0,-3484476000.0,5813462000.0,37028363000.0,150538496000.0,16241940000.0,63775774000.0,17589584000.0,66707500000.0,-36143991000.0,66088924000.0,68306048000.0,74809044000.0,36226695000.0,46271133000.0,73629057000.0,25265007000.0,66333992000.0,97640161000.0,-18817536000.0,-488476392000.0,1238778000.0,-11190954000.0,3065876000.0,2807586000.0,5115810000.0,14050735000.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-6267576000.0,-6796603000.0,-9679076000.0,4632390000.0,-6090382000.0,8111052000.0,-100299286000.0,-15113912000.0,-3669795000.0,-40728181000.0,82483853000.0,131155310000.0,14127548000.0,54687424000.0,3004830000.0,32787913000.0,-41459380000.0,37700175000.0,47883457000.0,83673207000.0,30441653000.0,36760400000.0,51495187000.0,5704883000.0,51453609000.0,77285539000.0,-42312539000.0,-739455573000.0,-5873500000.0,-12428085000.0,-8539016000.0,-10742419000.0,-44148564000.0,-82402870000.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,167282726000.0,257018699000.0,61600774000.0,324099480000.0,1468996000.0,83881000.0,471004860000.0,-120163922000.0,-191197607000.0,-201449651000.0,455462406000.0,105833072000.0,-280755108000.0,18194303000.0,40479337000.0,483205097000.0,125630026000.0,197661962000.0,-29423298000.0,-188717632000.0,13613650000.0,-500229317000.0,-213485361000.0,-829509673000.0,-702378601000.0,-343866058000.0,-334116791000.0,-206237200000.0,-222007235000.0,5643475000.0,5162006000.0,222494717000.0,536679202000.0,1665652756000.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,50237729000.0,73890416000.0,22117211000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3235851000.0,-2416497000.0,23663837000.0,12065608000.0,16148031000.0,20423751000.0,16874919000.0,2805803000.0,21548723000.0,7652715000.0,4119200000.0,9140388000.0,14503316000.0,15941863000.0,6688052000.0,15893332000.0,15456074000.0,10897836000.0,9610793000.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,117044997000.0,183128283000.0,39483563000.0,324099480000.0,1468996000.0,83881000.0,471004860000.0,-120163922000.0,-191197607000.0,-198213800000.0,457878903000.0,82169235000.0,-292820716000.0,2046272000.0,20055586000.0,466330178000.0,122824223000.0,176113239000.0,-37076013000.0,-192836832000.0,4473262000.0,-514732633000.0,-229427224000.0,-836197725000.0,-718271933000.0,-359322132000.0,-345014627000.0,-215847993000.0,-222007235000.0,5643475000.0,5162006000.0,222494717000.0,536679202000.0,1665652756000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,163.0,254.0,44.0,360.0,2.0,0.0,523.0,-121.0,-193.0,-201.0,463.0,82.0,-266.0,1.0,19.0,424.0,112.0,160.0,-34.0,-175.0,4.0,-468.0,-209.0,-761.0,-653.0,-327.0,-314.0,-196.0,-202.0,5.0,5.0,202.0,488.0,1514.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
