item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2698835,2713502,2715178,2717411
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,719447328,899309122,899309122,899309122
Vốn hóa,Market Cap,market_cap,13970228215104.0,19296475830754.0,16219939324392.0,18348604016166.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,50.0128435148,43.5377804106,36.2225863128,27.643584521
P/B,P/B,pb_ratio,1.1922145466,1.6214150691,1.3722977237,1.5131678419
P/S,P/S,ps_ratio,2.4441426877,3.1712893109,2.6310812757,2.6727712964
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,10.8892006847,15.0318064907,11.0327960758,20.4549707702
EV/EBITDA,EV/EBITDA,ev_to_ebitda,9.0392225838,9.8444526212,9.010065239,9.2463794571
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.1021729472,0.2542942819,0.1246402496,0.1139021323
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.3812127258,0.5973045486,0.528301119,0.6552267849
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,0.7183703305,1.0070967366,0.9782702251,1.0565033051
Vốn chủ sở hữu,Owners Equity,owners_equity,0.6552903656,0.7225707545,0.8033925928,0.7827019255
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.941384726,0.9295347453,0.9666824219,0.9861796053
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,1.2086255196,1.223949703,1.3318556554,1.3049011238
ROE (%),ROE (%),roe,0.0233494962,0.0365594496,0.0369719433,0.0549977972
ROA (%),ROA (%),roa,0.0104105665,0.016362556,0.0163932128,0.0240957025
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,20.7997631532,20.5605702932,19.2277327967,35.3280484253
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,124.2847902132,131.1785019311,141.228467041,118.5384777245
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,44.2508113075,42.0278605853,40.6552383261,37.2643612864
Biên LN gộp (%),Gross Margin (%),gross_margin,0.3220573157,0.3406669328,0.3312356975,0.3148518816
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.2751967938,0.2952112092,0.2884043227,0.2811513956
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.0753389482,0.1047372683,0.1041618435,0.1206280018
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.0744735811,0.1051385992,0.1024684311,0.117989861
Vòng quay tài sản,Asset Turnover,asset_turnover,0.2130244019,0.2246371431,0.2256884165,0.2492138367
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,1572969546000.0,1796283910000.0,1777938469000.0,1930107388000.0
EBITDA,EBITDA,ebitda,2762825410000.0,3030773659000.0,3012799733000.0,3166016166000.0
ROIC,ROIC,roic,0.0665274752,0.0748591505,0.07648594,0.0801395741
Chu kỳ tiền,Cash Cycle,cash_cycle,219.4070776424,223.0017263999,233.5161735909,221.5536108293
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,0.3111457553,0.3294914094,0.3316961722,0.3694306057
Đòn bẩy tài chính,Financial Leverage,financial_leverage,1.2086255196,1.223949703,1.3318556554,1.3049011238
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
