item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,18987675255015.0,19674745908177.0,20874017598029.0,23389569670395.0,25629416426212.0,27617536973491.0,26686795166646.0,35011896908246.0,30121859890958.0,30910452111818.0,32884121759949.0,37425547622436.0,40807257390563.0,44190714249021.0,35015204067827.0,51976153923199.0,51376792032818.0,48128776434046.0,50122470481874.0,44631140049888.0,43359007145864.0,49859318033009.0,49825377770911.0,51946979209618.0,56259440492906.0,59688208633825.0,61074953380269.0,65836422620040.0,68350202307085.0,75933600138863.0,75125383121673.0,77201650782966.0,76834611871316.0,97732971950687.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,2344357965889.0,2904599435150.0,5069778230756.0,3749550258212.0,2839159906918.0,3292659082600.0,3697191147790.0,3177236816468.0,3273375468382.0,2166228016587.0,2590965281039.0,7347957397925.0,2203952214497.0,4617786523255.0,3215215954814.0,4943933460193.0,3259252088558.0,2897829353037.0,7065242844865.0,5061020547422.0,2781240200379.0,3441539364017.0,2351917872085.0,5365704857172.0,5570878069236.0,5776462799036.0,9752339611719.0,4897331540730.0,2658218136149.0,6030067748439.0,5510816169528.0,4999925717187.0,4553652582201.0,17993680960722.0
Tiền,Cash,cash,1393331705506.0,2059221030725.0,2584448230756.0,3363717276954.0,2791159906918.0,2942659082600.0,2671770369327.0,2024347938868.0,3047500270292.0,2117241629042.0,2531477281039.0,2243374466174.0,2059947172526.0,3663573676679.0,1839361622984.0,2606672264502.0,3249246887868.0,2837829353037.0,5495702195487.0,3846020547422.0,2681240200379.0,3091539364017.0,2351917872085.0,4795636583222.0,5103733569236.0,4564646301553.0,3283839611719.0,4697331540730.0,2658218136149.0,5730067748439.0,5510816169528.0,4960375717187.0,4553652582201.0,17993680960722.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,951026260383.0,845378404425.0,2485330000000.0,385832981258.0,48000000000.0,350000000000.0,1025420778463.0,1152888877600.0,225875198090.0,48986387545.0,59488000000.0,5104582931751.0,144005041971.0,954212846576.0,1375854331830.0,2337261195691.0,10005200690.0,60000000000.0,1569540649378.0,1215000000000.0,100000000000.0,350000000000.0,0.0,570068273950.0,467144500000.0,1211816497483.0,6468500000000.0,200000000000.0,0.0,300000000000.0,0.0,39550000000.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2567500000.0,663002153844.0,659851105432.0,50922451739.0,3830000000000.0,6133400000000.0,4275400000000.0,3075000000000.0,3800000000000.0,8712400000000.0,10598354547946.0,8057318821918.0,12622967473973.0,13524445343145.0,6814280806241.0,13434708637069.0,11699727339355.0,12320647805155.0,8846233086123.0,10059049605640.0,17028152930606.0,20978938278068.0,20901865637222.0,18937008073823.0,24673243705959.0,25180620627700.0,21548922441819.0,29324441756320.0,32390515015620.0,34303249939745.0,33436260988199.0,33874270102700.0,41831153715755.0,45665099166818.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1730824187579.0,1433869348388.0,1505154445936.0,1560104650074.0,1919077775479.0,1309517488724.0,1247264512387.0,1815085561979.0,1443027344349.0,1286574635638.0,1466027079598.0,1703464670665.0,1738733670248.0,2774679155325.0,2787721676605.0,3162121971586.0,2624431249599.0,3756036864744.0,4647579247244.0,3072093853367.0,1916483442480.0,2616211969186.0,3076466093091.0,5158853337785.0,4862847451165.0,7120709443487.0,7355271408055.0,8825896224771.0,9862532179881.0,11374184436260.0,11515134739245.0,10182835978469.0,2121015956014.0,2434312355641.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,337929921139.0,389783195002.0,417878278560.0,380144545257.0,416047422558.0,486349557247.0,213184365169.0,262268362817.0,203722665005.0,293731036207.0,163056682102.0,196394545434.0,216790068593.0,288150545779.0,189752539769.0,384236578232.0,231867971687.0,377447704388.0,210748997022.0,178061365251.0,113839506188.0,218495722481.0,192130085127.0,308474343927.0,307572402792.0,347552799612.0,232971309862.0,241405396887.0,238308586301.0,307952455563.0,203255755385.0,253358838280.0,255239898353.0,421858877183.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,40635659294.0,83457888055.0,85909526091.0,21007291749.0,74524468807.0,144832642778.0,192839602672.0,187734040886.0,305554754694.0,254384038052.0,416448184622.0,287913331552.0,369838632437.0,461197411849.0,635727476555.0,390738782756.0,388782013277.0,525160315885.0,599960435092.0,465041812093.0,317182014758.0,157337870026.0,182052135682.0,95981093251.0,47835419540.0,89769785614.0,99504470546.0,115888383111.0,62660193813.0,38235583466.0,34907414898.0,141627187798.0,162975645383.0,80803683167.0
