item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,49034501493892.0,46709163270992.0,42567697264574.0,40091343632319.0,37844160678840.0,36332913479242.0,34793923302149.0,34361569620937.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-283217941935.0,-247211244219.0,-246985876032.0,-238836479673.0,-224192018870.0,-197955061033.0,-220002524817.0,-214900932986.0
Doanh thu thuần,Net sales,net_sales,48751283551957.0,46461952026773.0,42320711388542.0,39852507152646.0,37619968659970.0,36134958418209.0,34573920777332.0,34146668687951.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-37942073479846.0,-36751850587457.0,-33566132141982.0,-32374320274746.0,-30051267999814.0,-28934547803004.0,-27986951875213.0,-27254757625648.0
Lợi nhuận gộp,Gross Profit,gross_profit,10809210072111.0,9710101439316.0,8754579246560.0,7478186877900.0,7568700660156.0,7200410615205.0,6586968902119.0,6891911062303.0
Doanh thu hoạt động tài chính,Financial income,financial_income,957393430430.0,857866587527.0,836153921612.0,809068897431.0,768832246965.0,693293667931.0,635695584388.0,575388786548.0
Chi phí tài chính,Financial expenses,financial_expenses,-453084595743.0,-421767358286.0,-390297766478.0,-410743275636.0,-402454468644.0,-339023162705.0,-189071963171.0,-330440626256.0
Chi phí lãi vay,Interest expenses,interest_expenses,-436321054832.0,-415448904085.0,-384665886359.0,-388038374707.0,-375178482038.0,-322792850500.0,-323470486929.0,-303696061820.0
Chi phí bán hàng,Selling expenses,selling_expenses,-5980272600628.0,-5284908877085.0,-5653780496399.0,-4570833491508.0,-4703283205201.0,-4403006343750.0,-5123108197082.0,-4848950073481.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-1317458502119.0,-1523180115533.0,-1060394369967.0,-1119414262509.0,-1201666094080.0,-1214599786616.0,-916356723640.0,-967618855194.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,4034437503208.0,3347123417867.0,2492183508086.0,2190441447033.0,2041250769970.0,1940204764365.0,996550122732.0,1320438170928.0
Thu nhập khác,Other incomes,other_incomes,6297681218.0,12428594028.0,32588128920.0,6915715579.0,1186376818.0,12087549570.0,8777694085.0,6069253262.0
Chi phí khác,Other expenses,other_expenses,-7738687114.0,-31967712004.0,-26921362255.0,-25005996533.0,-14232391412.0,-17630926715.0,30143437181.0,-258462023583.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-1441005896.0,-19539117976.0,5666766665.0,-18090280954.0,-13046014594.0,-5543377145.0,38921131266.0,-252392770321.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,4032996497312.0,3327584299891.0,2497850274751.0,2172351166079.0,2028204755376.0,1934661387220.0,1035471253998.0,1068045400607.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-736654017444.0,-797012204332.0,-476436593042.0,-477289656191.0,-370110858352.0,-397722415583.0,-356954512092.0,-273572425416.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,58555240749.0,226984924968.0,62180680595.0,88604124097.0,-564776114.0,10894797039.0,173627384384.0,11313526349.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-678098776695.0,-570027279364.0,-414255912447.0,-388685532094.0,-370675634466.0,-386827618544.0,-183327127708.0,-262258899067.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,3354897720617.0,2757557020527.0,2083594362304.0,1783665633985.0,1657529120910.0,1547833768676.0,852144126290.0,805786501540.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,52350747326.0,43126168421.0,14845847084.0,12766716681.0,9382874206.0,1896677735.0,5139744085.0,5636522106.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,3302546973291.0,2714430852106.0,2068748515220.0,1770898917304.0,1648146246704.0,1545937090941.0,847004382205.0,800149979434.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2255.0,1849.0,1400.0,1198.0,1117.0,1058.0,580.0,547.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,2255.0,1849.0,1400.0,1198.0,1117.0,1058.0,580.0,547.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,18649699157.0,9011741928.0,5922972758.0,4176701355.0,11121630774.0,3129774300.0,2422520118.0,147877008.0
