item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,575561981999.0,480775587035.0,532734107651.0,595206196703.0,655190335901.0,681651288391.0,866743322219.0,822253825921.0,857135286810.0,966431095256.0,995606501619.0,973696625581.0,983426177647.0,1013415078571.0,1023389616115.0,1032908460634.0,1088426146105.0,1087344755518.0,1106878882285.0,1169966983965.0,1226176867390.0,1282666461077.0,1076513832375.0,1015763906787.0,1151701722170.0,1154637826908.0,1125846395636.0,991065823419.0,1218110472630.0,1521866094861.0,1525488523643.0,1117318084513.0,1538780631413.0,1960089914029.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,4090815079.0,18019568818.0,22656522810.0,6121936592.0,19555999782.0,15498905950.0,114815591549.0,13898544471.0,10618582982.0,62213583132.0,24565648167.0,25603372725.0,59771809392.0,61430339639.0,52971764036.0,51698311511.0,64052355403.0,74610441595.0,65928790609.0,60032967867.0,62921138856.0,61673988825.0,77523734611.0,62434359906.0,82709209418.0,54155906894.0,57040898536.0,54365245778.0,49157796975.0,70965247014.0,69532186090.0,54730381405.0,81348821668.0,46900374821.0
Tiền,Cash,cash,4090815079.0,18019568818.0,22656522810.0,6121936592.0,19555999782.0,15498905950.0,114815591549.0,8898544471.0,10618582982.0,62213583132.0,24565648167.0,9603372725.0,31941809392.0,30336627858.0,16878052255.0,6267076248.0,18484717993.0,28521847669.0,19305378919.0,14754602698.0,23504936043.0,21578572086.0,37134926093.0,21723076702.0,43371852553.0,14722975533.0,17524721597.0,22210527515.0,7068114724.0,17762049768.0,14039150294.0,12413258648.0,81348821668.0,46900374821.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000000.0,0.0,0.0,0.0,16000000000.0,27830000000.0,31093711781.0,36093711781.0,45431235263.0,45567637410.0,46088593926.0,46623411690.0,45278365169.0,39416202813.0,40095416739.0,40388808518.0,40711283204.0,39337356865.0,39432931361.0,39516176939.0,32154718263.0,42089682251.0,53203197246.0,55493035796.0,42317122757.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,3000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,22320876712.0,33200000000.0,17200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,400000000.0,5580000000.0,20506514092.0,49642360611.0,88792486944.0,117409823494.0,168341242759.0,169246969641.0,185071940025.0,95801452333.0,124591422231.0,134869712167.0,142317834317.0,121957443507.0,58918553249.0,62223353249.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,460731557370.0,339164536449.0,393278798208.0,485767870839.0,500011817242.0,487805543403.0,554686836144.0,618963206281.0,627313273397.0,646320899271.0,718686725346.0,732664720429.0,730743060875.0,791911839687.0,778148779788.0,801399132675.0,810124488852.0,819678320907.0,829801047945.0,910469586789.0,931403509902.0,934696211757.0,668954656880.0,497081442787.0,546776332858.0,557438047722.0,539435671966.0,571734030786.0,752055000489.0,854894035270.0,936488263459.0,614756672976.0,875013616595.0,1002234648997.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,217554287773.0,186362723863.0,216026415891.0,272723653871.0,280058241107.0,342271340369.0,375613808327.0,393577082898.0,450591438727.0,466839505426.0,473051998647.0,522326991686.0,462784357971.0,522171479328.0,503233067695.0,487269473212.0,514340945560.0,492332842666.0,482184789322.0,400231064733.0,363026843415.0,412156815490.0,420199596010.0,316095098447.0,366371164973.0,355278637612.0,321503529735.0,334749142656.0,406683636036.0,517240196545.0,497024985123.0,397628968334.0,481787955695.0,624234733544.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,125502905870.0,25514620755.0,34269056037.0,42367260093.0,48230819959.0,29720265720.0,47532569730.0,58353602207.0,51780974059.0,36810961945.0,53215992825.0,47613030870.0,46726909073.0,106547657267.0,129252882940.0,117500556817.0,123538690100.0,152913450936.0,133191258843.0,78645092643.0,162296058585.0,157395571626.0,120720320935.0,100016291098.0,100607856663.0,122330640326.0,110980145416.0,79534577962.0,93321234526.0,124489997210.0,137975290510.0,132062573241.0,235291673771.0,229280356661.0
