item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,58384946669.0,114335017426.0,154914647318.0,279930979661.0,210963844842.0,320584189620.0,269374777594.0,268821682883.0,290833757364.0,346762462608.0,282265006693.0,294481988390.0,304017444448.0,491284091448.0,413189911399.0,420787416877.0,314329364941.0,493447047681.0,559758157678.0,450276602955.0,406850842747.0,456655516827.0,512088282817.0,378959532973.0,312201329290.0,447935145029.0,360079731797.0,338084770004.0,359414683319.0,705638038565.0,653823873435.0,415193926379.0,454925064197.0,739251942810.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1887314550.0,-1236012818.0,-14376180.0,-4188379390.0,-1805168517.0,-429074420.0,-5225338690.0,-20344428684.0,-2392360635.0,-147569890.0,-3994485468.0,-2105861550.0,-65993008.0,-2078998810.0,-3111719933.0,-7479259789.0,-7001961894.0,-2268457431.0,-12681447149.0,-29289362587.0,-4403095885.0,-10900065104.0,-4872017015.0,-1914236690.0,-1539404832.0,-7021407925.0,-1808889620.0,-10907737351.0,-9570530534.0,-25582165160.0,-25900277226.0,-9300326859.0,-5625529831.0,-21088361680.0
Doanh thu thuần,Net sales,net_sales,56497632119.0,113099004608.0,154900271138.0,275742600271.0,209158676325.0,320155115200.0,264149438904.0,248477254199.0,288441396729.0,346614892718.0,278270521225.0,292376126840.0,303951451440.0,489205092638.0,410078191466.0,413308157088.0,307327403047.0,491178590250.0,547076710529.0,420987240368.0,402447746862.0,445755451723.0,507216265802.0,377045296283.0,310661924458.0,440913737104.0,358270842177.0,327177032653.0,349844152785.0,680055873405.0,627923596209.0,405893599520.0,449299534366.0,718163581130.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-34696705250.0,-79078146860.0,-123518023799.0,-223108315203.0,-166786907981.0,-262813173488.0,-193283852436.0,-185742649601.0,-221896504695.0,-275369023200.0,-225357326876.0,-227065085642.0,-250665133558.0,-405050423053.0,-333084617298.0,-331022803159.0,-252929149072.0,-370739336961.0,-439900072785.0,-326378652584.0,-317953049185.0,-321759711586.0,-379397211475.0,-244582417880.0,-218408459776.0,-305030298727.0,-261379390866.0,-246619110551.0,-290853616953.0,-509390544821.0,-481383344278.0,-313044201286.0,-337982833203.0,-512693741376.0
Lợi nhuận gộp,Gross Profit,gross_profit,21800926869.0,34020857748.0,31382247339.0,52634285068.0,42371768344.0,57341941712.0,70865586468.0,62734604598.0,66544892034.0,71245869518.0,52913194349.0,65311041198.0,53286317882.0,84154669585.0,76993574168.0,82285353929.0,54398253975.0,120439253289.0,107176637744.0,94608587784.0,84494697677.0,123995740137.0,127819054327.0,132462878403.0,92253464682.0,135883438377.0,96891451311.0,80557922102.0,58990535832.0,170665328584.0,146540251931.0,92849398234.0,111316701163.0,205469839754.0
Doanh thu hoạt động tài chính,Financial income,financial_income,1877004001.0,2437864672.0,1839117774.0,2693771915.0,981955021.0,1701121669.0,1884237442.0,2843501922.0,1405127977.0,1897174197.0,1316089932.0,2032765088.0,7814781330.0,7310404374.0,4164119864.0,5675893961.0,3128100637.0,5650304357.0,6136208197.0,16422057385.0,7736424894.0,8685938369.0,32526601383.0,-13151528826.0,5861172939.0,8404245839.0,8718915072.0,13033965938.0,8736117223.0,10133896514.0,12084649348.0,4966621007.0,7400444798.0,6887555476.0
Chi phí tài chính,Financial expenses,financial_expenses,-2239451225.0,-6164697579.0,-6253505217.0,-6101489475.0,-6995671970.0,-13641146714.0,-8042371678.0,-11525043894.0,-7006156187.0,-14855860627.0,-12528166654.0,-13837721555.0,-12306688517.0,-11328378281.0,-8469818535.0,-10545219461.0,-6810445498.0,-12131545070.0,-8262115928.0,-23990833700.0,-12038730388.0,-23557033749.0,-16489575769.0,-24887242640.0,-12019555859.0,-19950778896.0,-18328745446.0,-17893332431.0,-15847594181.0,-18951198603.0,-25337330062.0,-25499814441.0,-24988317755.0,-31586950946.0
Chi phí lãi vay,Interest expenses,interest_expenses,-2204006004.0,-4818761593.0,-5422039095.0,-4778963157.0,-6878997198.0,-8358872266.0,-7153852100.0,-8653526530.0,-6296885703.0,-10630918179.0,-10972162136.0,-12263646090.0,-10213730586.0,-9593437073.0,-7082871337.0,-5407158906.0,-5906063789.0,-7871883538.0,-5057972854.0,-8566123565.0,-9637214459.0,-13003552362.0,-12478947792.0,-12333994248.0,-10596895673.0,-12873538105.0,-13903536967.0,-14585176962.0,-13759366315.0,-15966401632.0,-20445508922.0,-21671949610.0,-21494145893.0,-27500093069.0
Chi phí bán hàng,Selling expenses,selling_expenses,-6822682631.0,-7423964050.0,-9823834020.0,-22590117044.0,-18603052420.0,-23168466279.0,-36215864985.0,-32531345352.0,-33216712252.0,-17499413687.0,-15671570806.0,-30901363270.0,-26874228796.0,-39039897190.0,-42852864591.0,-39303795242.0,-32129700831.0,-63956850356.0,-50225201802.0,-43808209253.0,-35049083176.0,-23875330316.0,-47350533001.0,-29313051971.0,-33441482190.0,-40677394084.0,-26231555259.0,-22490870799.0,-21397901395.0,-34878249084.0,-36456909427.0,-23351254581.0,-21599864911.0,-39940266415.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-6276790679.0,-8514639239.0,-7262082355.0,-10825138440.0,-10016089028.0,-9446570716.0,-8548876021.0,-9158747872.0,-11285555544.0,-17071724285.0,-9466921759.0,-9856396322.0,-7943004364.0,-7891764852.0,-7429028726.0,-12423056769.0,-8051553695.0,-9123526503.0,-12198262529.0,-35733157394.0,-29838420857.0,-30752200041.0,-56948842636.0,-52189787046.0,-35398928223.0,-37048191443.0,-26241207833.0,-22930027277.0,-12384873252.0,-58339496807.0,-47248051312.0,-11190839643.0,-15729517457.0,-44211608751.0
