item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,5109077511539.0,5516424394269.0,5197612803356.0,4101609304910.0,3135555919640.0,4569327226735.0,3982305260638.0,4158589615128.0,4443396533529.0,4325605480832.0,4856462316036.0,4272731990700.0,6944738420103.0,10710817033040.0,12660255391586.0,12218952058183.0,13217066679954.0,13074875574411.0,12738165300013.0,10475754506935.0,9693724627166.0,9213963670705.0,9278789436585.0,9428500663254.0,10097660724545.0,10109821251925.0,10945815886493.0,10202370500547.0,10190697991923.0,10536296579283.0,9706183140086.0,9702800286228.0,8957538915429.0,11060081099520.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,178708138732.0,123533483582.0,83006650880.0,460998285030.0,191857154997.0,137312190229.0,269731303198.0,105974340017.0,40518926223.0,99456698515.0,435389113373.0,219161716845.0,737011697576.0,821582185051.0,691803323322.0,751445944055.0,843732062261.0,781327381434.0,1054089926902.0,1005403528970.0,660243301839.0,1084367369474.0,820161782211.0,785479050340.0,560811857118.0,498688408425.0,539968065120.0,391783760846.0,1287370363219.0,522553150579.0,348061394681.0,838864110479.0,601149457799.0,117494529707.0
Tiền,Cash,cash,132741709376.0,101598590724.0,63373087867.0,219260910343.0,135228467544.0,96247067315.0,227536652377.0,63666975089.0,27925441162.0,99456698515.0,336889113373.0,45471716845.0,662943222767.0,747294804629.0,617134470170.0,670954162335.0,726961596396.0,685129610152.0,994486490253.0,948303528970.0,625743301839.0,949867369474.0,785541782211.0,748979050340.0,560811857118.0,498688408425.0,485452777449.0,391783760846.0,207370363219.0,260053150579.0,325561394681.0,476364110479.0,597649457799.0,113987697515.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,45966429356.0,21934892858.0,19633563013.0,241737374687.0,56628687453.0,41065122914.0,42194650821.0,42307364928.0,12593485061.0,0.0,98500000000.0,173690000000.0,74068474809.0,74287380422.0,74668853152.0,80491781720.0,116770465865.0,96197771282.0,59603436649.0,57100000000.0,34500000000.0,134500000000.0,34620000000.0,36500000000.0,0.0,0.0,54515287671.0,0.0,1080000000000.0,262500000000.0,22500000000.0,362500000000.0,3500000000.0,3506832192.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,483307686634.0,183670206227.0,189318392632.0,197635323046.0,349572802723.0,323250509346.0,327336891322.0,657229469740.0,362101857701.0,406016248471.0,385678807952.0,369526402595.0,387749095014.0,438574774966.0,505089038675.0,447713546612.0,437968372689.0,486657331941.0,420052122161.0,251569818437.0,272892771005.0,396056701685.0,269413600644.0,289613600644.0,216502030107.0,273973416619.0,418957114233.0,247130402390.0,253915476363.0,1106258718652.0,1106853304756.0,834855674955.0,1233932431131.0,3172688451063.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,120225576352.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,9353176.0,202249089176.0,202239736000.0,0.0,0.0,76044478111.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,915341328952.0,1001617325594.0,1026939492625.0,744349047079.0,841216776027.0,1317274964472.0,856849069249.0,876685199236.0,1080218942449.0,1084886454249.0,1456880253936.0,1438750967483.0,2062287644597.0,2994435895547.0,3519755989310.0,1905054557387.0,2756388671133.0,2600540497021.0,1780935538988.0,1516693874948.0,1638568461116.0,1885600640896.0,1909556935252.0,2032598717387.0,2652566074827.0,2813763116983.0,2561421108277.0,1942938034495.0,1834481503951.0,1620874435816.0,1976367198648.0,1423363712457.0,1963386634480.0,718575444954.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,851295598583.0,862099092090.0,897809650865.0,616322606387.0,699236114680.0,1138432859306.0,687556910387.0,692875071303.0,880139666311.0,891118493770.0,1227360877005.0,1219300961730.0,1786424132160.0,2507579654220.0,3125853929868.0,1496532316121.0,2330021378192.0,2187747884625.0,1298141023194.0,1060728823320.0,1307019995467.0,1578603140636.0,1607421626004.0,1740842155484.0,2210550317373.0,2184074822698.0,1940025940337.0,1129072791514.0,1285461407323.0,1284928737209.0,1758810399141.0,1259898746776.0,1176886769455.0,623738805672.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,62776095648.0,131653861272.0,127896864272.0,127070977475.0,140721011609.0,177378303285.0,167440757142.0,170954142018.0,185029197613.0,182410815492.0,219962461998.0,204796849338.0,268379317890.0,487349002254.0,328595874079.0,351713227664.0,398795439988.0,414594247436.0,480360049310.0,438034966801.0,305354663242.0,281375399757.0,287794229716.0,287579014141.0,446318367383.0,632135925917.0,623815709479.0,811919388493.0,260240804394.0,315204305875.0,199724030083.0,148237759341.0,533970165340.0,127368540595.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,3430649348.0,10025386859.0,3291211510.0,3313814643.0,3618001164.0,3822153307.0,4209753146.0,15214337341.0,17408429951.0,13715496413.0,12315266359.0,17411507841.0,12018680412.0,4041724938.0,71753794148.0,63068470363.0,33731048590.0,4357560597.0,8593662121.0,26734127887.0,34997845467.0,35653930474.0,24372909503.0,14874757230.0,8751891737.0,11828700852.0,11855790945.0,15741713905.0,31285383077.0,24758024670.0,38067689033.0,40481950567.0,277784443912.0,3378578601.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-2161014627.0,-2161014627.0,-2058234022.0,-2358351426.0,-2358351426.0,-2358351426.0,-2358351426.0,-2358351426.0,-2358351426.0,-2358351426.0,-2758351426.0,-2758351426.0,-4534485865.0,-4534485865.0,-6447608785.0,-6259456761.0,-6159195637.0,-6159195637.0,-6159195637.0,-8804043060.0,-8804043060.0,-10031829971.0,-10031829971.0,-10697209468.0,-13054501666.0,-14276332484.0,-14276332484.0,-13795859417.0,-17506090843.0,-20234919609.0,-20234919609.0,-25254744227.0,-25254744227.0,-35910479914.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,3187602325218.0,3847757669492.0,3570610874111.0,2420511411710.0,1622264211951.0,2565694068533.0,2350020748520.0,2327492247018.0,2756081273061.0,2606500548202.0,2458654007045.0,2150334131801.0,3500261674250.0,5958397597918.0,7138337162954.0,8281323556123.0,8501932148771.0,8439114492077.0,8837812973538.0,7061262656464.0,6478278679247.0,5228863617802.0,5640254987170.0,5718699385156.0,5829737008221.0,5743059401708.0,6576843278884.0,6690482934519.0,5869298911208.0,6141800654548.0,5048847790849.0,5303103397208.0,4344572522243.0,5704061349259.0
Hàng tồn kho,Inventories,inventories,3187602325218.0,3847757669492.0,3570610874111.0,2420511411710.0,1622264211951.0,2565694068533.0,2350020748520.0,2327492247018.0,2756081273061.0,2606500548202.0,2458654007045.0,2150334131801.0,3500261674250.0,5958397597918.0,7305427862712.0,8701658662222.0,8603711491684.0,8541359464142.0,9127881696995.0,7351609320176.0,6623021008689.0,5385257774040.0,5796649143408.0,5849032778100.0,5960070401165.0,5873392794652.0,6707176671828.0,6820816327463.0,5959606991065.0,6232108734405.0,5139155870706.0,5408688189488.0,4450157314523.0,5809646141539.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167090699758.0,-420335106099.0,-101779342913.0,-102244972065.0,-290068723457.0,-290346663712.0,-144742329442.0,-156394156238.0,-156394156238.0,-130333392944.0,-130333392944.0,-130333392944.0,-130333392944.0,-130333392944.0,-90308079857.0,-90308079857.0,-90308079857.0,-105584792280.0,-105584792280.0,-105584792280.0
Tài sản lưu động khác,Other current assets,other_current_assets,344118032003.0,359845709374.0,327737393108.0,278115238045.0,130644973942.0,225795494155.0,178367248349.0,191208359117.0,204475534095.0,128745531395.0,119860133730.0,94958771976.0,257428308666.0,497826579558.0,805269877325.0,833414454006.0,677045425100.0,767235871938.0,645274738424.0,640824628116.0,643741413959.0,619075340848.0,639402131308.0,602109909727.0,838043754272.0,780336908190.0,848626319979.0,930035368297.0,945631737182.0,1144809619688.0,1226053451152.0,1302613391129.0,814497869776.0,1347261324537.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,27705573592.0,21129891185.0,18434141502.0,26520771987.0,23484527224.0,35847262036.0,25572869723.0,26321912877.0,20585514303.0,19152023590.0,13300464158.0,9213413509.0,8042272110.0,8983291120.0,6231057484.0,13523389572.0,20506577958.0,19652231945.0,24420025959.0,16774143093.0,18110580560.0,10911805799.0,14722480341.0,16586369709.0,22848700716.0,17746986434.0,20319353351.0,29405775095.0,26796450629.0,29784735075.0,29560935092.0,29613615095.0,26739693417.0,25592451300.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,316412458411.0,338715818189.0,309303251606.0,249706894920.0,105224365748.0,188038992128.0,152768014884.0,153077866590.0,183871062249.0,107857381047.0,106559669572.0,85745358467.0,249386036556.0,488843288438.0,799038819841.0,819891064434.0,656436357232.0,747501667084.0,620781496634.0,624032687013.0,625535939164.0,608078969341.0,624601139478.0,585451185075.0,815143714574.0,762575646917.0,828306966628.0,900629593202.0,918509167930.0,1114732174951.0,1196170431293.0,1272677571317.0,787358624141.0,913791098929.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,0.0,0.0,0.0,1887571138.0,1936080970.0,1909239991.0,26363742.0,11808579650.0,18957543.0,1736126758.0,0.0,0.0,0.0,0.0,0.0,0.0,102489910.0,81972909.0,73215831.0,17798010.0,94894235.0,84565708.0,78511489.0,72354943.0,51338982.0,14274839.0,0.0,0.0,326118623.0,292709662.0,322084767.0,322204717.0,399552218.0,406274308.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407471500000.0
