item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,6415510147921.0,7187072323959.0,7206981773905.0,7316846832992.0,7730795591811.0,7701832387978.0,7531448642404.0,7781677177826.0,7781476399562.0,8255520352625.0,8280339728454.0,9299797974141.0,17102032852783.0,17114222000270.0,22149193033026.0,21615997865149.0,21490661569271.0,22928541932734.0,23401676071728.0,23489108832437.0,23804129894617.0,23705459823976.0,24432475527866.0,25308679696828.0,25392095855014.0,26712601702484.0,26846656396239.0,27549227406220.0,25981903640401.0,25162788098987.0,24963680498828.0,19246030470379.0,17915356777738.0,17261031552149.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1808781814379.0,2518165088714.0,2846838896132.0,2084176325661.0,1592229487284.0,1810233351167.0,1529545504027.0,1894488673379.0,1424092982471.0,1387766362572.0,981231263343.0,1096219425836.0,1346887027663.0,1141779637994.0,895870832225.0,3111621576852.0,2884314321749.0,3715458857947.0,3902425239214.0,3773258514376.0,3425938734113.0,2320274634954.0,2677470299186.0,2540150681806.0,2473299299968.0,2073395626989.0,1530489381436.0,5443293611458.0,4395434593595.0,3514680781879.0,3361201735548.0,6814304742347.0,5027834155469.0,3767718822824.0
Tiền,Cash,cash,307611204678.0,730269920544.0,312670450830.0,841915446237.0,416714717354.0,977071127199.0,565395896667.0,748368802370.0,602316666548.0,556192138416.0,568669687164.0,592888738986.0,794221745645.0,740479012842.0,542849282869.0,1265161762459.0,921248052285.0,809069574969.0,858229263665.0,536088166013.0,362621509950.0,482722854264.0,928722705655.0,659340439798.0,732617072426.0,573606534549.0,482456044691.0,1384366865816.0,889817958744.0,1426592726828.0,1224564767179.0,1708379074804.0,1393300837572.0,648055384924.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1501170609701.0,1787895168170.0,2534168445302.0,1242260879424.0,1175514769930.0,833162223968.0,964149607360.0,1146119871009.0,821776315923.0,831574224156.0,412561576179.0,503330686850.0,552665282018.0,401300625152.0,353021549356.0,1846459814393.0,1963066269464.0,2906389282978.0,3044195975549.0,3237170348363.0,3063317224163.0,1837551780690.0,1748747593531.0,1880810242008.0,1740682227542.0,1499789092440.0,1048033336745.0,4058926745642.0,3505616634851.0,2088088055051.0,2136636968369.0,5105925667543.0,3634533317897.0,3119663437900.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,45857924736.0,112974648676.0,156624648676.0,16178807337.0,81304166098.0,43515386823.0,44445568799.0,72846344417.0,55142703967.0,29885920992.0,36372379000.0,46350356992.0,89356902901.0,126391791592.0,1358322590171.0,743668846722.0,157160704195.0,224516406274.0,276483679275.0,987365844583.0,855227919677.0,1172434058928.0,829587293788.0,1049998195767.0,701519200291.0,966308364121.0,935491310883.0,623477495773.0,607957366230.0,598896543809.0,510439115363.0,1352276955351.0,2330691351983.0,2432477626679.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,608436904605.0,701813039151.0,894005892725.0,1879487191303.0,1035024248040.0,1216594800868.0,1136470887943.0,1500130823491.0,1822895049225.0,1791867360772.0,1734143255971.0,1968581399877.0,1918161199299.0,1864815428986.0,1921040124581.0,2019142436152.0,2094013473962.0,2479921133598.0,2555752367901.0,3569671848128.0,3276585767337.0,3376794278274.0,3426757074570.0,3634089671546.0,3353362527872.0,3708129187972.0,3254715935220.0,2796944659429.0,2722759871251.0,2454999690289.0,2541483261708.0,1891019440263.0,1835066184547.0,1889126316733.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,238168927998.0,308928447201.0,252363901552.0,268856020497.0,303180764918.0,337002497657.0,366780169591.0,472815832157.0,511805987589.0,518190287884.0,589750749140.0,579523458533.0,590731929179.0,603689783198.0,524670766853.0,720041081713.0,744898429377.0,895211784679.0,838452414445.0,1309886554022.0,1367879877901.0,1282875552557.0,1343459875710.0,1526408217022.0,1379717282537.0,1894908287376.0,1357284718451.0,1466565697259.0,1188318066031.0,1271165865887.0,1208076751196.0,1043055344239.0,851595448650.0,839743354228.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,145628569984.0,199435349050.0,401884912156.0,354590857521.0,326408087850.0,559043702543.0,400458887390.0,628307194366.0,812631557180.0,827046435955.0,771052439782.0,434789476319.0,532338035130.0,541065254100.0,604521899341.0,524156640733.0,562784911766.0,635705989602.0,930649032336.0,1232260845097.0,907554969795.0,836083035827.0,918716738772.0,963204202135.0,984044175184.0,911431884653.0,883486072371.0,492362165943.0,500211157839.0,529308153317.0,695372442549.0,370907037800.0,511162755160.0,530172460691.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,187541589294.0,187852990140.0,232089054318.0,1022571125785.0,349559976770.0,324067964916.0,296996465705.0,328656562196.0,334872465679.0,334189402161.0,339539573088.0,853827230253.0,658600755402.0,591469956916.0,654993478799.0,614773734118.0,705707565981.0,798340679729.0,682131148023.0,939737721228.0,917792419921.0,1170048962109.0,1076793732307.0,1060045651964.0,905169469726.0,882522878121.0,929513543973.0,823963233623.0,1024677084777.0,646972108481.0,641590505359.0,523503976851.0,531014161030.0,578621333232.0
