item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,42158468449390.0,50630008750611.0,43766617918031.0,50785405901013.0,51909519546558.0,56921652870416.0,56823768158008.0,71272427321769.0,73347312297126.0,76671001797081.0,103086310873329.0,114312818131574.0,121615274984872.0,136602950265651.0,144695276879439.0,155626883884917.0,177218519798787.0,189030009521950.0,205124839309776.0,198276179843700.0,197806114574434.0,198376122922216.0,199429637838952.0,191577252376491.0,189060198977043.0,203872418989356.0,194988181533732.0,207831078798684.0,203124460510833.0,203376141981170.0,203298543739096.0,206852318779699.0,207035228227019.0,213072913537440.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,5765709949403.0,8840789438874.0,4869248099742.0,12326942295680.0,8615715051750.0,7325834929936.0,4300966912717.0,6513219516007.0,3874954562514.0,5879568292345.0,9697718598051.0,11558787555672.0,12556238887122.0,12132219928054.0,15223064990931.0,17249164003763.0,17724337297580.0,17004752901103.0,21167861688403.0,8599941962436.0,5363772012819.0,4035618643443.0,3434802946356.0,3412094527252.0,3138663556178.0,2145098581139.0,3819734643584.0,4607601921683.0,6084349341608.0,4305979590796.0,3837770809681.0,4395471320099.0,4518328920108.0,4878790260309.0
Tiền,Cash,cash,838438191471.0,2430921269824.0,425711332496.0,7595717278814.0,1521245926791.0,2275631494253.0,882840065833.0,1951125603881.0,521884267307.0,2420756202467.0,5826562288161.0,7069734042545.0,8248082396340.0,4936166547110.0,6150102543625.0,8029490914547.0,4291444912221.0,5149971416056.0,9581555422829.0,2995777237906.0,619399066287.0,844475894132.0,1272476369416.0,1713329304364.0,810891120485.0,846406913286.0,2082407168482.0,3343715161772.0,4696479592887.0,3002839168065.0,2726086530328.0,2905438928798.0,2915810473164.0,3732374885108.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,4927271757932.0,6409868169050.0,4443536767246.0,4731225016866.0,7094469124959.0,5050203435683.0,3418126846884.0,4562093912126.0,3353070295207.0,3458812089878.0,3871156309890.0,4489053513127.0,4308156490782.0,7196053380944.0,9072962447306.0,9219673089216.0,13432892385359.0,11854781485047.0,11586306265574.0,5604164724530.0,4744372946532.0,3191142749311.0,2162326576940.0,1698765222888.0,2327772435693.0,1298691667853.0,1737327475102.0,1263886759911.0,1387869748721.0,1303140422731.0,1111684279353.0,1490032391301.0,1602518446944.0,1146415375201.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,114334482780.0,104352906511.0,80577276622.0,95691805879.0,398649722895.0,397288986526.0,420864681735.0,419222941609.0,426977254806.0,437829773071.0,509200840534.0,822810253961.0,1011977986695.0,834521746983.0,1027113432337.0,837023156881.0,788045407828.0,684885163998.0,998612553083.0,326704693300.0,117301505367.0,51116258055.0,49327428761.0,43507843256.0,35042157555.0,30708279725.0,33008441851.0,31258216194.0,42465733952.0,43693098517.0,48524470677.0,53843467143.0,18827455435865.0,19172911736475.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,6695148901795.0,9246326543226.0,4784753561738.0,4664101758381.0,6260105826127.0,6540079686524.0,7758582757738.0,5979742308954.0,9349255360069.0,9890462206274.0,12158856883275.0,13820066316803.0,16818356520514.0,19088675471543.0,21267412435805.0,26409547442437.0,36650048190370.0,44212498109419.0,51618081635732.0,52982482611498.0,53544029965964.0,53503523273401.0,56499099726933.0,47747113308548.0,43250560624883.0,56081626778458.0,44488907119684.0,54813392824915.0,46465162208877.0,46873869562031.0,45017413493751.0,46997598213564.0,26932946847224.0,28932739999462.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,515901806816.0,551875681918.0,598688759953.0,758334949673.0,918049498119.0,1020363369459.0,1055694248954.0,1076689087366.0,1663071597668.0,1245692341977.0,1623914222264.0,1252610948704.0,2133360457070.0,2412783448890.0,3120825650665.0,2365610126957.0,2386176440023.0,2754036439440.0,2817642072878.0,2930901444742.0,2950687501634.0,2914499369283.0,2880770449741.0,2932676961656.0,2882527492694.0,2614840296109.0,2730333999036.0,2996106511118.0,3258577600284.0,3392652268698.0,3403072586468.0,3274282872300.0,3332295686964.0,3509536198593.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1864740850742.0,1719714141764.0,1699002823232.0,1493719267200.0,1503094483085.0,1062272922067.0,813634887029.0,834794221001.0,975502001675.0,1056623326519.0,1759728935169.0,1466929395223.0,1805529740671.0,1941573131623.0,1970944879243.0,2332779900869.0,4465150528380.0,6081632087227.0,7388027626863.0,8142513081979.0,7922447474878.0,7700526188632.0,7795046519463.0,7429413235105.0,7719061757715.0,7718936302884.0,7840146147875.0,7857833385978.0,8327139461434.0,8433496189397.0,7885974172202.0,8153145993164.0,8067961608059.0,8057190384331.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
