item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,17954591198192.0,17046263455085.0,17651529335524.0,18084350676795.0,21048506275452.0,18405757025099.0,21101283634830.0,20172797328758.0,15248017845881.0,15741377176247.0,14605528508994.0,16336099924837.0,17959338175730.0,18859828631198.0,20281389250381.0,21263975321668.0,30398338697227.0,28077742182652.0,21814319635506.0,23365358770077.0,22782741853232.0,24718631363203.0,27942827561355.0,32965859828981.0,30754783857146.0,31685458901234.0,28919652777696.0,35543078564691.0,34129607062895.0,38338732035933.0,30840556470617.0,38937992400304.0,47700697828629.0,41997217001148.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,4868383372452.0,3606200298283.0,3159713645628.0,3221683429888.0,2527134084907.0,2628719105659.0,2119659184441.0,2967258643784.0,1510037383067.0,1786012602289.0,1651396345280.0,3551763025779.0,1362828064072.0,1859496002680.0,2890731574867.0,3064746674729.0,2832145196868.0,1442207827293.0,2010519037758.0,4081803329578.0,1933630599983.0,2131206730472.0,2907199367650.0,5380876203098.0,4634270820860.0,3654214955422.0,2708567028319.0,4123668695965.0,2782187519281.0,4205749316434.0,3492569944578.0,5500117140764.0,8486203413501.0,3705139983826.0
Tiền,Cash,cash,3019352027813.0,2121897287502.0,1942626670861.0,1925273712539.0,1951522188610.0,2362268515950.0,1722037273904.0,2101248410984.0,1453286747599.0,1596226945180.0,1596782192611.0,2506275055142.0,1212347272235.0,1168698567886.0,2019855398205.0,2811290341236.0,1883816368852.0,1379705804732.0,1942157599238.0,2638074428844.0,1496662244238.0,1828682730472.0,1700370613117.0,4278439899442.0,3027077460820.0,3068779396717.0,1920628266744.0,2757928959997.0,2468187198394.0,3120113090487.0,2500070808467.0,4152408650355.0,6855394726960.0,3494872548159.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1849031344639.0,1484303010781.0,1217086974767.0,1296409717349.0,575611896297.0,266450589709.0,397621910537.0,866010232800.0,56750635468.0,189785657109.0,54614152669.0,1045487970637.0,150480791837.0,690797434794.0,870876176662.0,253456333493.0,948328828016.0,62502022561.0,68361438520.0,1443728900734.0,436968355745.0,302524000000.0,1206828754533.0,1102436303656.0,1607193360040.0,585435558705.0,787938761575.0,1365739735968.0,314000320887.0,1085636225947.0,992499136111.0,1347708490409.0,1630808686541.0,210267435667.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2355697722755.0,3064236888000.0,3453365918899.0,4214567251881.0,4764567251881.0,4816762101794.0,5427222306929.0,5377397500886.0,5530780603779.0,5937896408529.0,5510948599495.0,5904220447571.0,6972864698045.0,7486075207527.0,7228691979288.0,7931663754088.0,8649684697626.0,8000353701226.0,7463502311732.0,7666467404942.0,8720416972825.0,9372778453675.0,9908343853675.0,9888554301584.0,10242220969405.0,10202201758366.0,9963564758366.0,10852966805960.0,11656014904896.0,12041356843802.0,12315276846502.0,13468396878002.0,14177082293330.0,13886739270547.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4846847124.0,4799377124.0,4397243326.0,2558970520.0,2558970520.0,2558028086.0,2557828520.0,2557828520.0,2557828520.0,838142612.0,815937688.0,797639327.0,797639327.0,556929381.0,61614563.0,33414563.0,1296047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0,168047.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-3206124369.0,-2619489124.0,-2619489124.0,-1306883336.0,-1306883336.0,-1371090989.0,-1371090989.0,-1195897032.0,-1195897032.0,-33578674.0,-33578674.0,-5924643.0,-5924643.0,-10997.0,-10997.0,-36197.0,-36197.0,-104597.0,-104597.0,-118547.0,-118547.0,-109997.0,-109997.0,-121967.0,-121967.0,-141047.0,-141047.0,-148247.0,-148247.0,-154547.0,-151847.0,-120347.0,-132047.0,-131147.0
Các khoản phải thu,Accounts receivable,accounts_receivable,7717200196125.0,7539962359518.0,8346565692887.0,8855046780594.0,11040599004501.0,8418201274399.0,10672706997542.0,9224519265093.0,6913021420762.0,5730641077243.0,5198941587984.0,4899763137099.0,7071040835851.0,6973914222955.0,6715993908949.0,7422690265871.0,13315520637325.0,12847835232565.0,8491062317448.0,8221162360326.0,8472063409631.0,9108470804509.0,8983477693462.0,13094477837827.0,10366458051050.0,12444442386354.0,12320484978897.0,16488183407266.0,15857628145606.0,16294328722799.0,10541500151546.0,16709167508931.0,13267621244611.0,17922156702900.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,3309826179206.0,3412779251062.0,3993686439061.0,4391686543944.0,4568952236007.0,5529901420609.0,4224236755174.0,5507828298461.0,4758788563638.0,3805395781400.0,4185715264940.0,3132983596764.0,4264654559248.0,3910956610878.0,3234129663197.0,4278519968077.0,6310384408115.0,5644235688550.0,4780094804368.0,4638925061791.0,3547403781747.0,4409787044774.0,3705212081594.0,9175341093608.0,6272924881952.0,7932431180649.0,8473244481819.0,10257657924743.0,11854804182616.0,10542229171051.0,5904673994942.0,11624820366060.0,6642069260523.0,11448380030710.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,511022953926.0,244052325688.0,130099232601.0,117960545383.0,147159763460.0,192141944029.0,143875742723.0,148233539564.0,550801563078.0,52988983986.0,52885386272.0,72561593520.0,71856227012.0,86186382133.0,70406846177.0,87426332523.0,128622128442.0,123334178228.0,141071963408.0,133332660871.0,157996243407.0,141941565731.0,155803169036.0,157303119575.0,145315522963.0,165324653635.0,177175068333.0,210200439931.0,216229226194.0,260756382922.0,261495174790.0,288026741991.0,327943316424.0,344893940211.0
