item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,13697956297481.0,18632569113370.0,9322054704645.0,14273186801808.0,16947783429928.0,21662690682969.0,20824477539580.0,20496506724397.0,17686381718359.0,11656671089616.0,11580049250449.0,9092077644611.0,11768946505285.0,13424478890415.0,12615719525643.0,20039226584447.0,23289504089933.0,30372284771039.0,25963235672083.0,24662302395508.0,20538899499227.0,22326318070574.0,24014977758040.0,35797870578116.0,29625756807962.0,34710365669227.0,31079316558981.0,29053138397331.0,32790519662705.0,39908948344518.0,32776506741307.0,45084566984028.0,44865388247079.0,90004424780864.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-2288205858.0,-3760221737.0,-2573066829.0,-13941138163.0,-1450130812.0,-3949778294.0,-2984022777.0,-2680140830.0,-1777050291.0,-1495845825.0,-1087667292.0,-1208933306.0,-1129722491.0,-3744049252.0,-3532869998.0,-3924773424.0,-1343260250.0,-5099750345.0,-1482427131.0,0.0,-1112514089.0,-1470738795.0,-2603434981.0,-3976778676.0,-1419338597.0,-2324250773.0,-2114948063.0,-3080029311.0,-1879056619.0,-1329382722.0,-400315569.0,-354130263.0,-1508639355.0,-1178904405.0
Doanh thu thuần,Net sales,net_sales,13695668091623.0,18628808891633.0,9319481637816.0,14259245663645.0,16946333299116.0,21658740904675.0,20821493516803.0,20493826583567.0,17684604668068.0,11655175243791.0,11578961583157.0,9090868711305.0,11767816782794.0,13420734841163.0,12612186655645.0,20035301811023.0,23288160829683.0,30367185020694.0,25961753244952.0,24662302395508.0,20537786985138.0,22324847331779.0,24012374323059.0,35793893799440.0,29624337469365.0,34708041418454.0,31077201610918.0,29050058368020.0,32788640606086.0,39907618961796.0,32776106425738.0,45084212853765.0,44863879607724.0,90003245876459.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-12991978622466.0,-17836442256815.0,-8847086392652.0,-13648698796905.0,-16346875341240.0,-20705965556664.0,-20227144239561.0,-19868428551315.0,-17620480860510.0,-10892164662383.0,-11090253636250.0,-8469989220596.0,-10988914750598.0,-12593296965466.0,-12039137706161.0,-19028455838964.0,-22244857202721.0,-28930398396635.0,-25640786898642.0,-23394087264622.0,-19558958554804.0,-21242025477375.0,-22864824662187.0,-35156403715550.0,-28446881279065.0,-33630319803076.0,-30244912799124.0,-27998189120342.0,-31957356090094.0,-38743324622320.0,-31776128583724.0,-43686286413055.0,-42691060548591.0,-88725371675318.0
Lợi nhuận gộp,Gross Profit,gross_profit,703689469157.0,792366634818.0,472395245164.0,610546866740.0,599457957876.0,952775348011.0,594349277242.0,625398032252.0,64123807558.0,763010581408.0,488707946907.0,620879490709.0,778902032196.0,827437875697.0,573048949484.0,1006845972059.0,1043303626962.0,1436786624059.0,320966346310.0,1268215130886.0,978828430334.0,1082821854404.0,1147549660872.0,637490083890.0,1177456190300.0,1077721615378.0,832288811794.0,1051869247678.0,831284515992.0,1164294339476.0,999977842014.0,1397926440710.0,2172819059133.0,1277874201141.0
Doanh thu hoạt động tài chính,Financial income,financial_income,68815644877.0,72661199260.0,54144185193.0,78895618852.0,88381621596.0,86810359757.0,96673049639.0,100453145081.0,103264813688.0,100915246482.0,153506844899.0,95272313401.0,99593974853.0,107402187452.0,103787526005.0,104283825229.0,133124451834.0,133189185703.0,123480904836.0,162492042214.0,159369963156.0,237151684494.0,246454239269.0,199542634442.0,206943111287.0,174410340744.0,135529921139.0,157418130044.0,171216034510.0,229582008638.0,207204237404.0,177102034940.0,211467987238.0,230036854793.0
Chi phí tài chính,Financial expenses,financial_expenses,-43497541751.0,-45164754103.0,-40275672281.0,-41989873802.0,-50649350212.0,-73296322906.0,-53895344761.0,-93763730805.0,-67154500794.0,-52655133121.0,-45502110971.0,-44284238174.0,-42802484914.0,-53943273220.0,-53523470000.0,-48973873675.0,-62350132302.0,-132140528176.0,-51158996963.0,-90549106966.0,-87649164445.0,-103519927918.0,-92974430266.0,-98976715191.0,-51520433015.0,-141562848980.0,-66358264424.0,-97704334198.0,-101625719156.0,-102972760687.0,-138850424753.0,-106716715076.0,-166164907332.0,-243892188466.0
Chi phí lãi vay,Interest expenses,interest_expenses,-28479775103.0,-36761647022.0,-27777612250.0,-37352773304.0,-42344022913.0,-56203682294.0,-46989451920.0,-50070631357.0,-53458100143.0,-36144662471.0,-30895616569.0,-22920037555.0,-29552817716.0,-40143937965.0,-42017803052.0,-32956878564.0,-43734893386.0,-51082512950.0,-41475394093.0,-43402149331.0,-65045384727.0,-68603117692.0,-72705508257.0,-54798386734.0,-38022459912.0,-44706253787.0,-50428594192.0,-54872108000.0,-66539712808.0,-73049157268.0,-88562927131.0,-110984520388.0,-140850742398.0,-184573792311.0
Chi phí bán hàng,Selling expenses,selling_expenses,-367915192242.0,-426185319556.0,-252880859349.0,-410171131193.0,-392877894469.0,-475887538376.0,-393552303738.0,-425314051704.0,-430285965069.0,-375387221662.0,-382968902041.0,-410537412110.0,-432768452534.0,-443035893261.0,-395830063761.0,-561098669605.0,-523533019320.0,-565299236455.0,-547646880612.0,-676204659585.0,-573245582799.0,-653545098402.0,-728951773584.0,-524358021674.0,-743448765760.0,-723971305474.0,-627420349624.0,-679424648356.0,-630452688301.0,-749659744838.0,-715254217163.0,-790232087980.0,-1101885496086.0,-1013132977511.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-159109265468.0,-190039915394.0,-187662540258.0,-189602977011.0,-206789929615.0,-226020555787.0,-221035249680.0,-164971440701.0,-185675612124.0,-178143393733.0,-219974823912.0,-151772002137.0,-212491587491.0,-147168956712.0,-167650941000.0,-206636548966.0,-238084316426.0,-245057341076.0,-209742932935.0,-403011680613.0,-272721872813.0,-325235376074.0,-268386827319.0,-275773451786.0,-301467843692.0,-262306763762.0,-228659773113.0,-285106519362.0,-232176369022.0,-293266674633.0,-239353134141.0,-322831525040.0,-445726742891.0,-354328742220.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,202092883937.0,192511754013.0,37717787386.0,35802397593.0,30355499685.0,263940565305.0,19270465958.0,37073566609.0,-530795400437.0,258229163735.0,-8856815810.0,111525923848.0,198777406994.0,327047529687.0,63978032932.0,314575743986.0,353059650489.0,644570707888.0,-377343484267.0,263753126784.0,205212169154.0,241272047087.0,305065022603.0,-55274362237.0,292474715857.0,130068176139.0,44569118892.0,151821220213.0,37772426986.0,246764613473.0,117084460358.0,177117735310.0,673954455915.0,-58865813132.0
Thu nhập khác,Other incomes,other_incomes,8403034957.0,17233777654.0,6501386584.0,25116636248.0,9073545265.0,19633816422.0,26062355729.0,5636528693.0,9538488796.0,11752793149.0,15902693328.0,70885918655.0,8296237555.0,14530371269.0,16972715960.0,10251555344.0,10636638343.0,7414179975.0,7019875794.0,21856257956.0,80402543538.0,14197610512.0,-243502734.0,17672850247.0,9433236164.0,15941672423.0,16838623864.0,16460212876.0,8716627270.0,7102136416.0,58528680583.0,223868510278.0,12610197099.0,17376207609.0
Chi phí khác,Other expenses,other_expenses,-2659290754.0,-35012393577.0,-7515661337.0,-5021719160.0,-1056893975.0,-6074422585.0,-10626321803.0,5129515570.0,-9294386370.0,-45576987844.0,-5956895819.0,-1227050435.0,-559716231.0,-13634777980.0,-508943134.0,-6888543741.0,-10647741760.0,-17434230979.0,-1002540067.0,-1069315306.0,-651692148.0,-6299244011.0,-1993192353.0,-2710640485.0,-2814424686.0,-6031552865.0,-8921636752.0,-26694205766.0,-5063034272.0,-3329187937.0,-7954311558.0,-206575087569.0,-11578055123.0,-29574333579.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,5743744203.0,-17778615923.0,-1014274753.0,20094917088.0,8016651290.0,13559393837.0,15436033926.0,10766044263.0,244102426.0,-33824194695.0,9945797509.0,69658868220.0,7736521324.0,895593289.0,16463772826.0,3363011603.0,-11103417.0,-10020051004.0,6017335727.0,20786942650.0,79750851390.0,7898366501.0,-2236695087.0,14962209762.0,6618811478.0,9910119558.0,7916987112.0,-10233992890.0,3653592998.0,3772948479.0,50574369025.0,17293422709.0,1032141976.0,-12198125970.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,207836628140.0,174733138090.0,36703512633.0,55897314681.0,38372150975.0,277499959142.0,34706499884.0,47839610872.0,-530551298011.0,224404969040.0,1088981699.0,181184792068.0,206513928318.0,327943122976.0,80441805758.0,317938755589.0,353048547072.0,634550656884.0,-371326148540.0,284540069434.0,284963020544.0,249170413588.0,302828327516.0,-40312152475.0,299093527335.0,139978295697.0,52486106004.0,141587227323.0,41426019984.0,250537561952.0,167658829383.0,194411158019.0,674986597891.0,-71063939102.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-18455981871.0,-35345565954.0,-3137983973.0,-9525631679.0,-1313253928.0,-43916018858.0,-5933824876.0,-13778323567.0,-3905579708.0,-3423594369.0,-3980251433.0,-11653782636.0,-21800506043.0,-56049482893.0,-26030807286.0,-62045065401.0,-65853703398.0,-110880673707.0,8790154607.0,22100168077.0,-44207366551.0,-67711567502.0,-59510746110.0,2211116070.0,-58121506082.0,-37657355963.0,-1437633392.0,-49675417562.0,-4452707319.0,-48280666106.0,-26762615725.0,-83003355396.0,-121496190515.0,-16852903203.0
