item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,3231478809369.0,3529046261285.0,3041350432164.0,3229171872858.0,3522960800370.0,4301387846799.0,4418363236326.0,4160640815447.0,3978232413801.0,4784883112715.0,5394073970978.0,5766431717644.0,5657825679968.0,6257760615643.0,6838345460694.0,6605455318547.0,6426933603484.0,6647523551646.0,8228503068288.0,7916934681480.0,6900915265225.0,5975625503115.0,6237185671004.0,6845022483422.0,7156771114381.0,8495634769622.0,8081638218844.0,8085980091224.0,8787255286938.0,9385567326361.0,10589162240081.0,11299127185804.0,11583272425967.0,11560790967899.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,428551844787.0,814514344951.0,524232425478.0,741280087829.0,378868924255.0,523592468499.0,665020360605.0,567647013585.0,490459368435.0,1113581743982.0,1028099151518.0,1475767070027.0,1331632504751.0,897049144276.0,1782832964955.0,2291969173159.0,2237410420646.0,2615317116457.0,3349116893795.0,2937188907228.0,1669779886362.0,993780509779.0,1020979457766.0,2111874597274.0,1563353490025.0,1998689467494.0,2094636319586.0,2277327707879.0,2554364407232.0,2356951976296.0,3668623576641.0,3811436397959.0,3241210030639.0,2848687034313.0
Tiền,Cash,cash,107851844787.0,177814344951.0,106515273679.0,137553373451.0,139660912703.0,170300155020.0,123452181325.0,133873066836.0,128378778183.0,200481128101.0,326232499002.0,262767070027.0,196012504751.0,148649144276.0,414332964955.0,794969173159.0,670920420646.0,846107116457.0,709516893795.0,833033288050.0,467744886362.0,401823509779.0,430727589177.0,472109742832.0,631318490025.0,651094467494.0,549960619586.0,734582707879.0,589859407232.0,858016976296.0,1008148576641.0,624039397959.0,1062615030639.0,709154304177.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,320700000000.0,636700000000.0,417717151799.0,603726714378.0,239208011552.0,353292313479.0,541568179280.0,433773946749.0,362080590252.0,913100615881.0,701866652516.0,1213000000000.0,1135620000000.0,748400000000.0,1368500000000.0,1497000000000.0,1566490000000.0,1769210000000.0,2639600000000.0,2104155619178.0,1202035000000.0,591957000000.0,590251868589.0,1639764854442.0,932035000000.0,1347595000000.0,1544675700000.0,1542745000000.0,1964505000000.0,1498935000000.0,2660475000000.0,3187397000000.0,2178595000000.0,2139532730136.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,100000000000.0,0.0,50000000000.0,50000000000.0,110000000000.0,110000000000.0,150000000000.0,180000000000.0,146626756051.0,149782484051.0,99782484051.0,62891072771.0,66542102771.0,101655607771.0,83240509185.0,144291658746.0,139930906799.0,152773887163.0,176951607567.0,655264910051.0,1077654180446.0,1041655094723.0,1159183238741.0,769176749710.0,1159827549834.0,1331585820958.0,1035059347673.0,1016759191654.0,1019531614668.0,1148729808949.0,1050965308949.0,1459344220559.0,2398066692878.0,2450105358909.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1309313555270.0,1521685127645.0,1546405083830.0,1632642973547.0,1796524923410.0,2049239444301.0,1866978042663.0,1864593067527.0,2171326813974.0,2376598232826.0,3170006777102.0,3420893012028.0,3033796489643.0,3594159354971.0,3640096424953.0,3139741954219.0,3169896635316.0,2778323884588.0,3541849746055.0,3172289572301.0,2990464913736.0,2679824325739.0,2945081160045.0,2802528522776.0,3052433068077.0,3551017163364.0,3440050249703.0,3112002764045.0,3361536082753.0,3477980766704.0,3546797938602.0,4414386288023.0,4257766147794.0,4369400766489.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,847776749765.0,1056314510946.0,932209089624.0,1104463831376.0,975414880159.0,1160619077262.0,1059912259406.0,1205671829885.0,1452501649982.0,1171921508701.0,1617734886272.0,1634964030338.0,1434714963390.0,2264470975170.0,2666649801379.0,2288629212748.0,2110004788657.0,1456284397095.0,2402733071616.0,2261808930681.0,1912916699575.0,1607335651763.0,1911882117653.0,1928827362111.0,2019232785155.0,2219487404402.0,2190978919831.0,2015189876899.0,1968692077732.0,2005185226271.0,1997316003969.0,3028369332503.0,2545708161685.0,2543229146218.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,297947906654.0,278857501830.0,399177947624.0,399899836132.0,571576463464.0,600687773963.0,533075701327.0,379516208458.0,425448406889.0,865683439290.0,1110012702819.0,1259107086290.0,820425362039.0,551973830252.0,323704101242.0,371169141499.0,610115278343.0,792865920032.0,385908814535.0,223852149455.0,299771989296.0,312730246494.0,292994519653.0,217729310846.0,285832541521.0,398039819759.0,318694906937.0,456269424703.0,789414863000.0,714661938214.0,736688846565.0,537785041856.0,1054249628436.0,955499988503.0
