item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,8960089679557.0,8000028532778.0,8254504507599.0,8050298505590.0,7083214287290.0,8374664388215.0,9306557855428.0,9781388582189.0,9886330819120.0,10448778141448.0,12207859858068.0,10915264004748.0,13243061406548.0,14619763764907.0,15416365576042.0,15337063138490.0,16079121295715.0,19287450586917.0,21298511150098.0,18218441715864.0,17045329224514.0,16553998920687.0,16504257982540.0,16918363888869.0,17210323796228.0,18894226571288.0,19570730214994.0,21482523941226.0,20683355967880.0,20913450557357.0,21281715194792.0,24175702852037.0,23450438778534.0,23252691726300.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,10090035327.0,15209202047.0,44157150630.0,189341108610.0,19560810471.0,198157596266.0,230345896320.0,646327404464.0,39490020698.0,300162385220.0,46289597140.0,53170282508.0,7799271377.0,296823592596.0,290432574198.0,494030256209.0,349982710349.0,599076439532.0,50724456762.0,261762460542.0,218270479339.0,213742937322.0,52588363778.0,505102847949.0,19304967691.0,1189922392397.0,220698484274.0,343676133736.0,83960643394.0,25200283827.0,115998896970.0,375924179668.0,185230983944.0,1665832705423.0
Tiền,Cash,cash,10090035327.0,15209202047.0,44157150630.0,189341108610.0,19560810471.0,198157596266.0,230345896320.0,646327404464.0,39490020698.0,62904385220.0,39261797140.0,47170282508.0,1799271377.0,290823592596.0,284432574198.0,488030256209.0,343982710349.0,593076439532.0,44724456762.0,255762460542.0,218270479339.0,213742937322.0,52588363778.0,505102647949.0,19304967691.0,1189922392397.0,220698484274.0,343676133736.0,83960643394.0,25200283827.0,15998896970.0,375924079668.0,185230983944.0,1665732527067.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237258000000.0,7027800000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000000.0,100000.0,0.0,100178356.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12180299200.0,12180299200.0,24400348619.0,24400348619.0,21590348619.0,21590348619.0,21590348619.0,21590348619.0,9370299200.0,15370299200.0,15370299200.0,15370299200.0,15370299200.0,15370299200.0,15370299200.0,15370299200.0,115370299200.0,100000000000.0,100000000000.0,0.0,0.0,0.0,34739357768.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,2602374429353.0,1503775509685.0,1620423393664.0,1987986155701.0,2032700657603.0,2329339157370.0,2050579482386.0,1729519506303.0,2071881981849.0,2457716530616.0,2365534107551.0,1524717512889.0,2537316231204.0,2227849379267.0,3120494084572.0,2533355002642.0,3368739750982.0,5382934032440.0,7614622635028.0,5649830393200.0,4596964957805.0,4073043398544.0,4198757359133.0,4116800043665.0,4800686704717.0,5079334146315.0,6369811271655.0,6860591641612.0,6366677165518.0,6593826759034.0,6099491943246.0,6999950386428.0,8147232192687.0,7925261595581.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,445142467931.0,502280037677.0,521719176625.0,877410270588.0,988497122555.0,859521884330.0,802192179922.0,819403585316.0,590817367702.0,566501223892.0,334460411626.0,170232056537.0,247472501797.0,365188690410.0,835451225210.0,664411129660.0,399955563310.0,1849663594522.0,1985943977019.0,2076872008346.0,2151745335924.0,2217447045030.0,2376928458937.0,2311498091152.0,2810532346337.0,2561473601973.0,2938502444473.0,2806270912856.0,1802364666439.0,1954727238971.0,2083502058028.0,1929691601058.0,2043938919714.0,2060376733403.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1461074782326.0,835963880509.0,854447704202.0,759480588629.0,801159343491.0,1184216727256.0,986350451005.0,755175650677.0,1181345657094.0,1590584854212.0,1787414404338.0,1081812191444.0,1056721690116.0,744494457271.0,1081135216928.0,756486348133.0,1584741899749.0,1530836882376.0,2007397145151.0,976276816642.0,965314206106.0,962621833860.0,939266600851.0,890317474390.0,1377761594373.0,1888731645924.0,2777083363232.0,3060448061894.0,3582227910522.0,4252853927127.0,3043692794577.0,4080107332835.0,4976869005600.0,3713364823565.0
