item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,43673584803528.0,45865671986204.0,41637462239308.0,34624337216204.0,37894106661616.0,37186889360988.0,36323785659281.0,38868922007238.0,31939652110299.0,36472211965454.0,34540172734974.0,37815910259509.0,41149731991766.0,44141942510337.0,38377137034707.0,40797469422322.0,58388394984946.0,55029939228125.0,45378460607445.0,49477221511764.0,44727892286423.0,56867278634788.0,61140995552423.0,56666894557096.0,58284382173273.0,53985272117977.0,49620976389763.0,59543529720085.0,58986937922224.0,60926785823298.0,65161869398069.0,59561171811187.0,79837671665610.0,61285423671831.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,15165331946068.0,13012612183767.0,9904293659601.0,10226751168755.0,8564010819261.0,9672955743406.0,8202713677416.0,11278868627575.0,10666166858905.0,12214554630923.0,9388181484134.0,10623961350697.0,9637237339038.0,7606274282467.0,6368584811511.0,6188823500741.0,6667783278311.0,5247607426127.0,7552604444429.0,11611732569013.0,9011729563471.0,16148497585124.0,9738929836739.0,13379071377082.0,17106789867259.0,15557231111566.0,12293516815584.0,14933068792315.0,10446733576792.0,10770637171668.0,12616557939958.0,10675798547805.0,10034406335760.0,6323957202057.0
Tiền,Cash,cash,5908141675827.0,6166224492340.0,6026240321695.0,4152922833379.0,5450108738333.0,3470585926334.0,4649859955630.0,5210722678114.0,4393847008028.0,6334752156604.0,6665911317429.0,6508760338225.0,5444419493129.0,2967710884463.0,2731243366084.0,2999741813352.0,3637464089787.0,3406920325485.0,4224072150114.0,5516629496822.0,5334854329462.0,8668827871962.0,6759718549574.0,7475801919405.0,7799683519897.0,7190589880646.0,6751167341335.0,5329158367088.0,6918908801180.0,6546783018367.0,6991887183350.0,7700724630475.0,7625562654132.0,4943978861513.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,9257190270241.0,6846387691427.0,3878053337906.0,6073828335376.0,3113902080928.0,6202369817072.0,3552853721786.0,6068145949461.0,6272319850877.0,5879802474319.0,2722270166705.0,4115201012472.0,4192817845909.0,4638563398004.0,3637341445427.0,3189081687389.0,3030319188524.0,1840687100642.0,3328532294315.0,6095103072191.0,3676875234009.0,7479669713162.0,2979211287165.0,5903269457677.0,9307106347362.0,8366641230920.0,5542349474249.0,9603910425227.0,3527824775612.0,4223854153301.0,5624670756608.0,2975073917330.0,2408843681628.0,1379978340544.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2069735678014.0,5576967215457.0,5916203472600.0,4708107680500.0,7462661838500.0,5682349930190.0,8193573158953.0,5397276850139.0,4386865013300.0,4935704454487.0,8592616595582.0,8553715967218.0,9227959098575.0,10560421312567.0,9859743075457.0,11836093701847.0,12350221496202.0,12473801703769.0,10466624993325.0,7092606800290.0,7362006179146.0,11018966669538.0,17056908938988.0,16536864145068.0,8619413552464.0,11142790183777.0,12762530159825.0,15108762286646.0,20016387716915.0,16235106665818.0,17587554403693.0,17857388795085.0,17601295291081.0,11464223499128.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,6021246000.0,5256246000.0,5256246000.0,5256246000.0,5256246000.0,13493852787.0,5256246000.0,5256246000.0,9286168558.0,9286168558.0,9286168558.0,9286168558.0,9286168558.0,9168168558.0,7734748558.0,6967748558.0,6967748558.0,6967748558.0,6967748558.0,6967748558.0,6967748558.0,6691022742.0,6691022742.0,6691022742.0,6691022742.0,6691022742.0,6691022742.0,6691022742.0,6691022742.0,6691022742.0,6691022742.0,6641022742.0,6431218877142.0,6641022742.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-2053067986.0,-2849957600.0,-2826773400.0,-2848565500.0,-2890407500.0,-2971587540.0,-3184887540.0,-2336196354.0,-2786196354.0,-3036806954.0,-3016806954.0,-2763363134.0,-2733363134.0,-2804068409.0,-1918670622.0,-1048565570.0,-842438167.0,-664315656.0,-1290896987.0,-1912927456.0,-1941400107.0,-1914364224.0,-1917875108.0,-1951375740.0,-1908516802.0,-1984173554.0,-2014585667.0,-2095304108.0,-2102399521.0,-2044654919.0,-1987789474.0,-1909000000.0,-1927000000.0,-1951000000.0
Các khoản phải thu,Accounts receivable,accounts_receivable,8952592933502.0,8642267080893.0,10215291273459.0,7477239532821.0,8910180509758.0,9007792341892.0,8497404678288.0,8386949560558.0,8378636168059.0,8436497067191.0,6436234600523.0,7205532262887.0,9821370405165.0,10986675189496.0,8541660805975.0,7089483429398.0,12175001059728.0,12706208128499.0,10855831917854.0,11983835692225.0,12224056757185.0,12634610023671.0,13636492285584.0,10972776040794.0,14924518812554.0,11040842595033.0,10172950141660.0,12465105480349.0,11896134250401.0,15898006476916.0,17374395179920.0,15969900845614.0,19662068640316.0,19809296639468.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,8112631022438.0,8010098932536.0,9471975667968.0,7005801598421.0,8272550671251.0,8337882163803.0,7873691761315.0,8035204645086.0,7842383687424.0,7903705796059.0,6056361870357.0,7038046149690.0,9454259394524.0,10756779328491.0,8090698140610.0,6797350624556.0,11700042758144.0,12221526286098.0,10221814106088.0,11183979409777.0,11302417517916.0,11843847670816.0,12770691217103.0,10025594162981.0,14020392694577.0,10226690651149.0,9565536965812.0,12232902323561.0,11631122792742.0,15820830951212.0,17290266372609.0,15782706609584.0,19244902718970.0,19719737590786.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,483370114266.0,494676037410.0,624907361611.0,369683510151.0,414193194949.0,549279620171.0,604611986777.0,290439417579.0,323622265867.0,342898744354.0,355159511617.0,286231835579.0,344316182074.0,329050023141.0,426676294354.0,356612725930.0,380039135390.0,345600755574.0,349250456824.0,655313039959.0,709161825379.0,709183464871.0,752352837985.0,663399363041.0,686926379136.0,653134867943.0,801291570659.0,383629822851.0,383849823679.0,361351656811.0,456947380911.0,532504290962.0,889283367089.0,1021605583617.0
