item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,136253115852196.0,98724236882258.0,81871623500657.0,83655313290115.0,76568084039970.0,67890171339647.0,71055339774054.0,64352149009035.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-34982126852.0,-26300782129.0,-28526122040.0,-23905961027.0,-29104065392.0,-29140851991.0,-27921227222.0,-27759775244.0
Doanh thu thuần,Net sales,net_sales,136218133725344.0,98697936100129.0,81843097378617.0,83631407329088.0,76538979974578.0,67861030487656.0,71027418546832.0,64324389233791.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-128526418908129.0,-94997191645731.0,-77089523091293.0,-79132251130925.0,-71390871963554.0,-64149128072879.0,-66387623732363.0,-60887953877442.0
Lợi nhuận gộp,Gross Profit,gross_profit,7691714817215.0,3700744454398.0,4753574287324.0,4499156198163.0,5148108011024.0,3711902414777.0,4639794814469.0,3436435356349.0
Doanh thu hoạt động tài chính,Financial income,financial_income,443350028596.0,362700272208.0,421280204275.0,537372268780.0,441123331368.0,421762522293.0,294548639619.0,495756246975.0
Chi phí tài chính,Financial expenses,financial_expenses,-502982236930.0,-388792313026.0,-259531831991.0,-382612529914.0,-338296689689.0,-293602592566.0,-254304223346.0,-231690804893.0
Chi phí lãi vay,Interest expenses,interest_expenses,-231004860336.0,-190452317219.0,-208273100502.0,-243608783459.0,-180785086150.0,-165571705006.0,-60571390579.0,-174618679639.0
Chi phí bán hàng,Selling expenses,selling_expenses,-4033774993287.0,-3992214991306.0,-3956952945699.0,-3694461635407.0,-3462501087318.0,-3353223304063.0,-3880675591660.0,-3318400967579.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-416415124252.0,-329381782667.0,-306203435333.0,-321973660276.0,-301177952047.0,-263607670164.0,-285584161214.0,-268478694668.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,3335629828615.0,-493347203011.0,832079729967.0,769408662316.0,1637523201076.0,337522026628.0,656299652175.0,222606020208.0
Thu nhập khác,Other incomes,other_incomes,53765938127.0,19588958441.0,7132112424.0,67573144956.0,23228053831.0,30163478827.0,164929226500.0,34140384799.0
Chi phí khác,Other expenses,other_expenses,-25243490710.0,-22056807426.0,-7984369133.0,-29854497148.0,-14026103754.0,-9301853896.0,-49016605939.0,-15534724395.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,28522447417.0,-2467848985.0,-852256709.0,37718647808.0,9201950077.0,20861624931.0,115912620561.0,18605660404.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,3364152276032.0,-495815051996.0,831227473258.0,807127310124.0,1646725151153.0,358383651559.0,772212272736.0,241211680612.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-347307997529.0,-189397913651.0,-143827289404.0,-191427536438.0,-338677276338.0,-101717149134.0,-159885802834.0,-85772393306.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,27878345505.0,22735839740.0,-1805737471.0,90270464748.0,116363202647.0,-45897701886.0,-2312701888.0,-24954092788.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-319429652024.0,-166662073911.0,-145633026875.0,-101157071690.0,-222314073691.0,-147614851020.0,-162198504722.0,-110726486094.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,3044722624008.0,-662477125907.0,685594446383.0,705970238434.0,1424411077462.0,210768800539.0,610013768014.0,130485194518.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,235910100747.0,100496555281.0,120855196933.0,95269052234.0,58006039987.0,77353990619.0,64740824095.0,64610736260.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,2808812523261.0,-762973681188.0,564739249450.0,610701186200.0,1366405037475.0,133414809920.0,545272943919.0,65874458258.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2329.0,0.0,142.0,369.0,882.0,86.0,-151.0,51.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,-521.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,153737337273.0,153597157382.0,179913451391.0,131928020970.0,150267587738.0,114290656351.0,142520174307.0,108984884024.0
