item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2699153,2713200,2715170,2717477
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,1158813235,1158813235,1158813235,1170813235
Vốn hóa,Market Cap,market_cap,71035251305500.0,67327048953500.0,62460033366500.0,72122095276000.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,20.9913898687,17.8550342102,16.423871805,21.837848935
P/B,P/B,pb_ratio,3.7175952366,3.5690396191,3.1864155676,3.5624222727
P/S,P/S,ps_ratio,0.4297860702,0.3779286105,0.3357529486,0.3757688452
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,18.2079757571,14.8700866528,-199.7806605086,18.2332765081
EV/EBITDA,EV/EBITDA,ev_to_ebitda,13.6927766693,10.285449727,10.1575782076,12.0144481114
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.4000621333,0.303264123,0.262371541,0.3238613348
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.7659365107,0.6983460486,0.7442251634,0.7690507616
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,1.1516538626,1.0684862015,1.1024199114,1.0950910737
Vốn chủ sở hữu,Owners Equity,owners_equity,0.0985754445,0.1032474051,0.1059865435,0.0587519327
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.8602296506,0.7918692983,0.7666477713,0.6399091484
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,1.6720586388,2.1144574972,1.8099030475,1.4438953789
ROE (%),ROE (%),roe,0.1387706168,0.1618264367,0.1648457504,0.1574248653
ROA (%),ROA (%),roa,0.0539838284,0.0584105018,0.058311755,0.0618916675
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,16.9762276875,16.3623219985,16.4103072442,13.2110964019
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,29.5820461312,29.7605860076,30.0746687822,24.3717394884
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,31.5455014999,33.2043588344,32.9480520588,28.4559231138
Biên LN gộp (%),Gross Margin (%),gross_margin,0.0758371705,0.0757444337,0.0732831246,0.0723731258
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.0245431313,0.0274667206,0.0272879014,0.0247788727
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.0286395816,0.029524734,0.0284698009,0.0262726264
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.0234807332,0.0239477935,0.0229138274,0.0210912337
Vòng quay tài sản,Asset Turnover,asset_turnover,2.6427309771,2.7595719158,2.8524082722,3.25473428
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,4056500711888.0,4893128459836.0,5076361167021.0,4755860521759.0
EBITDA,EBITDA,ebitda,5603858078090.0,6932583537700.0,7124979343549.0,6827995431715.0
ROIC,ROIC,roic,0.089915369,0.1272719442,0.128780308,0.126176466
Chu kỳ tiền,Cash Cycle,cash_cycle,79.6021154783,80.6909092512,80.7167515103,66.3858895845
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,10.674374973,11.6362831884,12.2805201191,12.6304630684
Đòn bẩy tài chính,Financial Leverage,financial_leverage,1.6720586388,2.1144574972,1.8099030475,1.4438953789
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
