item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,20308045024787.0,12327018194772.0,8901872534766.0,7855188738891.0,9398770212474.0,8150308985784.0,8619178824356.0,6061159998320.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,20308045024787.0,12327018194772.0,8901872534766.0,7855188738891.0,9398770212474.0,8150308985784.0,8619178824356.0,6061159998320.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-15587316400435.0,-10522750414875.0,-7697858604308.0,-6564435636945.0,-8230982771383.0,-7334309845541.0,-8029468233671.0,-5764905515076.0
Lợi nhuận gộp,Gross Profit,gross_profit,4720728624352.0,1804267779897.0,1204013930458.0,1290753101946.0,1167787441091.0,815999140243.0,589710590685.0,296254483244.0
Doanh thu hoạt động tài chính,Financial income,financial_income,366307258830.0,298813052323.0,394256906668.0,222852092391.0,206378587637.0,208100324335.0,-50599556513.0,411264584940.0
Chi phí tài chính,Financial expenses,financial_expenses,-515907969834.0,-457938975468.0,-164196234556.0,-295127875537.0,-398689493045.0,-175504879735.0,-488550060202.0,3286864578.0
Chi phí lãi vay,Interest expenses,interest_expenses,-517767647245.0,-414177841347.0,-245673753524.0,-152456160451.0,-137817303342.0,-119464898488.0,-117537490672.0,-95632403499.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,0.0,-951315419.0,-549114673.0,0.0,0.0,0.0,0.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-421640149964.0,-236165101434.0,-529876208915.0,-211833570897.0,-166322714034.0,-337713585028.0,-397327549083.0,-168864458435.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,4150441869625.0,1408976755318.0,907495599830.0,1006094633230.0,809196636246.0,511407191000.0,-305268132365.0,541941474327.0
Thu nhập khác,Other incomes,other_incomes,3166849993.0,1787997811.0,9532496949.0,7389713592.0,2060865133.0,2446765811.0,1113064506791.0,7030849557.0
Chi phí khác,Other expenses,other_expenses,-1698854140.0,-3242690841.0,-14882209476.0,-1658183394.0,-1420046497.0,-3400396381.0,-691823157716.0,-1886040593.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,1467995853.0,-1454693030.0,-5349712527.0,5731530198.0,640818636.0,-953630570.0,421241349075.0,5144808964.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,4151909865478.0,1407522062288.0,902145887303.0,1011826163428.0,809837454882.0,510453560430.0,115973216710.0,547086283291.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-444237544581.0,-107435718805.0,-79092840407.0,-63448641579.0,-52872924106.0,-38207573814.0,-18319183223.0,-93826036355.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,2114557289.0,0.0,4385813849.0,0.0,2670372007.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-444237544581.0,-107435718805.0,-76978283118.0,-63448641579.0,-48487110257.0,-38207573814.0,-15648811216.0,-93826036355.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,3707672320897.0,1300086343483.0,825167604185.0,948377521849.0,761350344625.0,472245986616.0,100324405494.0,453260246936.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,189046694779.0,100509881846.0,255318626732.0,139076772278.0,158933266046.0,27155813155.0,54485322264.0,56910012939.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,3518625626118.0,1199576461637.0,569848977453.0,809300749571.0,602417078579.0,445090173461.0,45839083230.0,396350233997.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1147.0,391.0,78.0,346.0,257.0,190.0,20.0,169.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,954106241.0,0.0,4248521594.0,0.0,42814597.0,526191185.0,41498442748.0,0.0
