item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,5639183868500.0,5854640976960.0,5891198280100.0,5671242240405.0,5402184479880.0,5517017734860.0,5542384281200.0,5716432161120.0,6034592119000.0,5783318367360.0,5611394327720.0,5114177466115.0,5066231628480.0,5437164178560.0,5124401467680.0,5400970190560.0,5326301826900.0,5614854482545.0,5590028426430.0,5589949335390.0,5755848514970.0,6104708945960.0,6675491239200.0,6953926883120.0,7793940918690.0,8538261198111.0,8733185780000.0,7782381355167.0,7482203588880.0,8622052996160.0,8632419217878.0,9657061718516.0,10817207632647.0,10784462968578.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1666332918250.0,2188251382320.0,2331959343850.0,2266981301385.0,1915612097040.0,1726067570040.0,1541908088150.0,1890029157920.0,1801320073000.0,1756884129760.0,1689697683850.0,1074681800500.0,838477623940.0,736877679120.0,778317114520.0,1135703088960.0,954809193300.0,1186276113155.0,1489919682090.0,1965082360460.0,1476984026100.0,1758803413120.0,2235805233120.0,2256047157280.0,2168112078810.0,2515931616807.0,3162209524400.0,2203268278194.0,1434546278280.0,1672152087940.0,1403165022930.0,1821273980243.0,1426896842436.0,1317336690150.0
Tiền,Cash,cash,1262461245500.0,1825774768200.0,2046175369680.0,2086289929680.0,1769695898400.0,1571095687860.0,1414284036450.0,1751012944480.0,1709406027000.0,1717884134640.0,1633654374730.0,1035181797130.0,646232324210.0,530877669840.0,581779184800.0,768120048960.0,881691199400.0,1113239450260.0,1389816931440.0,1911382372150.0,1447984016800.0,1608377495200.0,2137415242680.0,2186313331440.0,2109112071420.0,2433669312729.0,3005754430800.0,1895198629149.0,1288735919460.0,1314678343460.0,1229600273978.0,1700983804175.0,1279257913635.0,1247683206198.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,403871672750.0,362476614120.0,285783974170.0,180691371705.0,145916198640.0,154971882180.0,127624051700.0,139016213440.0,91914046000.0,38999995120.0,56043309120.0,39500003370.0,192245299730.0,206000009280.0,196537929720.0,367583040000.0,73117993900.0,73036662895.0,100102750650.0,53699988310.0,29000009300.0,150425917920.0,98389990440.0,69733825840.0,59000007390.0,82262304078.0,156455093600.0,308069649045.0,145810358820.0,357473744480.0,173564748952.0,120290176068.0,147638928801.0,69653483952.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,1351568195250.0,1037246708640.0,764724262040.0,1009748488860.0,1339602794160.0,1553343324480.0,1456261653650.0,1033149521760.0,817674627500.0,897658368480.0,1000660473640.0,1196704990825.0,1435977470400.0,1656257348040.0,1463136463140.0,1539250742480.0,1362635531900.0,1070933956400.0,824176667790.0,420925892820.0,922948650020.0,888439722310.0,910401392160.0,1278224697680.0,1235521512510.0,1402048681252.0,884082247600.0,770247363138.0,1174456784340.0,944255273160.0,627133217812.0,688956087159.0,1702419108078.0,1479928953438.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1849804456500.0,1828709513760.0,1974786698650.0,1613380156935.0,1414341804840.0,1451794021380.0,1771363688500.0,1933888237200.0,2606265972500.0,2369717577200.0,2161531189360.0,1806098357535.0,1747636738430.0,2231291429280.0,2095349058220.0,1938663403760.0,2160919758100.0,2432664336375.0,2241249995880.0,2224437138690.0,2421372169170.0,2484908901660.0,2514372226560.0,2340408066080.0,3228823373190.0,3413453161612.0,3513465116800.0,3469317637527.0,3517279533720.0,4313259750500.0,4649562756776.0,5320195613823.0,5790494293584.0,5783509647552.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1939054185250.0,2090426599080.0,2086265261830.0,1617105830730.0,1434704493720.0,1414990414260.0,1595382180550.0,1600090277840.0,2106539976500.0,1715566169680.0,1432954547700.0,860196765155.0,834466489670.0,1318769561880.0,1337705114900.0,1313068539280.0,1573629307900.0,1826964078905.0,1695983930550.0,1735638492410.0,1958033945460.0,1992940330690.0,1825736337360.0,1814177495760.0,2475381624150.0,2581382569484.0,2521408843200.0,2723586217779.0,2531152323720.0,3118693853340.0,3242448384822.0,4313704304677.0,4802524877280.0,4724638279920.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,241362758000.0,59798990520.0,102301930540.0,30162054810.0,123667729920.0,37800232740.0,48018169850.0,78476886480.0,215818407000.0,333099550400.0,395788206810.0,425283779640.0,391946026560.0,299060664240.0,142515538000.0,68808031360.0,124843916400.0,65111074595.0,117584475540.0,113721027770.0,205766823940.0,173259587130.0,328056192360.0,245356995520.0,407146559820.0,423131616341.0,426351350400.0,125602867674.0,251261238600.0,280503694520.0,475103799686.0,208476540204.0,326557273653.0,389773565766.0
