item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,3328092390124.0,4336660843660.0,3703122882770.0,3298837818779.0,4094828099700.0,4826135515598.0,4648036890180.0,3301454799930.0,3241100883337.0,5517582473907.0,5966192794720.0,5107444555110.0,2619062163961.0,3063425445551.0,3984326703489.0,4571014051407.0,3770799183134.0,3813078238614.0,3503431322721.0,5285566346499.0,3705307756917.0,4713249213266.0,4176586281710.0,6759320501388.0,3710320894889.0,5571759636508.0,4821428629099.0,9668847182536.0,6013919171051.0,7359775491155.0,9629523756106.0,9716715553975.0,8699805219801.0,8575416894089.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81584891618.0,0.0,0.0,0.0,0.0,-5387353101.0,-6683695959.0,-3861304790.0,-1103934520.0,-1426109360.0,-2954792173.0,-1008147747.0,-1072387119.0,-1650285449.0,-1391891523.0,-1037464566.0,-1008586420.0,-728317460.0,-331708889.0,-1410173640.0,0.0,-239722556.0,-385187280.0,0.0,-1048528132.0,-1064773000.0,-1002373650.0
Doanh thu thuần,Net sales,net_sales,3328092390124.0,4336660843660.0,3703122882770.0,3298837818779.0,4094828099700.0,4826135515598.0,4648036890180.0,3219869908312.0,3241100883337.0,5517582473907.0,5966192794720.0,5107444555110.0,2613674810860.0,3056741749592.0,3980465398699.0,4569910116887.0,3769373073774.0,3810123446441.0,3502423174974.0,5284493959380.0,3703657471468.0,4711857321743.0,4175548817144.0,6758311914968.0,3709592577429.0,5571427927619.0,4820018455459.0,9668847182536.0,6013679448495.0,7359390303875.0,9629523756106.0,9715667025843.0,8698740446801.0,8574414520439.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3007635437786.0,-4251076716904.0,-3460641976683.0,-2869198071745.0,-3671177180574.0,-4449985624745.0,-4424684725053.0,-3109285669832.0,-3049557626416.0,-5272235759520.0,-5533313809749.0,-5265328021351.0,-2435001363886.0,-2818026366596.0,-3776238896260.0,-4315520599594.0,-3576702717534.0,-3665601977712.0,-3300927260333.0,-4809304282730.0,-3499870717741.0,-4524413612409.0,-3994918874146.0,-6381953214777.0,-3451128130605.0,-5331095928419.0,-4486262335492.0,-9436296559383.0,-5756618165372.0,-6196019959721.0,-9306519015048.0,-8866498879754.0,-7843826848597.0,-7915978476420.0
Lợi nhuận gộp,Gross Profit,gross_profit,320456952338.0,85584126756.0,242480906087.0,429639747034.0,423650919126.0,376149890853.0,223352165127.0,110584238480.0,191543256921.0,245346714387.0,432878984971.0,-157883466241.0,178673446974.0,238715382996.0,204226502439.0,254389517293.0,192670356240.0,144521468729.0,201495914641.0,475189676650.0,203786753727.0,187443709334.0,180629942998.0,376358700191.0,258464446824.0,240331999200.0,333756119967.0,232550623153.0,257061283123.0,1163370344154.0,323004741058.0,849168146089.0,854913598204.0,658436044019.0
Doanh thu hoạt động tài chính,Financial income,financial_income,63600327280.0,104260896734.0,101936136742.0,233167724074.0,46593822958.0,90424394870.0,96244977950.0,84580733872.0,110287711321.0,71846983753.0,93846682342.0,122874367608.0,75460952844.0,64377153234.0,50981108407.0,86730217153.0,85890578576.0,144431706120.0,135734217286.0,123005238286.0,146813185460.0,156704878163.0,211443814343.0,260737750974.0,150623140152.0,139727258752.0,83745361735.0,194722284021.0,339891342503.0,221198205477.0,233962953577.0,132391157671.0,214502717395.0,232518707153.0
Chi phí tài chính,Financial expenses,financial_expenses,-14218640495.0,-14058324705.0,-27165331825.0,-10796034421.0,-10672153812.0,-16811740991.0,-25555384924.0,-14219118218.0,-34228669753.0,-39305775881.0,-21332116386.0,-46041372062.0,-19028939322.0,-13972387822.0,-15939913158.0,-45433627163.0,-21635325048.0,-30174931017.0,-19665344508.0,-91157955017.0,-51365746337.0,-14963440483.0,-46770403807.0,-102303420924.0,-14065957860.0,-43723892041.0,-166207434089.0,6521919169.0,-33584859278.0,-23660802062.0,-29765575627.0,-41644426745.0,-71815823776.0,-35928611254.0
Chi phí lãi vay,Interest expenses,interest_expenses,-7438652725.0,-7885824236.0,-5542435792.0,-5935994901.0,-6823386267.0,-7242752024.0,-7350258382.0,-12361908070.0,-14418423648.0,-15304109778.0,-13643592528.0,-12389404148.0,-12097517503.0,-10899589675.0,-11245646258.0,-11376757656.0,-11488395389.0,-10478270160.0,-12739376369.0,-15940842669.0,-19705054428.0,-19605098985.0,-17392174565.0,-17392174565.0,-15908525758.0,-14511594807.0,-17613241206.0,-16012184849.0,-17863135727.0,-17358963512.0,-17001734240.0,-16232723753.0,-16602958852.0,-20496653272.0
Chi phí bán hàng,Selling expenses,selling_expenses,-18466266885.0,-26947319444.0,-23324348054.0,-32703611483.0,-21023648254.0,-21979185611.0,-26250712665.0,-38650247068.0,-24681186509.0,-22474075264.0,-31537556468.0,-39887598906.0,-22405230671.0,-26547564871.0,-14472514331.0,-26944004255.0,-15275458544.0,-18192576604.0,-18649192690.0,-27208995052.0,-19733848953.0,-16953703634.0,-22048884022.0,-26684863240.0,-21994926238.0,-20439331696.0,-22397711036.0,-30371726021.0,-22705934657.0,-742031716694.0,-25304156170.0,-39478553124.0,-307155778330.0,-217304840291.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-122688059215.0,-162012529021.0,-134910693647.0,-253285404713.0,-136457804009.0,-284903239595.0,-142790356722.0,-86923695171.0,-123857899865.0,-109035965241.0,-151830379753.0,-333775638846.0,-190841298261.0,-227890608877.0,-195880409779.0,-166289958327.0,-150436972050.0,-351087048032.0,-169297783459.0,-156924789299.0,-169949314043.0,-232304335440.0,-261935709201.0,-386160392883.0,-204968934471.0,-311598931388.0,-222908963620.0,-495699725993.0,-372804879017.0,-396476707747.0,-320636509958.0,-188858503224.0,-315764883651.0,-526481999116.0
