item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,3999981346633.0,4318865797963.0,4076043758623.0,4274231847512.0,4291125647616.0,4013911182574.0,3812110430895.0,3784375230534.0,4126625650238.0,4367158954088.0,4573634643571.0,4633658192990.0,4668708231853.0,4707494638998.0,5075707878077.0,4798253913961.0,4857047365530.0,5521704223697.0,5976714436571.0,6202512561744.0,6247576205243.0,6511783127151.0,6531680802270.0,6278900655417.0,6529355737413.0,6874226731943.0,7256654162096.0,6648001421674.0,6873770886330.0,8501109720481.0,8144910955729.0,7522113324368.0,8094338828633.0,8960272263403.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1391541121057.0,1273173304671.0,1102815628417.0,1278293115224.0,1655412545031.0,1350974044349.0,1238219928208.0,1208219230035.0,1120448052950.0,981406769364.0,1462422523501.0,2287449714874.0,1619840647280.0,1461378367826.0,1574770666120.0,1349418027835.0,1469903937851.0,1782514067931.0,1803900871310.0,1921757297038.0,1257265329263.0,1174572513443.0,1093999749182.0,969212525134.0,1336739929455.0,1185676413015.0,1428026749793.0,1152030770539.0,1470962886552.0,1219731451415.0,1738265083037.0,1899525806593.0,1556109255397.0,1426264075190.0
Tiền,Cash,cash,247223568941.0,329207872623.0,293803650253.0,280487895634.0,245709231725.0,202786547606.0,263841634282.0,227946141290.0,245348026962.0,241543663799.0,274946277414.0,226974400662.0,336768783377.0,284979530250.0,531933842889.0,365445546461.0,368198051743.0,469808452454.0,396507850268.0,334164297038.0,341857282096.0,443702513443.0,359329749182.0,409162525134.0,477399929455.0,592296413015.0,680688530615.0,557510770539.0,695833452985.0,605434863114.0,1061970573330.0,941616389545.0,1087053963640.0,986948532091.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1144317552116.0,943965432048.0,809011978164.0,997805219590.0,1409703313306.0,1148187496743.0,974378293926.0,980273088745.0,875100025988.0,739863105565.0,1187476246087.0,2060475314212.0,1283071863903.0,1176398837576.0,1042836823231.0,983972481374.0,1101705886108.0,1312705615477.0,1407393021042.0,1587593000000.0,915408047167.0,730870000000.0,734670000000.0,560050000000.0,859340000000.0,593380000000.0,747338219178.0,594520000000.0,775129433567.0,614296588301.0,676294509707.0,957909417048.0,469055291757.0,439315543099.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,1423123630401.0,1844458832068.0,1620949310669.0,1572305707500.0,1313805707500.0,1395376592500.0,1353117592500.0,1480541000000.0,1686625852055.0,2106194147945.0,1961540295890.0,1044626284931.0,1475678042367.0,1614638721867.0,1730316945205.0,1725847945205.0,1728100000000.0,1769100000000.0,1890980000000.0,2583631233950.0,3171051256873.0,3475299634443.0,3474624393754.0,3496468628419.0,3334653962898.0,3704812069127.0,3729156934096.0,3357277835242.0,3140216981969.0,3620854994459.0,3554344063089.0,2999126793824.0,3709183766462.0,4385508372755.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1038178871268.0,1035854093456.0,1161256844060.0,1144775700923.0,1030726159795.0,966228262610.0,954188183268.0,817220042088.0,1022007328635.0,994241213729.0,885043511254.0,1069375124635.0,1291039116141.0,1317216658077.0,1469028727457.0,1420503024254.0,1325630196391.0,1606988451920.0,1929281319046.0,1290686271006.0,1420115529025.0,1410361349161.0,1410127773135.0,1183264247322.0,1202105079121.0,1294904671643.0,1386263918212.0,1311639971868.0,1423437600256.0,2882051075836.0,2125319172618.0,1833081705927.0,1965132544093.0,2126315111999.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,974654427739.0,958672015071.0,1063435701311.0,906314551309.0,955951557141.0,873686768602.0,919703457655.0,742783508674.0,925153462243.0,883094760863.0,726712589212.0,892669858024.0,1036953198268.0,1088016015357.0,1197452802352.0,1117137542892.0,1142728277681.0,1291666585845.0,1523330900935.0,984042171288.0,1066605750748.0,915796566350.0,1026572854481.0,935232678872.0,987382171405.0,1043827961565.0,1067799142475.0,1079926463852.0,1164527018052.0,2304614324219.0,1773961712227.0,1517829993363.0,1591077090864.0,1614932163995.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,14810056961.0,11013836766.0,14343510176.0,113475432624.0,14558078448.0,18463140475.0,17688623890.0,10848458101.0,15296837423.0,19624669929.0,33279755427.0,13775170120.0,23979173012.0,28726129941.0,61665632235.0,19158408652.0,70217041189.0,85848505456.0,122310208699.0,37919563878.0,59986492911.0,190746317442.0,118078500004.0,32852726508.0,47204125761.0,88730184630.0,74695310943.0,43962274251.0,64677603365.0,41409457152.0,64826807006.0,75277555108.0,73996769923.0,267685918133.0
