item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,7013989253545.0,6538755308695.0,6972989928134.0,6509183599271.0,6867333006980.0,5899500354875.0,9048632840427.0,7737388215882.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-125956748023.0,-81575683190.0,-136438233828.0,-72606021283.0,-62998692205.0,-88771713823.0,-116121473511.0,-67279614677.0
Doanh thu thuần,Net sales,net_sales,6888032505522.0,6457179625505.0,6836551694306.0,6436577577988.0,6804334314775.0,5810728641052.0,8932511366916.0,7670108601205.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-4224788201177.0,-4052082990905.0,-4242463707347.0,-4050234333036.0,-4356268929121.0,-3938664433825.0,-6433184640631.0,-5391899712720.0
Lợi nhuận gộp,Gross Profit,gross_profit,2663244304345.0,2405096634600.0,2594087986959.0,2386343244952.0,2448065385654.0,1872064207227.0,2499326726285.0,2278208888485.0
Doanh thu hoạt động tài chính,Financial income,financial_income,261826233579.0,264375213097.0,256707772369.0,251611132941.0,255243028080.0,243085541738.0,268487039624.0,253590755449.0
Chi phí tài chính,Financial expenses,financial_expenses,-10022977105.0,-14437156234.0,1785166234.0,78186630167.0,-15117680647.0,-91111026238.0,4487618119.0,-12464565152.0
Chi phí lãi vay,Interest expenses,interest_expenses,-6869703486.0,-7553159578.0,-7381678847.0,-7297682237.0,-8765781329.0,-10901060239.0,-4881451450.0,-6169631263.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1154166377854.0,-900339945103.0,-1325820629983.0,-981288337744.0,-916441248237.0,-798819252172.0,-1429400492822.0,-867894877500.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-255599690018.0,-236063669520.0,-263704092762.0,-233280188525.0,-239298328912.0,-247276682656.0,-229906607275.0,-224468201063.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,1534458420319.0,1548337808833.0,1393436087241.0,1562857632874.0,1566161276770.0,1030831420191.0,1243067931856.0,1477832754527.0
Thu nhập khác,Other incomes,other_incomes,6746681461.0,7507735159.0,7020911523.0,139404397215.0,4927803618.0,1250245672.0,15921152086.0,4485921047.0
Chi phí khác,Other expenses,other_expenses,-4291409170.0,-7978982263.0,-27989842553.0,-6473444837.0,-9588962064.0,-9871737223.0,-19852335352.0,-11260561181.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,2455272291.0,-471247104.0,-20968931030.0,132930952378.0,-4661158446.0,-8621491551.0,-3931183266.0,-6774640134.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,1536913692610.0,1547866561729.0,1372467156211.0,1695788585252.0,1561500118324.0,1022209928640.0,1239136748590.0,1471058114393.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-315269203513.0,-265674977938.0,-317557614028.0,-306674578977.0,-289648060008.0,-143258083584.0,-314714975240.0,-295901232943.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,21678876625.0,-36747645899.0,64179016536.0,14610985986.0,-21175769550.0,-79316607744.0,66348789509.0,-13797158364.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-293590326888.0,-302422623837.0,-253378597492.0,-292063592991.0,-310823829558.0,-222574691328.0,-248366185731.0,-309698391307.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,1243323365722.0,1245443937892.0,1119088558719.0,1403724992261.0,1250676288766.0,799635237312.0,990770562859.0,1161359723086.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,76541303715.0,60605701035.0,56699944080.0,43183838348.0,43179619280.0,6521852819.0,25312056190.0,42262543780.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,1166782062007.0,1184838236857.0,1062388614639.0,1360541153913.0,1207496669486.0,793113384493.0,965458506669.0,1119097179306.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,871.0,897.0,802.0,1032.0,909.0,599.0,732.0,853.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,29176927372.0,29706731993.0,130379884424.0,61285151083.0,33710120832.0,52888632292.0,130073647925.0,50860754308.0
