item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,4991934792379.0,4923264647813.0,5325749468570.0,4773903146557.0,4982911091859.0,5438691182103.0,5589532012114.0,5989907588499.0,5850098095613.0,6061920380445.0,6900558960715.0,6857673176841.0,6664855599545.0,9667462968906.0,9968200278768.0,10839040649736.0,11707227682904.0,11152712353495.0,11304311785998.0,10832351412870.0,11005091929071.0,10709302231000.0,10750031970265.0,11385434031979.0,11856894733798.0,12194520243646.0,12853527790153.0,13935073119222.0,15166614012782.0,17241150548875.0,20194396107785.0,22932727930843.0,22268838644076.0,27459400673320.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,25272404203.0,354672199570.0,967394836380.0,838785387863.0,195231058763.0,355256932131.0,97985986770.0,1052419267919.0,258170214865.0,380118814380.0,299678603011.0,653074220193.0,465844570190.0,529444126411.0,588025336945.0,652033715127.0,857333689915.0,2340196793467.0,539079780444.0,1039661871707.0,18813537908.0,302702284166.0,1611559906019.0,851889363555.0,422663544938.0,2137337337561.0,440474323870.0,680759314148.0,659996992625.0,790995794919.0,664842638409.0,887614356666.0,586518752110.0,958360050730.0
Tiền,Cash,cash,25272404203.0,354672199570.0,967394836380.0,838785387863.0,195231058763.0,355256932131.0,97985986770.0,1052419267919.0,258170214865.0,380118814380.0,299678603011.0,653074220193.0,465844570190.0,529444126411.0,588025336945.0,652033715127.0,857333689915.0,740196793467.0,539079780444.0,1039661871707.0,18813537908.0,302702284166.0,1611559906019.0,851889363555.0,422663544938.0,1637337337561.0,440474323870.0,680759314148.0,659996992625.0,790995794919.0,664842638409.0,887614356666.0,586518752110.0,958360050730.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),Financial assets at fair value through profit or loss (FVTPL),financial_assets_at_fair_value_through_profit_or_loss_fvtpl,662864458445.0,1141841333256.0,1124425020806.0,1006453343406.0,1542399220796.0,1246939590606.0,852853755686.0,1270103498366.0,980785447926.0,1074672632086.0,1392952603076.0,2204736610306.0,1703834703768.0,1536323041057.0,2672950831015.0,2700773774103.0,4045783790255.0,3987747530779.0,4533993460004.0,4339477987075.0,4483810908078.0,3727065583936.0,3589420545980.0,5032173035088.0,5332951902335.0,5041818630610.0,6902119994854.0,8144359839930.0,8804564294901.0,9174301509441.0,9019867607771.0,11291555024833.0,9541575145822.0,11333670649169.0
Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tổng các khoản phải thu,Accounts receivable,accounts_receivable,1149837162470.0,1155427528890.0,910214848146.0,873058354611.0,1428043671042.0,1924891862092.0,2688026705682.0,1712257984185.0,3021765111148.0,2596024122901.0,3006381537452.0,1364292470225.0,920012205686.0,916467500210.0,2037753933640.0,962205522370.0,925376644607.0,1241495306728.0,1312416047501.0,1504637279395.0,1535745563346.0,1295957947934.0,990880688228.0,998117364654.0,922033416568.0,156451714281.0,125022100167.0,268463626957.0,241057075894.0,187331389335.0,162284337018.0,84138947709.0,163649083003.0,1250967448266.0
Phải thu khách hàng (Trước năm 2016),Trade accounts receivable (Before 2016),trade_accounts_receivable_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,89238150390.0,259130503.0,189695000.0,741970854.0,1813879234.0,313279091.0,3913822000.0,2247585608.0,778301000.0,465994420.0,1188648500.0,1866245590.0,4397954269.0,8604915808.0,15314773116.0,3671818770.0,3233443280.0,1207131000.0,3804493640.0,1579399895.0,8307402958.0,10391179898.0,7922893000.0,1750718531.0,201704511000.0,4174442815.0,2567893200.0,1242070000.0,7158850037.0,13608844525.0,17746949581.0,4119646702.0,3734931296.0,8915841102.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu về XDCB (Trước năm 2016),Construction contract in progress receivables (Before 2016),construction_contract_in_progress_receivables_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,54203153168.0,45160671536.0,49303789709.0,59862400297.0,75677420782.0,50640260199.0,50595835912.0,45021531845.0,92057201619.0,45257965709.0,45257752886.0,92583752886.0,45685823065.0,45287875557.0,58336410059.0,161352205033.0,253087509464.0,45391612781.0,48206800584.0,45008845285.0,46477724507.0,51669134456.0,45527685927.0,45006580297.0,45268058539.0,0.0,9689120455.0,0.0,92225924300.0,2105784.0,44368250000.0,9299969729.0,7154191870.0,712913103093.0
Dự phòng nợ khó đòi (Trước năm 2016),Provision for doubtful debts (Before 2016),provision_for_doubtful_debts_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng (Trước năm 2016)","Inventories, Net (Before 2016)",inventories_net_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hàng tồn kho (Trước năm 2016),Inventories (Before 2016),inventories_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá HTK (Trước năm 2016),Provision for decline in inventories (Before 2016),provision_for_decline_in_inventories_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản ngắn hạn khác,Other current assets,other_current_assets,4358105302.0,5516770212.0,19759404476.0,4597094842.0,6019366759.0,5298379887.0,4921165075.0,7287414402.0,7153938197.0,7804218362.0,6572968401.0,2877909616.0,7213793654.0,7103584683.0,8070457801.0,4473782314.0,24463398930.0,4077348090.0,23163691680.0,20667755595.0,19221450832.0,6847894576.0,38186194622.0,7519460402.0,49152048832.0,44708160737.0,44514735948.0,41938740314.0,41476707805.0,26230104041.0,41942862548.0,35397782828.0,30880698524.0,26515429296.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,3077646236.0,2236047099.0,2043516128.0,1315278612.0,1878393676.0,1419388388.0,951335219.0,412278980.0,2106078935.0,2063739536.0,1130255364.0,862313401.0,2493563501.0,1719217437.0,1098257036.0,1455650965.0,1415403777.0,900100813.0,1293003683.0,3988136457.0,3702034860.0,3599285192.0,3061117334.0,4628757347.0,3816235220.0,3987926122.0,3811464506.0,3369453232.0,2698629250.0,3314415918.0,18968551199.0,13482177513.0,8691966482.0,3493780441.0
Thuế giá trị gia tăng được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,0.0,0.0,4904543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19500.0,8224536.0,105000.0,134500.0,173000.0,200500.0,7583833.0,8989166.0,419500.0,466500.0,906673464.0
Thuế và các khoản khác phải thu Nhà nước,Other taxes receivable,other_taxes_receivable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14350127631.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản ngắn hạn khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99405521.0,99405521.0,99405521.0,99405521.0,99405521.0,99405521.0,99405521.0,99405521.0,99405521.0,99405521.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,30365652326.0,104398123442.0,99156090286.0,95431755805.0,92249782236.0,88197326761.0,86379240559.0,82769951720.0,80936502238.0,77136347431.0,74087730270.0,72069516866.0,69575551249.0,66241705991.0,63134447239.0,71842950288.0,67764075296.0,67700250788.0,65081470970.0,67274353894.0,63189745612.0,62024338456.0,56392367174.0,71772508032.0,68375709379.0,67765031813.0,65452825869.0,92616645331.0,91332681882.0,92082250139.0,79458752993.0,99158250938.0,98593438875.0,107560798173.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khách hàng dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn (Trước năm 2016),Long-term intercompany receivables (Before 2016),long_term_intercompany_receivables_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác (Trước năm 2016),Other long-term receivables (Before 2016),other_long_term_receivables_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng phải thu dài hạn (Trước năm 2016),Provision for doubtful LT receivable (Before 2016),provision_for_doubtful_lt_receivable_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,2325224198.0,2410649236.0,3134026123.0,2911082500.0,2812624741.0,2633498337.0,4724961972.0,4426059066.0,4836581692.0,4476394453.0,4210260938.0,4372741766.0,4621627564.0,4244732591.0,3889163044.0,14128110338.0,12771220736.0,14454847418.0,12944131199.0,16937048561.0,16041658219.0,14046324899.0,12064499763.0,10087224075.0,9389046393.0,11264780830.0,18540505836.0,29871928911.0,32036270721.0,30735767916.0,31895595193.0,35226669920.0,32436500091.0,30251990576.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,2198513799.0,2324475395.0,3072435614.0,2874075323.0,2800200896.0,2633498337.0,4724961972.0,4426059066.0,4764431548.0,4410490141.0,4150602458.0,3792208871.0,4091306584.0,3764623526.0,3459265894.0,12379402978.0,11195501626.0,10024653594.0,8956092291.0,13391164569.0,11885129303.0,10415705067.0,8959789015.0,7507949662.0,6090044730.0,4716767453.0,3639012460.0,8957254968.0,12459612663.0,12414819596.0,12599683691.0,13283377494.0,12224868676.0,11712020172.0
Nguyên giá TSCĐ hữu hình,Historical Cost,historical_cost,17088282022.0,31131503443.0,32066543443.0,31459531443.0,31139681373.0,31182951373.0,31441199258.0,31441199258.0,32101661258.0,32101661258.0,32198461258.0,25379572966.0,26071742466.0,26135542466.0,26228712466.0,35401233922.0,35401233922.0,35401233922.0,35401233922.0,40786012398.0,40786012398.0,40786012398.0,40786012398.0,40786012398.0,40392724007.0,40429874007.0,40748911407.0,47006353456.0,51789043456.0,53238743666.0,55022928098.0,57471581138.0,53798928295.0,54833959695.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-14889768223.0,-28807028048.0,-28994107829.0,-28585456120.0,-28339480477.0,-28549453036.0,-26716237286.0,-27015140192.0,-27337229710.0,-27691171117.0,-28047858800.0,-21587364095.0,-21980435882.0,-22370918940.0,-22769446572.0,-23021830944.0,-24205732296.0,-25376580328.0,-26445141631.0,-27394847829.0,-28900883095.0,-30370307331.0,-31826223383.0,-33278062736.0,-34302679277.0,-35713106554.0,-37109898947.0,-38049098488.0,-39329430793.0,-40823924070.0,-42423244407.0,-44188203644.0,-41574059619.0,-43121939523.0
GTCL Tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Historical Cost,historical_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,126710399.0,86173841.0,61590509.0,37007177.0,12423845.0,0.0,0.0,0.0,72150144.0,65904312.0,59658480.0,580532895.0,530320980.0,480109065.0,429897150.0,1748707360.0,1575719110.0,4430193824.0,3988038908.0,3545883992.0,4156528916.0,3630619832.0,3104710748.0,2579274413.0,3299001663.0,6548013377.0,14901493376.0,20914673943.0,19576658058.0,18320948320.0,19295911502.0,21943292426.0,20211631415.0,18539970404.0
Nguyên giá TSCĐ vô hình,Historical Cost,historical_cost,20970056987.0,31196229207.0,31196229207.0,31196229207.0,31196229207.0,31196229207.0,31196229207.0,31196229207.0,31271179207.0,31271179207.0,31271179207.0,23184664987.0,23184664987.0,23184664987.0,23184664987.0,24657980987.0,24657980987.0,27887980987.0,27887980987.0,27887980987.0,28967980987.0,28967980987.0,28967980987.0,28967980987.0,30211980987.0,34076660987.0,43214060987.0,50421975987.0,50621975987.0,50716975987.0,53026975987.0,57267175987.0,56590413724.0,56590413724.0
