item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
DOANH THU HOẠT ĐỘNG,OPERATING SALES,operating_sales,365420238508.0,289453570812.0,277864486303.0,341521592106.0,264056922871.0,263346908122.0,313629347190.0,226351836474.0,401769641049.0,385331622177.0,334127362841.0,683795731021.0,592707979865.0,594915856631.0,564922756290.0,1142771055627.0,685729379748.0,-51479760208.0,297736101070.0,610482491769.0,677107417732.0,308421075264.0,483629604412.0,-9088656151.0,564564801064.0,550417448453.0,276103690675.0,551216301300.0,561528807640.0,693913488666.0,815908995590.0,1597183972144.0,564698316936.0,450339589586.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần về hoạt động kinh doanh,Net sales,net_sales,365420238508.0,289453570812.0,277864486303.0,341521592106.0,264056922871.0,263346908122.0,313629347190.0,226351836474.0,401769641049.0,385331622177.0,334127362841.0,683795731021.0,592707979865.0,594915856631.0,564922756290.0,1142771055627.0,685729379748.0,-51479760208.0,297736101070.0,610482491769.0,677107417732.0,308421075264.0,483629604412.0,-9088656151.0,564564801064.0,550417448453.0,276103690675.0,551216301300.0,561528807640.0,693913488666.0,815908995590.0,1597183972144.0,564698316936.0,450339589586.0
CHI PHÍ HOẠT ĐỘNG,OPERATING EXPENSE,operating_expense,-138588099643.0,-203834481856.0,-101087421067.0,-168283206340.0,-122113804154.0,-107261732100.0,-119583881275.0,-110830989334.0,-263020642151.0,-68913245421.0,-97066875598.0,-161237845382.0,-210785459642.0,-148769155501.0,-212213758684.0,-261133283997.0,-210496997837.0,-361699882292.0,-141007282525.0,-375617737982.0,-573240893891.0,-101264786055.0,-207235056626.0,275299652993.0,-74120967310.0,-79181766327.0,-163223416214.0,-200513311306.0,-179674233421.0,-156008269766.0,-120123005577.0,-1123166718306.0,-91873953735.0,-147303922594.0
LỢI NHUẬN GỘP,GROSS PROFIT,gross_profit,226832138865.0,85619088956.0,176777065236.0,173238385766.0,141943118717.0,156085176022.0,194045465915.0,115520847140.0,138748998898.0,316418376756.0,237060487243.0,522557885639.0,381922520223.0,446146701130.0,352708997606.0,881637771630.0,475232381911.0,-413179642500.0,156728818545.0,234864753787.0,103866523841.0,207156289209.0,276394547786.0,266210996842.0,490443833754.0,471235682126.0,112880274461.0,350702989994.0,381854574219.0,537905218900.0,695785990013.0,474017253838.0,472824363201.0,303035666992.0
CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,GENERAL AND ADMINISTRATIVE EXPENSES,general_and_administrative_expenses,-12389256861.0,-10772596890.0,-14399825750.0,-15540712388.0,-24001844847.0,-11971985577.0,-13335290422.0,-17301882248.0,-21155127233.0,-11019182130.0,-12414849368.0,-37604540491.0,-13045931402.0,-30887639650.0,-8942684740.0,-112052598992.0,-16437945482.0,-32141220709.0,-21994906583.0,-27664310884.0,-32108270246.0,-20961822661.0,-21905042267.0,-40551265967.0,-35823013122.0,-26719362638.0,-23424150014.0,-43160519113.0,-30146076886.0,-23315703850.0,-34454349145.0,-75500658169.0,-28354117719.0,-18247912189.0
KẾT QUẢ HOẠT ĐỘNG,OPERATING PROFIT/(LOSS),operating_profit_loss,168728749145.0,17383412413.0,112135633546.0,111637258441.0,74428681174.0,66538967770.0,127360185205.0,41763346986.0,68257691843.0,263529708754.0,173712677155.0,433167702931.0,337995349364.0,383874277902.0,305850245678.0,724565568857.0,410899489032.0,-497606214544.0,106941467576.0,176840032220.0,51094925119.0,173356813369.0,246730226357.0,212892836819.0,443737348696.0,431731458945.0,75455671051.0,285623811056.0,325684934158.0,462959681907.0,590426328560.0,270278605527.0,279995790271.0,89720342626.0
CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,BUSINESS INCOME TAX EXPENSES,business_income_tax_expenses,168904951599.0,17406402158.0,112289933968.0,112086546345.0,74629982160.0,66728788632.0,128581914228.0,42098315113.0,68350205479.0,263590177475.0,173737432756.0,433216767684.0,338018689103.0,384166078526.0,306014592996.0,724718619536.0,410910635439.0,-497451743754.0,106971398531.0,176857581308.0,51155369578.0,173393280858.0,246730369128.0,212894479111.0,443875769888.0,434855422927.0,74048127050.0,286511432090.0,325686083810.0,462967220068.0,590426958369.0,270287750133.0,279994199272.0,89717435664.0
Chi phí thuế thu nhập hiện hành,Business income tax - current,business_income_tax_current,-26620358483.0,19616038112.0,-18387345311.0,-38911077398.0,-13423885372.0,-15166007299.0,-24825571861.0,-8883475798.0,0.0,-34582060231.0,-18475257236.0,-20867287773.0,-76954593991.0,-88218135676.0,-45405987394.0,-105896237927.0,-78874539881.0,-22314754106.0,-34373067972.0,48723195603.0,-33547214369.0,-34882800634.0,-59234698853.0,-22841331539.0,-46789464788.0,-70596341775.0,-51828534413.0,-36910184211.0,-37191133811.0,-38933256643.0,-129285011049.0,5604730056.0,-43592364339.0,-178309422828.0
Chi phí thuế thu nhập hoãn lại,Business income tax - deferred,business_income_tax_deferred,-6512838850.0,2475269332.0,1394172376.0,14339228975.0,-1320287587.0,3162793513.0,555514724.0,2500187982.0,-21783209317.0,-9538534461.0,-15576661568.0,-63759632787.0,9748050362.0,14050212270.0,-14194927017.0,-49760859734.0,-2703868616.0,122200715216.0,15656268896.0,-83385766553.0,23316140454.0,2509573902.0,11352384387.0,-11552154453.0,-40782689190.0,-10098186085.0,46772765463.0,-13443687889.0,-25742335511.0,-41294598531.0,16676015076.0,-56024937826.0,-4577671017.0,164366969637.0
LỢI NHUẬN KẾ TOÁN SAU THUẾ,NET PROFIT/(LOSS) AFTER TAX,net_profit_loss_after_tax,135771754266.0,39497709602.0,95296761033.0,87514697922.0,59885809201.0,54725574846.0,104311857091.0,35715027297.0,46566996162.0,219469582783.0,139685513952.0,348589847124.0,270812145474.0,309998155120.0,246413678585.0,569061521875.0,329332226942.0,-397565782644.0,88254599455.0,142195010358.0,40924295663.0,141020054126.0,198848054662.0,178500993119.0,356303615910.0,354160895067.0,68992358100.0,236157559990.0,262752614488.0,382739364894.0,477817962396.0,219867542363.0,231824163916.0,75774982473.0
Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận sau thuế phân bổ cho chủ sở hữu,Attributable to parent company,attributable_to_parent_company,135771754266.0,39497709602.0,95296761033.0,87514697922.0,59885809201.0,54725574846.0,104311857091.0,35715027297.0,46566996162.0,219469582783.0,139685513952.0,348589847124.0,270812145474.0,309998155120.0,246413678585.0,569061521875.0,329332226942.0,-397565782644.0,88254599455.0,142195010358.0,40924295663.0,141020054126.0,198848054662.0,178500993119.0,356303615910.0,354160895067.0,68992358100.0,236157559990.0,262752614488.0,382739364894.0,477817962396.0,219867542363.0,231824163916.0,75774982473.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1358.0,349.0,904.0,830.0,568.0,119.0,503.0,172.0,225.0,1059.0,674.0,1682.0,1307.0,1495.0,1189.0,1750.0,1013.0,-1192.0,172.0,242.0,50.0,174.0,245.0,220.0,438.0,436.0,85.0,290.0,323.0,399.0,534.0,244.0,258.0,84.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu nghiệp vụ môi giới chứng khoán,Revenue in Brokerage services,revenue_in_brokerage_services,79424332985.0,63706504468.0,54230517233.0,48486479630.0,34317890663.0,34275148343.0,29841564940.0,29618534170.0,26163852553.0,40229419498.0,43079631189.0,62984215276.0,96102803220.0,145704641390.0,126760586350.0,185356649714.0,136143015989.0,84732520017.0,61485910628.0,50492030523.0,33548666927.0,58581844589.0,74001717362.0,56229207596.0,67873959914.0,67272071278.0,49223837639.0,53591168056.0,52037960052.0,71387805621.0,137363149486.0,99637416273.0,96984143234.0,84355506602.0
"Doanh thu hoạt động đầu tư chứng khoán, góp vốn (Trước năm 2016)",Revenue in Securities investment and other investment activities (Before 2016),revenue_in_securities_investment_and_other_investment_activities_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu nghiệp vụ bảo lãnh phát hành chứng khoán,Revenue in Underwriting services,revenue_in_underwriting_services,0.0,14100000000.0,50000000.0,36000000000.0,0.0,20622636364.0,58383500000.0,47912533818.0,0.0,20298409092.0,28416954546.0,31278545455.0,48912727273.0,19831353796.0,28485954545.0,12285000000.0,12206818181.0,3531818182.0,10852272727.0,235000000.0,17779545454.0,10545454545.0,0.0,9386363636.0,0.0,2727272727.0,5904704545.0,120000000.0,540000000.0,0.0,54545454.0,2050817630.0,750000000.0,889427250.0
Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán,Revenue in Stock Investment Advisory services,revenue_in_stock_investment_advisory_services,19008587382.0,16955333458.0,11643468301.0,12054506487.0,10998133185.0,11256433511.0,7440620958.0,4415356859.0,2878546908.0,2643840400.0,2653001793.0,2564044157.0,3835009841.0,8737722310.0,4747331195.0,5146145347.0,5068247300.0,4235363981.0,1931777199.0,647309104.0,419543103.0,429679550.0,703197886.0,649041580.0,1291163328.0,2237440568.0,3549667035.0,3454082668.0,5367622771.0,5305498982.0,6944117461.0,7540013478.0,1994737426.0,0.0
Doanh thu lưu ký chứng khoán,Revenue in Securities custody services,revenue_in_securities_custody_services,5834780550.0,3750795426.0,4453132513.0,4671668693.0,3192222571.0,4021120325.0,3335524576.0,3991466974.0,3494136957.0,3845427030.0,4641992178.0,8383252993.0,6483977446.0,5366275902.0,4943976532.0,7174292340.0,6274927471.0,5927383795.0,4801279968.0,6510557019.0,3855898227.0,3559276659.0,3603868692.0,4465752781.0,3735326407.0,3449491750.0,3003948059.0,3369059468.0,3616370565.0,3680365894.0,5326645694.0,3631523896.0,3483393741.0,3544431068.0
"Doanh thu hoạt động ủy thác, đấu giá (Trước năm 2016)",Revenue in Auction trust services (Before 2016),revenue_in_auction_trust_services_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
