item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
DOANH THU HOẠT ĐỘNG,OPERATING SALES,operating_sales,3318617765421.0,3178135157313.0,3601759602481.0,4176668051899.0,2993036323811.0,2159272711993.0,2221274987684.0,2028136747992.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần về hoạt động kinh doanh,Net sales,net_sales,3318617765421.0,3178135157313.0,3601759602481.0,4176668051899.0,2993036323811.0,2159272711993.0,2221274987684.0,2028136747992.0
CHI PHÍ HOẠT ĐỘNG,OPERATING EXPENSE,operating_expense,-892207582536.0,-897883040254.0,-1750253274117.0,-1614782506206.0,-1116846846217.0,-625287099412.0,-1205443690595.0,-635837627608.0
LỢI NHUẬN GỘP,GROSS PROFIT,gross_profit,2426410182885.0,2280252117059.0,1851506328364.0,2561885545693.0,1876189477594.0,1533985612581.0,1015831297089.0,1392299120384.0
CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,GENERAL AND ADMINISTRATIVE EXPENSES,general_and_administrative_expenses,-67057815592.0,-47637187798.0,-71830855543.0,-63565395575.0,-71933197416.0,-53254794994.0,-92749211365.0,-61147529764.0
KẾT QUẢ HOẠT ĐỘNG,OPERATING PROFIT/(LOSS),operating_profit_loss,1528681849704.0,1595722713102.0,998697843536.0,1835408403000.0,1197581580299.0,1045350522440.0,556110251388.0,986144556840.0
CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,BUSINESS INCOME TAX EXPENSES,business_income_tax_expenses,1528966041130.0,1593431914504.0,1003195760696.0,1834918059122.0,1197796550893.0,1047063625660.0,554769762801.0,986616815390.0
Chi phí thuế thu nhập hiện hành,Business income tax - current,business_income_tax_current,-301667112228.0,-300862943049.0,-186886839058.0,-352165041119.0,-229198629174.0,-198113402886.0,-132825428063.0,-171668807710.0
Chi phí thuế thu nhập hoãn lại,Business income tax - deferred,business_income_tax_deferred,4585945424.0,-14974173554.0,3380268456.0,-7154348387.0,-998311886.0,-4956958418.0,16419450717.0,-20951830264.0
LỢI NHUẬN KẾ TOÁN SAU THUẾ,NET PROFIT/(LOSS) AFTER TAX,net_profit_loss_after_tax,1231884874326.0,1277594797901.0,819689190094.0,1475598669616.0,967599609833.0,843993264356.0,438363785455.0,793996177416.0
Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,Business income tax - deferred,business_income_tax_deferred,758786600.0,-315043012.0,2227880294.0,470785705.0,-1907088310.0,-1260539.0,10625619023.0,-519406702.0
Lợi nhuận sau thuế phân bổ cho chủ sở hữu,Attributable to parent company,attributable_to_parent_company,1231126087726.0,1277909840913.0,817461309800.0,1475127883911.0,969506698143.0,843994524895.0,296936415120.0,794515584118.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
