item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,2029891000000.0,2106205000000.0,-3360145000000.0,3656898000000.0,3657242000000.0,3674030000000.0,4626364000000.0,2751738000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-683200000000.0,-521801000000.0,595471000000.0,-755615000000.0,-763644000000.0,-777338000000.0,-1183139000000.0,-550565000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,12212000000.0,0.0,0.0,0.0,154853000000.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-683200000000.0,-521801000000.0,607683000000.0,-755615000000.0,-763644000000.0,-777338000000.0,-1028286000000.0,-550565000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,1346691000000.0,1584404000000.0,-2752462000000.0,2901283000000.0,2893598000000.0,2896692000000.0,3598078000000.0,2201173000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,1346691000000.0,1584404000000.0,-2752462000000.0,2901283000000.0,2893598000000.0,2896692000000.0,3598078000000.0,2201173000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,0.0,3448.0,3071.0,0.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,16479904000000.0,15151520000000.0,14027127000000.0,15946883000000.0,13857982000000.0,13648861000000.0,12600526000000.0,12521371000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,interest_and_similar_expenses,-10232661000000.0,-9109478000000.0,-8669125000000.0,-8072517000000.0,-7272905000000.0,-6785688000000.0,-6501342000000.0,-6156263000000.0
Thu nhập lãi thuần,Net Interest Income,net_interest_income,6247243000000.0,6042042000000.0,5358002000000.0,7874366000000.0,6585077000000.0,6863173000000.0,6099184000000.0,6365108000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,fees_and_commission_income,3978276000000.0,1552440000000.0,1659170000000.0,1521827000000.0,1717223000000.0,1433275000000.0,1725193000000.0,1534864000000.0
Chi phí dịch vụ,Fees and Commission Expenses,fees_and_commission_expenses,-776280000000.0,-802830000000.0,-900822000000.0,-848609000000.0,-798074000000.0,-705460000000.0,-761542000000.0,-778896000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,net_fee_and_commission_income,3201996000000.0,749610000000.0,758348000000.0,673218000000.0,919149000000.0,727815000000.0,963651000000.0,755968000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,net_gain_loss_from_foreign_currency_and_gold_dealings,350110000000.0,339378000000.0,294529000000.0,193535000000.0,226741000000.0,307644000000.0,275051000000.0,217524000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,net_gain_loss_from_trading_of_trading_securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,net_gain_loss_from_disposal_of_investment_securities,-73122000000.0,75232000000.0,-11643000000.0,-155000000.0,1747000000.0,1359000000.0,10136000000.0,6232000000.0
Thu nhập khác,Other Income,other_income,263791000000.0,351457000000.0,1366728000000.0,119269000000.0,120973000000.0,137634000000.0,169981000000.0,58737000000.0
Chi phí khác,Other Expenses,other_expenses,-39942000000.0,-27931000000.0,-78599000000.0,-67538000000.0,-93722000000.0,-241185000000.0,-108853000000.0,-169420000000.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,net_other_income_expenses,223849000000.0,323526000000.0,1288129000000.0,51731000000.0,27251000000.0,-103551000000.0,61128000000.0,-110683000000.0
Thu nhập từ cổ tức,Dividends Income,dividends_income,0.0,8325000000.0,6975000000.0,3824000000.0,9415000000.0,0.0,893000000.0,3748000000.0
Tổng thu nhập hoạt động,Total Operating Income,total_operating_income,9950076000000.0,7538113000000.0,7694340000000.0,8796519000000.0,7769380000000.0,7796440000000.0,7410043000000.0,7237897000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,general_and_admin_expenses,-2825140000000.0,-3408045000000.0,-1822333000000.0,-4095582000000.0,-3199817000000.0,-3927147000000.0,-3150938000000.0,-3287498000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,net_operating_profit_before_allowance_for_credit_loss,7124936000000.0,4130068000000.0,5872007000000.0,4700937000000.0,4569563000000.0,3869293000000.0,4259105000000.0,3950399000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,provision_for_credit_losses,-5095045000000.0,-2023863000000.0,-9232152000000.0,-1044039000000.0,-912321000000.0,-195263000000.0,367259000000.0,-1198661000000.0
