item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,9670016000000.0,8869970000000.0,9153234000000.0,8250016000000.0,7898588000000.0,7236228000000.0,4696032000000.0,7214168000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-1948060000000.0,-1920387000000.0,-2136120000000.0,-1636587000000.0,-1549782000000.0,-1221736000000.0,-1282376000000.0,-1422429000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,4686000000.0,697000000.0,-37288000000.0,96000000.0,-1196000000.0,-981000000.0,6455000000.0,1283000000.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-1943374000000.0,-1919690000000.0,-2173408000000.0,-1636491000000.0,-1550978000000.0,-1222717000000.0,-1275921000000.0,-1421146000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,7726642000000.0,6950280000000.0,6979826000000.0,6613525000000.0,6347610000000.0,6013511000000.0,3420111000000.0,5793022000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,-376583000000.0,-279199000000.0,-304264000000.0,-194181000000.0,-100246000000.0,-65551000000.0,-49046000000.0,-55517000000.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,7350059000000.0,6671081000000.0,6675562000000.0,6419344000000.0,6247364000000.0,5947960000000.0,3371065000000.0,5737505000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,22861342000000.0,19697005000000.0,19164244000000.0,17599575000000.0,16303607000000.0,14950024000000.0,15064961000000.0,15168282000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,interest_and_similar_expenses,-12098340000000.0,-10174952000000.0,-8376265000000.0,-7674932000000.0,-7166531000000.0,-6644631000000.0,-6463144000000.0,-6239606000000.0
Thu nhập lãi thuần,Net Interest Income,net_interest_income,10763002000000.0,9522053000000.0,10787979000000.0,9924643000000.0,9137076000000.0,8305393000000.0,8601817000000.0,8928676000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,fees_and_commission_income,5004364000000.0,4292976000000.0,3619760000000.0,3276239000000.0,3052422000000.0,2578542000000.0,2262105000000.0,2675088000000.0
Chi phí dịch vụ,Fees and Commission Expenses,fees_and_commission_expenses,-1342166000000.0,-1144519000000.0,-1048825000000.0,-1010302000000.0,-945431000000.0,-750410000000.0,-799263000000.0,-728305000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,net_fee_and_commission_income,3662198000000.0,3148457000000.0,2570935000000.0,2265937000000.0,2106991000000.0,1828132000000.0,1462842000000.0,1946783000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,net_gain_loss_from_foreign_currency_and_gold_dealings,-68527000000.0,583817000000.0,212818000000.0,559414000000.0,415158000000.0,454811000000.0,-424270000000.0,61041000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,net_gain_loss_from_trading_of_trading_securities,28494000000.0,42771000000.0,-8623000000.0,-149808000000.0,31979000000.0,178426000000.0,2001000000.0,-527000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,net_gain_loss_from_disposal_of_investment_securities,81770000000.0,238735000000.0,736643000000.0,1059359000000.0,599870000000.0,450449000000.0,249851000000.0,389242000000.0
Thu nhập khác,Other Income,other_income,2105280000000.0,989740000000.0,1250407000000.0,1703996000000.0,1730032000000.0,1741899000000.0,3884139000000.0,1986320000000.0
Chi phí khác,Other Expenses,other_expenses,-1635335000000.0,-851241000000.0,-756689000000.0,-1127755000000.0,-1309593000000.0,-1347955000000.0,-4221848000000.0,-1563606000000.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,net_other_income_expenses,469945000000.0,138499000000.0,493718000000.0,576241000000.0,420439000000.0,393944000000.0,-337709000000.0,422714000000.0
Thu nhập từ cổ tức,Dividends Income,dividends_income,4899000000.0,-58000000.0,1303000000.0,6337000000.0,31518000000.0,43000000.0,67000000.0,6406000000.0
Tổng thu nhập hoạt động,Total Operating Income,total_operating_income,14941781000000.0,13674274000000.0,14794773000000.0,14242123000000.0,12743031000000.0,11611198000000.0,9554599000000.0,11754335000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,general_and_admin_expenses,-4620127000000.0,-3869012000000.0,-4823975000000.0,-4492851000000.0,-3830693000000.0,-3284915000000.0,-4740723000000.0,-3430902000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,net_operating_profit_before_allowance_for_credit_loss,10321654000000.0,9805262000000.0,9970798000000.0,9749272000000.0,8912338000000.0,8326283000000.0,4813876000000.0,8323433000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,provision_for_credit_losses,-651638000000.0,-935292000000.0,-817564000000.0,-1499256000000.0,-1013750000000.0,-1090055000000.0,-117844000000.0,-1109265000000.0
