item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,12185321013364.0,12062683756828.0,12000790256939.0,12301411343645.0,11706057083683.0,12010174871605.0,12434100533143.0,11062498839914.0,10549499769635.0,11110358861268.0,12099652813874.0,12965459779585.0,15001005084091.0,21359004265786.0,21680855064044.0,21461812727154.0,20548748547017.0,20394615487149.0,19442339563832.0,19833103045644.0,20145356441735.0,19395748394743.0,17969184399257.0,17598548537056.0,17063865616099.0,16769983540758.0,17379217745834.0,17688521425552.0,17269990570554.0,17579036964513.0,22987166161941.0,24110345573464.0,22698656269601.0,20566631877915.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,916543015573.0,1275324326636.0,1218524792509.0,1388241319866.0,997123759645.0,1217013510671.0,894587495456.0,1369950951853.0,942221729279.0,1456227919273.0,2025397586934.0,2035307263799.0,894698731217.0,2827599346152.0,1322330496250.0,2742234521087.0,1642262747085.0,1214637609213.0,911438763989.0,1749102692670.0,950825193499.0,1305388982670.0,1269066615707.0,2282499384529.0,1309165519165.0,1606294565336.0,1129301648815.0,2471352348020.0,1331742220085.0,1837351253037.0,2539195390197.0,2346804744577.0,2131861697543.0,1725903154728.0
Tiền,Cash,cash,639887279587.0,498361776166.0,713041792509.0,693791665851.0,513354033899.0,417645444832.0,592771923232.0,425127781473.0,228506357625.0,659623418412.0,575610684215.0,594852044020.0,363998139766.0,2085437879280.0,429431026083.0,2117344369070.0,1178121478267.0,795504829387.0,602474170298.0,1396689610325.0,550487443646.0,844683611015.0,901175117668.0,1895217500432.0,685597969134.0,1037940718943.0,600054399668.0,1779799994605.0,463263033730.0,1161667417395.0,740057873546.0,1428996626112.0,1591455150385.0,1010261376819.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,276655735986.0,776962550470.0,505483000000.0,694449654015.0,483769725746.0,799368065839.0,301815572224.0,944823170380.0,713715371654.0,796604500861.0,1449786902719.0,1440455219779.0,530700591451.0,742161466872.0,892899470167.0,624890152017.0,464141268818.0,419132779826.0,308964593691.0,352413082345.0,400337749853.0,460705371655.0,367891498039.0,387281884097.0,623567550031.0,568353846393.0,529247249147.0,691552353415.0,868479186355.0,675683835642.0,1799137516651.0,917808118465.0,540406547158.0,715641777909.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,1921795798232.0,1447767076233.0,1672164535980.0,1560921460762.0,1375157164602.0,1566692862951.0,1475251738157.0,934332682524.0,804781815648.0,693809266775.0,1132571437234.0,1517884865430.0,1693117830119.0,1869866591860.0,2699143238614.0,3942738870593.0,4399031057798.0,3282105708516.0,1917292233216.0,1426126441787.0,2168306399419.0,1915164550120.0,1386093426038.0,1504930967211.0,1114547065741.0,1128877050749.0,1354598955917.0,1780856983830.0,2027568792343.0,2041457991297.0,2767427022422.0,2881579436814.0,7786830798415.0,8087510885835.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,288161423.0,266061423.0,266061423.0,266061423.0,266061423.0,266061423.0,266061423.0,266061423.0,266061423.0,266061423.0,266061423.0,0.0,0.0,0.0,2699143238614.0,3942738870593.0,266061423.0,266061423.0,266061423.0,266061423.0,261887400.0,261887400.0,261887400.0,261887400.0,239787400.0,261887400.0,261887400.0,261887400.0,261887400.0,261887400.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-215943130.0,-222370130.0,-219657592.0,-215613392.0,-213508192.0,-215638392.0,-213035342.0,-218748642.0,-235823492.0,-195265412.0,-192560592.0,0.0,0.0,0.0,0.0,0.0,-5582865.0,-143682065.0,-182118165.0,-200575965.0,-197394100.0,-171483300.0,-163784600.0,-156881500.0,-163205100.0,-176108300.0,-221913600.0,-221703100.0,-221750500.0,-221788900.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,5512988357261.0,5663798771060.0,5542257389077.0,5716368758773.0,5639979673206.0,5965340954174.0,6716876039420.0,6294364620417.0,6805750096358.0,6957006003678.0,6798178919397.0,7363474482584.0,9749929950867.0,13759288558684.0,14263001742188.0,10851970542344.0,10416181220431.0,9855258523626.0,10281512350233.0,9376166715864.0,9210271314395.0,8472183499480.0,7852696231154.0,6952126872517.0,6945839105586.0,6021053429858.0,6739931426408.0,5857885426282.0,6143940398848.0,6020867974026.0,12154434174175.0,12330736833932.0,6832394565339.0,5177171787525.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,3780367489731.0,3995100269699.0,3974224419072.0,4213327824001.0,3811598678534.0,3813698397029.0,3888750202850.0,3725910870368.0,3609068733053.0,3172661832203.0,3157484916662.0,3353522781132.0,2825487931340.0,2902993169552.0,2823391475615.0,2796730013800.0,2551551316445.0,2618997703222.0,2142713473818.0,2359215101529.0,2298626818109.0,2730388521184.0,2290186594790.0,2450286555331.0,2159990231399.0,2153626547793.0,2161755597391.0,2599206089505.0,2343646545126.0,2423983097668.0,2763269171551.0,3050665866358.0,3560698438770.0,3055813039121.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,666155518098.0,609099097428.0,532487847814.0,436683718828.0,618303785437.0,786000886363.0,932437078836.0,396295402387.0,1528423121642.0,1436766765747.0,2327801134847.0,3086441553076.0,5962664907939.0,7528942495715.0,7802261114294.0,5563098355123.0,6096579754654.0,6052055154195.0,6295705100572.0,5590577867842.0,4976866914693.0,4032484741560.0,3323172869678.0,2478718550393.0,2849570722071.0,2426768340106.0,2724776822724.0,2047695119868.0,2213692868760.0,2170371350109.0,1659407673143.0,1513762111934.0,1839673908302.0,1718217455530.0
