item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2699319,2713231,2715161,2717438
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,441710673,441710673,441710673,441710673
Vốn hóa,Market Cap,market_cap,7597423575600.0,8039134248600.0,10645227219300.0,12191214574800.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0362318841
P/E,P/E,pe_ratio,5.6449862218,6.3312660063,9.1108959796,24.7558649548
P/B,P/B,pb_ratio,1.1695968406,1.2605848038,1.6326147134,1.8102869522
P/S,P/S,ps_ratio,0.7075307447,0.7318887617,0.9883696319,1.2528227819
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,-37.0424712257,19.9028609627,15.8299313108,-243.4229160504
EV/EBITDA,EV/EBITDA,ev_to_ebitda,7.3886582957,8.0791702189,11.168970126,17.1770564838
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,0.0996466047,0.1330085368,0.1316414626,0.1495054354
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,0.9303659126,0.8929534542,0.9305502441,0.9866927791
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,1.324372356,1.2578018236,1.2962040009,1.3660303851
Vốn chủ sở hữu,Owners Equity,owners_equity,0.2261549331,0.201603749,0.2202422545,0.1844738205
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.558498024,0.5006398534,0.533649226,0.4476780877
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,1.6621982347,1.6810438624,1.6136381237,1.5108159701
ROE (%),ROE (%),roe,0.1761405753,0.1575401549,0.152118982,0.0621101954
ROA (%),ROA (%),roa,0.0631037567,0.0576658548,0.0569666954,0.0236109112
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,131.4470718246,132.0692555209,135.8256576386,160.341492431
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,153.17855894,143.2473180381,138.7153163903,154.5476193904
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,101.2740425838,96.3140781954,98.8011198833,121.4493371925
Biên LN gộp (%),Gross Margin (%),gross_margin,0.1643972794,0.1466225158,0.1556014008,0.1243476044
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.1090536983,0.0889824905,0.1030303942,0.0708390056
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.1753541626,0.1655651451,0.1604761521,0.0817025272
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.1449452773,0.13384076,0.1279921746,0.0656648349
Vòng quay tài sản,Asset Turnover,asset_turnover,0.5034690571,0.5204401931,0.5251250332,0.4665532401
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,1171012206307.0,962963147952.0,1109688036779.0,689334141778.0
EBITDA,EBITDA,ebitda,1480291778553.0,1186706163495.0,1319891270228.0,948230771529.0
ROIC,ROIC,roic,0.0985882672,0.0852546411,0.0937594564,0.0595246422
Chu kỳ tiền,Cash Cycle,cash_cycle,440.4901304726,426.3649153465,425.9467090399,490.3852170408
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,3.5050302315,3.7423850943,3.9745803589,3.5665550677
Đòn bẩy tài chính,Financial Leverage,financial_leverage,1.6621982347,1.6810438624,1.6136381237,1.5108159701
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
