item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,7113171810074.0,7833013220385.0,7290045945610.0,6430493843962.0,5427448330068.0,6115162256005.0,6494623034993.0,7023102515011.0,7007205335705.0,6623086372521.0,6672701079890.0,8312170798945.0,9339081715872.0,11447859358615.0,13599971763111.0,16568965942558.0,16981438891900.0,16347393950452.0,15612205899634.0,14157693071824.0,14917464338668.0,14440733287477.0,16838819369514.0,17174448616966.0,19458498860847.0,23009916452730.0,20322217963459.0,26491835561026.0,23620977742780.0,21777317137834.0,29592820549473.0,35868914519259.0,35816715628040.0,38442955203247.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,106056761048.0,587625258197.0,324440602564.0,1144361568890.0,453964037304.0,546573403069.0,823959013885.0,794511762602.0,980082444321.0,1897867432469.0,429220640524.0,642512983590.0,219637696238.0,1390655597638.0,655194208089.0,1131748599533.0,1419586239840.0,2985622339536.0,1839232488105.0,3423501614803.0,3029413854383.0,1903146290628.0,1774586204245.0,787897819240.0,1040594399692.0,3903157759657.0,2543516547760.0,4743771932745.0,2302263974886.0,472276928356.0,2637051863422.0,3213693581406.0,2048249191640.0,3648930400448.0
Tiền,Cash,cash,106056761048.0,587625258197.0,324440602564.0,1144361568890.0,453964037304.0,546573403069.0,790159013885.0,789511762602.0,849082444321.0,1280867432469.0,429220640524.0,642512983590.0,219637696238.0,1386655597638.0,655194208089.0,1131748599533.0,1419586239840.0,1785622339536.0,1289232488105.0,2313501614803.0,1729413854383.0,1903146290628.0,1234586204245.0,537897819240.0,1040594399692.0,3888157759657.0,2543516547760.0,4743771932745.0,2302263974886.0,472276928356.0,2136051863422.0,3213693581406.0,2048249191640.0,3648930400448.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,33800000000.0,5000000000.0,131000000000.0,617000000000.0,0.0,0.0,0.0,4000000000.0,0.0,0.0,0.0,1200000000000.0,550000000000.0,1110000000000.0,1300000000000.0,0.0,540000000000.0,250000000000.0,0.0,15000000000.0,0.0,0.0,0.0,0.0,501000000000.0,0.0,0.0,0.0
Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),Financial assets at fair value through profit or loss (FVTPL),financial_assets_at_fair_value_through_profit_or_loss_fvtpl,567730189979.0,376724742938.0,449046726750.0,425293512861.0,659549879663.0,999854721966.0,961229509299.0,794903064386.0,689252158814.0,785123686383.0,557627377705.0,614823602299.0,917360417192.0,810092758787.0,939452704063.0,1221516469435.0,921710384891.0,1231102618012.0,1388383804271.0,665257896316.0,611832436842.0,557177969266.0,1123270041950.0,122137632000.0,839129200975.0,1007406220282.0,476160607000.0,846252317226.0,1195338250920.0,777083525399.0,599445100821.0,2237948861416.0,2551159649558.0,2463121398248.0
Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,Provision for diminution,provision_for_diminution,-4552838057.0,-3980827974.0,-3980827974.0,-2527227974.0,-2527227974.0,-2355227974.0,-2355227974.0,-2422427974.0,-2422427974.0,-2428827974.0,-2428827974.0,-2384027974.0,-2384027974.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0,-2169825587.0
Tổng các khoản phải thu,Accounts receivable,accounts_receivable,11971600184.0,20894765688.0,19387188128.0,30487868695.0,68411045160.0,180998925121.0,200448481387.0,395927534826.0,492329076561.0,123004814854.0,79830071760.0,259390321145.0,231074546094.0,154244981394.0,149214942536.0,285206345277.0,199590894861.0,70199526725.0,226399200058.0,120085485886.0,161113410032.0,170658547799.0,642749608142.0,1094491429414.0,702530886335.0,931122579216.0,235746508338.0,506858248065.0,1256719415203.0,339960464823.0,288226042934.0,453431852403.0,931712671188.0,641776764999.0
Phải thu khách hàng (Trước năm 2016),Trade accounts receivable (Before 2016),trade_accounts_receivable_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,6093434264.0,4567545442.0,7757974269.0,318826200.0,670447203.0,3319706000.0,230385931.0,282143957259.0,280493634988.0,18657513468.0,21817497583.0,18747621456.0,23938721413.0,21556714401.0,22504546835.0,20164828099.0,24151010076.0,6850718028.0,3128948667.0,2306029740.0,3099660384.0,2546837776.0,7700224938.0,227931442538.0,62526954144.0,1144858551.0,1943621433.0,99838840101.0,944586860811.0,24611897723.0,28414965649.0,217840149374.0,540018398965.0,136502385438.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
