item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,6688321520675.0,6406486773671.0,5512397208368.0,9577053812323.0,10047590909921.0,10131821810821.0,11594794800789.0,11811933873395.0,9399675844627.0,11838449692688.0,12649503277386.0,15776629628223.0,16540695711124.0,19591515587555.0,27740855029891.0,26468952880116.0,28763009854832.0,20636626068734.0,17081326569636.0,19794741732413.0,21013758613305.0,27726635575657.0,31341222739308.0,21956399514398.0,26092220518688.0,31304899881132.0,28374891368513.0,29823649331548.0,35605849910129.0,31585212671598.0,38649866698254.0,47773220237676.0,52606533903312.0,46750268312456.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1411763218373.0,1451205814120.0,790587076646.0,1048466814939.0,1441574697392.0,1203872811108.0,801722766777.0,1843826750838.0,472402940221.0,902840704203.0,634772083162.0,3039423535407.0,1592607692106.0,1974042339153.0,14008484054950.0,6675623913748.0,2379418714386.0,1024938121035.0,1259886924675.0,9190878670839.0,944800164249.0,4471027898648.0,10732985534139.0,2783340898514.0,6235779115118.0,10222538344387.0,3248589147144.0,1732677708017.0,1623414893625.0,5153921569830.0,8678251634326.0,8680990313016.0,6162175608883.0,3359625056650.0
Tiền,Cash,cash,959970768378.0,1246602976164.0,188205025470.0,898455970103.0,639665075970.0,920135980142.0,520687165232.0,1743815310735.0,212391341524.0,642828966703.0,379772083162.0,2779423535407.0,1292607692106.0,1974042339153.0,14008484054950.0,6675623913748.0,2379418714386.0,1017938121035.0,1259886924675.0,9190878670839.0,944800164249.0,4471027898648.0,10732985534139.0,2783340898514.0,6235779115118.0,3812988171487.0,3248589147144.0,632287297057.0,1623414893625.0,5153921569830.0,8678251634326.0,4514986137346.0,4266000896552.0,1809531131970.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,451792449995.0,204602837956.0,602382051176.0,150010844836.0,801909621422.0,283736830966.0,281035601545.0,100011440103.0,260011598697.0,260011737500.0,255000000000.0,260000000000.0,300000000000.0,0.0,0.0,0.0,0.0,7000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6409550172900.0,0.0,1100390410960.0,0.0,0.0,0.0,4166004175670.0,1896174712331.0,1550093924680.0
Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),Financial assets at fair value through profit or loss (FVTPL),financial_assets_at_fair_value_through_profit_or_loss_fvtpl,959150482560.0,948003964399.0,1147952616280.0,3728750259228.0,3659085864463.0,2818401117305.0,3025504380575.0,2892459893881.0,5134115186643.0,5336360643173.0,6773728459113.0,5550801625548.0,5289466557293.0,5962173538234.0,3127838759913.0,4096195335749.0,6390632076258.0,7361153983206.0,5840505713498.0,3755764377464.0,8964220779677.0,9556897021380.0,7750598637557.0,5599949658278.0,6411471446093.0,5570029915278.0,5880168188591.0,8078926611279.0,10272535683008.0,2528182647751.0,3680673151461.0,7294520491259.0,9346101987577.0,6463788579925.0
Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,Provision for diminution,provision_for_diminution,-13762877182.0,0.0,-13762877182.0,-13794548263.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,-4877792928.0,0.0,0.0,0.0,0.0
Tổng các khoản phải thu,Accounts receivable,accounts_receivable,2604807151624.0,3349814492842.0,1893083162061.0,3334713511291.0,3405121897241.0,3965520502302.0,4623811448109.0,4467314198024.0,2123012241670.0,5024684951958.0,1889433850688.0,1214708840160.0,2150125808077.0,2808105393571.0,3780570554711.0,2801561450939.0,7734555093996.0,1337318552640.0,1544436098745.0,661114416633.0,3654690923702.0,1423881362880.0,546884659065.0,251423390128.0,322449406393.0,337750381815.0,313745877902.0,421740359838.0,555399434374.0,448771537057.0,558401239223.0,548196277234.0,656216205168.0,589815488135.0
Phải thu khách hàng (Trước năm 2016),Trade accounts receivable (Before 2016),trade_accounts_receivable_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,4681643472.0,4159381750.0,7379980686.0,26599096743.0,16732574252.0,15812859300.0,14154608056.0,716582004290.0,10301393445.0,995734528565.0,17487861108.0,11720249760.0,25768201593.0,32965145191.0,31260516000.0,48518559925.0,29344535976.0,32539528207.0,28729926446.0,32996734343.0,43578917244.0,11844353984.0,12065523044.0,15498822322.0,9183340684.0,18782097152.0,20294897785.0,19624125236.0,29812981746.0,31567439591.0,54901029517.0,13833275151.0,14348666236.0,37876466138.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
