item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
DOANH THU HOẠT ĐỘNG,OPERATING SALES,operating_sales,391883112120.0,389276388227.0,240298421879.0,464872930298.0,568782465547.0,543885442120.0,838013871725.0,1142301907438.0,858511084321.0,869117014467.0,941324116944.0,1159507729462.0,1906981634926.0,2008889681639.0,2732110720581.0,2870136421933.0,2505699884278.0,2206583344513.0,2316228787687.0,1412255497497.0,1362278590336.0,1556713194829.0,1865614585645.0,1589231903429.0,1570379045790.0,1707623723718.0,1644315748523.0,1544003160914.0,1468456997200.0,1723539495261.0,2708413906220.0,2366904499271.0,2519183762365.0,2353844251179.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần về hoạt động kinh doanh,Net sales,net_sales,391883112120.0,389276388227.0,240298421879.0,464872930298.0,568782465547.0,543885442120.0,838013871725.0,1142301907438.0,858511084321.0,869117014467.0,941324116944.0,1159507729462.0,1906981634926.0,2008889681639.0,2732110720581.0,2870136421933.0,2505699884278.0,2206583344513.0,2316228787687.0,1412255497497.0,1362278590336.0,1556713194829.0,1865614585645.0,1589231903429.0,1570379045790.0,1707623723718.0,1644315748523.0,1544003160914.0,1468456997200.0,1723539495261.0,2708413906220.0,2366904499271.0,2519183762365.0,2353844251179.0
CHI PHÍ HOẠT ĐỘNG,OPERATING EXPENSE,operating_expense,-184284013698.0,-187252808275.0,-108341082424.0,-255628252618.0,-327398024917.0,-398239777535.0,-565177936002.0,-928100518198.0,-666951882168.0,-670799545840.0,-611130240549.0,-874552654881.0,-1567985678317.0,-1659500653290.0,-2247644179919.0,-2355345615152.0,-2050950286276.0,-1690840029937.0,-1883556180556.0,-1121173507205.0,-1034098808302.0,-1174815649869.0,-1298948664736.0,-1056218944454.0,-786365687469.0,-842891623787.0,-668586666516.0,-603998655909.0,-536490028663.0,-669369815079.0,-1232969450534.0,-889576769117.0,-920091662805.0,-626831258189.0
LỢI NHUẬN GỘP,GROSS PROFIT,gross_profit,207599098422.0,202023579952.0,131957339455.0,209244677680.0,241384440630.0,145645664585.0,272835935723.0,214201389240.0,191559202153.0,198317468627.0,330193876395.0,284955074581.0,338995956609.0,349389028349.0,484466540662.0,514790806781.0,454749598002.0,515743314576.0,432672607131.0,291081990292.0,328179782034.0,381897544960.0,566665920909.0,533012958975.0,784013358321.0,864732099931.0,975729082007.0,940004505005.0,931966968537.0,1054169680182.0,1475444455686.0,1477327730154.0,1599092099560.0,1727012992990.0
CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,GENERAL AND ADMINISTRATIVE EXPENSES,general_and_administrative_expenses,-25130669236.0,-10538953392.0,-15406782178.0,-36640718121.0,-73418753322.0,-18923189625.0,-22435478728.0,-1545258285.0,-22109241229.0,-32166733091.0,-73116178316.0,-57217218710.0,-35136945570.0,-54368716042.0,-65693361726.0,-122529359688.0,-47943804735.0,-94350818914.0,-57088999974.0,-125157733588.0,-54621595470.0,-92419472811.0,-65705950053.0,-130223911871.0,-73537440605.0,-111082603797.0,-79743862978.0,-173736090961.0,-84765788233.0,-122563909950.0,-111161281878.0,-221020763563.0,-113311892069.0,-174406147281.0
KẾT QUẢ HOẠT ĐỘNG,OPERATING PROFIT/(LOSS),operating_profit_loss,135339066102.0,75035761136.0,79869386617.0,52855142902.0,81572660291.0,39925339534.0,145845234567.0,95771676280.0,79382599684.0,98206687831.0,184354790171.0,154107399315.0,243572585506.0,194438150313.0,277173499274.0,243337450544.0,300293065732.0,280811342491.0,329408631549.0,95361547920.0,146048906824.0,114099076060.0,332425596403.0,238343835852.0,632129639137.0,652759998606.0,820264388757.0,1049211496774.0,918426854924.0,878928203339.0,1394337273807.0,1273744879846.0,1546870162583.0,1378386998957.0
CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,BUSINESS INCOME TAX EXPENSES,business_income_tax_expenses,174372881912.0,129231513222.0,116508553373.0,77955855036.0,123644900618.0,87265885320.0,198785869854.0,147423531184.0,125260614989.0,131897951291.0,195434955436.0,166110213600.0,250618221116.0,199158501875.0,301150448256.0,244356420830.0,301215559456.0,281372070490.0,329726504858.0,95874756519.0,146071670696.0,111396948506.0,332385966684.0,238303501399.0,631222861806.0,653241009415.0,820031269803.0,1049268229711.0,918473136361.0,878904396882.0,1394617853844.0,1279411027421.0,1546916549570.0,1378439907930.0
Chi phí thuế thu nhập hiện hành,Business income tax - current,business_income_tax_current,-33322468458.0,-26518546128.0,-23120104719.0,-19406917151.0,-24534780246.0,-17972499926.0,-39937184891.0,-31368691956.0,-24964094850.0,-25276620309.0,-38949494865.0,-32606913689.0,-48950616425.0,-39819891716.0,-61010164364.0,-49545429573.0,-60243111891.0,-56274415910.0,-65945142171.0,-21797651510.0,-29611531944.0,-28077390083.0,-65988234850.0,-47904524949.0,-126155209101.0,-130737806550.0,-164009757078.0,-214098186111.0,-183698911256.0,-175776595393.0,-268114197672.0,-265153923272.0,-311675345556.0,-274079899738.0
Chi phí thuế thu nhập hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LỢI NHUẬN KẾ TOÁN SAU THUẾ,NET PROFIT/(LOSS) AFTER TAX,net_profit_loss_after_tax,141050413454.0,102712967094.0,93388448654.0,58548937885.0,99110120372.0,69293385394.0,158848684963.0,116054839228.0,100296520139.0,106621330982.0,156485460571.0,133503299911.0,201667604691.0,159338610159.0,240140283892.0,194810991257.0,240972447565.0,225097654580.0,263781362687.0,74077105009.0,116460138752.0,83319558423.0,266397731834.0,190398976450.0,505067652705.0,522503202865.0,656021512725.0,835170043600.0,734774225105.0,703127801489.0,1126503656172.0,1014257104149.0,1235241204014.0,1104360008192.0
