item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,63034145841192.0,79522351482962.0,107648617911024.0,80465682928899.0,96614245780097.0,103263325121450.0,112763374085401.0,133821706000000.0,141421460000000.0,141342852000000.0,141229902000000.0,102010303000000.0,94043347000000.0,101733721000000.0,102471473000000.0,91216562000000.0,94888743000000.0,181594498000000.0,179330798000000.0,185196368000000.0,205327661000000.0,190310276000000.0,215057869000000.0,240250006000000.0,255295711000000.0,259728446000000.0,302730495000000.0,285478928000000.0,259860077000000.0,387915470000000.0,436436596000000.0,496890087000000.0,517760338000000.0,679446005000000.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,2062432049868.0,4718599887522.0,5928624411953.0,3515572453074.0,2387016056828.0,14035726372516.0,9038091555930.0,7231388000000.0,4439856000000.0,11859527000000.0,13547878000000.0,12479392000000.0,7746445000000.0,8417973000000.0,4504657000000.0,4823696000000.0,5628313000000.0,29813549000000.0,14743348000000.0,10812720000000.0,1889644000000.0,5105284000000.0,2909914000000.0,14104131000000.0,9524619000000.0,17179976000000.0,20621483000000.0,28780123000000.0,21492706000000.0,48671892000000.0,48767614000000.0,49961891000000.0,35837536000000.0,53178983000000.0
Tiền,Cash,cash,1493612044556.0,1056804069839.0,2042456531699.0,2695395180367.0,1381145632230.0,6738642779317.0,5541055127966.0,2828216000000.0,993105000000.0,2458360000000.0,4779171000000.0,4143874000000.0,3309282000000.0,2363795000000.0,2633827000000.0,589818000000.0,2553086000000.0,3546896000000.0,2518249000000.0,1844898000000.0,1642692000000.0,3829067000000.0,2482981000000.0,13124281000000.0,8904196000000.0,16636089000000.0,20324623000000.0,21633816000000.0,20760496000000.0,33372756000000.0,33709134000000.0,18741905000000.0,30171364000000.0,45520684000000.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,568820005312.0,3661795817683.0,3886167880254.0,820177272707.0,1005870424598.0,7297083593199.0,3497036427964.0,4403172000000.0,3446751000000.0,9401167000000.0,8768707000000.0,8335518000000.0,4437163000000.0,6054178000000.0,1870830000000.0,4233878000000.0,3075227000000.0,26266653000000.0,12225099000000.0,8967822000000.0,246952000000.0,1276217000000.0,426933000000.0,979850000000.0,620423000000.0,543887000000.0,296860000000.0,7146307000000.0,732210000000.0,15299136000000.0,15058480000000.0,31219986000000.0,5666172000000.0,7658299000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,730617271237.0,1183838995291.0,1193862323632.0,1009404569232.0,831024056998.0,576495062487.0,319071383180.0,331243000000.0,353741000000.0,503975000000.0,2449214000000.0,3295387000000.0,1795510000000.0,5629801000000.0,7097859000000.0,4781458000000.0,2621355000000.0,3799199000000.0,1171529000000.0,3928457000000.0,6721768000000.0,4332267000000.0,4638593000000.0,3832848000000.0,3629316000000.0,3673995000000.0,3802114000000.0,5391872000000.0,3346766000000.0,3437044000000.0,2116747000000.0,2259178000000.0,10288183000000.0,5795379000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065202000000.0,373170000000.0,0.0,558316000000.0,3605821000000.0,2147535000000.0,0.0,218370000000.0,0.0,2352947000000.0,2553013000000.0,351887000000.0,597632000000.0,0.0,0.0,0.0,0.0,3628250000000.0,1500000000000.0,1500000000000.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,17623139609227.0,27355804715079.0,55429467796119.0,41761058868963.0,47303771369743.0,49900229202921.0,42174179407771.0,53875313000000.0,53058225000000.0,53621486000000.0,46862595000000.0,34023922000000.0,34311891000000.0,42835185000000.0,50375165000000.0,37928893000000.0,44040609000000.0,59954849000000.0,81793532000000.0,77325507000000.0,117198683000000.0,107914098000000.0,121815245000000.0,126607372000000.0,152936619000000.0,145799709000000.0,187108837000000.0,168405984000000.0,149281209000000.0,214264630000000.0,218408164000000.0,219949950000000.0,225589117000000.0,280691785000000.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,4189458198719.0,3954484814348.0,4610478646830.0,7984360964090.0,9370073582155.0,7669664719122.0,6845819531580.0,9180837000000.0,9964296000000.0,9995718000000.0,15121170000000.0,10628720000000.0,11034451000000.0,11588782000000.0,11342577000000.0,15213892000000.0,17337732000000.0,14512001000000.0,19292811000000.0,15070781000000.0,24772501000000.0,19146085000000.0,19972201000000.0,19925087000000.0,19155652000000.0,20661172000000.0,20959738000000.0,19307872000000.0,17420482000000.0,19936487000000.0,22082436000000.0,23488063000000.0,27680047000000.0,30427024000000.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,3582247903951.0,6285223172463.0,6478940380477.0,4876399107759.0,3953618653519.0,4724788395321.0,8005882247362.0,8793328000000.0,9339081000000.0,8128116000000.0,7413985000000.0,8286689000000.0,9225582000000.0,8991933000000.0,8580578000000.0,8763879000000.0,9439465000000.0,11390830000000.0,14899638000000.0,15497701000000.0,14783310000000.0,15314563000000.0,17038457000000.0,17197498000000.0,16571862000000.0,20207313000000.0,20586548000000.0,23593399000000.0,35921181000000.0,41766680000000.0,54859079000000.0,67413379000000.0,71997498000000.0,123305137000000.0
