item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,52721631000000.0,65114237000000.0,102178073000000.0,16419972000000.0,18974961000000.0,15697917000000.0,32413479000000.0,33323142000000.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,52721631000000.0,65114237000000.0,102178073000000.0,16419972000000.0,18974961000000.0,15697917000000.0,32413479000000.0,33323142000000.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-17989260000000.0,-33744651000000.0,-67644811000000.0,-13954311000000.0,-14789242000000.0,-10539988000000.0,-19660105000000.0,-23571916000000.0
Lợi nhuận gộp,Gross Profit,gross_profit,34732371000000.0,31369586000000.0,34533262000000.0,2465661000000.0,4185719000000.0,5157929000000.0,12753374000000.0,9751226000000.0
Doanh thu hoạt động tài chính,Financial income,financial_income,4813098000000.0,4509708000000.0,7521055000000.0,7899526000000.0,9270664000000.0,4640393000000.0,11308115000000.0,5497628000000.0
Chi phí tài chính,Financial expenses,financial_expenses,-5293024000000.0,-3791950000000.0,-4401612000000.0,-3447484000000.0,-3442563000000.0,-3859512000000.0,-5009869000000.0,-1555046000000.0
Chi phí lãi vay,Interest expenses,interest_expenses,-3967381000000.0,-2561005000000.0,-2419639000000.0,-2699135000000.0,-2453497000000.0,-3641519000000.0,-2972408000000.0,-1508326000000.0
Chi phí bán hàng,Selling expenses,selling_expenses,-482191000000.0,-371877000000.0,-501014000000.0,-447836000000.0,-218237000000.0,-732197000000.0,-784954000000.0,-1628886000000.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-569578000000.0,-941917000000.0,-2637440000000.0,-1230670000000.0,-947726000000.0,-1372522000000.0,-2199712000000.0,-1108582000000.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,33529705000000.0,30774661000000.0,34513915000000.0,5240127000000.0,8848438000000.0,3835055000000.0,16067869000000.0,10956999000000.0
Thu nhập khác,Other incomes,other_incomes,339126000000.0,69600000000.0,158181000000.0,579105000000.0,361757000000.0,272073000000.0,416898000000.0,276225000000.0
Chi phí khác,Other expenses,other_expenses,-1028194000000.0,-117466000000.0,-155050000000.0,-398859000000.0,-177187000000.0,-267649000000.0,-232576000000.0,-396603000000.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-689068000000.0,-47866000000.0,3131000000.0,180246000000.0,184570000000.0,4424000000.0,184322000000.0,-120378000000.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,32840637000000.0,30726795000000.0,34517046000000.0,5420373000000.0,9033008000000.0,3839479000000.0,16252191000000.0,10836621000000.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-6237235000000.0,-5042700000000.0,-6389492000000.0,-598833000000.0,-516061000000.0,-1081215000000.0,-471930000000.0,-3252716000000.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-136807000000.0,-58738000000.0,-105851000000.0,-385899000000.0,-291549000000.0,-106230000000.0,-1307811000000.0,1396215000000.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-6374042000000.0,-5101438000000.0,-6495343000000.0,-984732000000.0,-807610000000.0,-1187445000000.0,-1779741000000.0,-1856501000000.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,26466595000000.0,25625357000000.0,28021703000000.0,4435641000000.0,8225398000000.0,2652034000000.0,14472450000000.0,8980120000000.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,3883445000000.0,73411000000.0,507369000000.0,251712000000.0,717360000000.0,-36920000000.0,2312986000000.0,1114045000000.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,22583150000000.0,25551946000000.0,27514334000000.0,4183929000000.0,7508038000000.0,2688954000000.0,12159464000000.0,7866075000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2749.0,6221.0,6697.0,0.0,1828.0,655.0,2837.0,1806.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,1828.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,371000000.0,1111000000.0,-336000000.0,930000000.0,581000000.0,964000000.0,915000000.0,659000000.0
