item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,96804413963610.0,114930874060944.0,128742276570646.0,132457316789570.0,153900473523258.0,163522165245209.0,166285993086361.0,201493474000000.0,189221713000000.0,185917400000000.0,182768718000000.0,164454221000000.0,162828936000000.0,167653553000000.0,180400355000000.0,163350836000000.0,169506762000000.0,257499676000000.0,269408836000000.0,272222529000000.0,291950102000000.0,279229101000000.0,298026710000000.0,342609157000000.0,350049998000000.0,351053988000000.0,423990500000000.0,396479911000000.0,372183892000000.0,529134246000000.0,590641891000000.0,658772464000000.0,669086072000000.0,825661216000000.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,7547647471744.0,13304249477986.0,15942086048860.0,13558510960848.0,7441890315078.0,23549297107100.0,16526657094574.0,18488606000000.0,10999921000000.0,26969148000000.0,30288635000000.0,28175943000000.0,23042288000000.0,23302535000000.0,21262502000000.0,19653270000000.0,15241944000000.0,42208684000000.0,26449568000000.0,26209213000000.0,17449584000000.0,18445846000000.0,16882015000000.0,29289535000000.0,26653084000000.0,28565428000000.0,27040242000000.0,42582366000000.0,32491938000000.0,74759825000000.0,72150719000000.0,73542242000000.0,54750360000000.0,76395280000000.0
Tiền,Cash,cash,5342724802085.0,5901520385869.0,6120988479153.0,8567731753292.0,6028456570925.0,13277188937271.0,9910083810686.0,7638488000000.0,7161118000000.0,9907075000000.0,9922420000000.0,9085433000000.0,9679176000000.0,11299479000000.0,10100815000000.0,10308050000000.0,6311683000000.0,9358058000000.0,9984506000000.0,7896295000000.0,6034849000000.0,13590996000000.0,10077203000000.0,26522815000000.0,25450736000000.0,27604386000000.0,26731528000000.0,32332352000000.0,30776595000000.0,47085328000000.0,52451984000000.0,35989397000000.0,47992026000000.0,67955145000000.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,2204922669659.0,7402729092117.0,9821097569707.0,4990779207556.0,1413433744153.0,10272108169829.0,6616573283888.0,10850118000000.0,3838803000000.0,17062073000000.0,20366215000000.0,19090510000000.0,13363112000000.0,12003056000000.0,11161687000000.0,9345220000000.0,8930261000000.0,32850626000000.0,16465062000000.0,18312918000000.0,11414735000000.0,4854850000000.0,6804812000000.0,2766720000000.0,1202348000000.0,961042000000.0,308714000000.0,10250014000000.0,1715343000000.0,27674497000000.0,19698735000000.0,37552845000000.0,6758334000000.0,8440135000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,1184473692918.0,1509574585629.0,1446121558696.0,1951597849480.0,1845851929698.0,1050958199431.0,879925574841.0,10419573000000.0,9483443000000.0,870606000000.0,4987739000000.0,11763511000000.0,5969254000000.0,10327516000000.0,7601808000000.0,6758243000000.0,3648828000000.0,6096584000000.0,2196725000000.0,4367612000000.0,7151127000000.0,4919214000000.0,7369738000000.0,5671500000000.0,4416936000000.0,4219258000000.0,6424590000000.0,8718884000000.0,7480260000000.0,9592662000000.0,7918430000000.0,9838444000000.0,19157245000000.0,29033705000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,32369112000.0,0.0,0.0,0.0,0.0,0.0,0.0,9539371000000.0,8582371000000.0,0.0,816435000000.0,6027042000000.0,2290664000000.0,1766496000000.0,3625821000000.0,3605159000000.0,314525000000.0,1859913000000.0,0.0,2352947000000.0,2553013000000.0,351887000000.0,597633000000.0,0.0,0.0,0.0,0.0,3628250000000.0,1500000000000.0,1999420000000.0,0.0,1583614000000.0,0.0,399045000000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-19276072000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3153084000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,28041326092597.0,34734901263518.0,55351270040756.0,48316265888486.0,78463042610957.0,73341336346951.0,64302652242636.0,68076284000000.0,60437375000000.0,62466261000000.0,58665039000000.0,55764939000000.0,59565070000000.0,64858568000000.0,83792891000000.0,74342928000000.0,83585995000000.0,104422003000000.0,129462314000000.0,117446829000000.0,149222786000000.0,144449651000000.0,152023108000000.0,165398901000000.0,177746167000000.0,168284080000000.0,217470663000000.0,190046565000000.0,179643132000000.0,254128765000000.0,267274537000000.0,267209963000000.0,251349280000000.0,316214505000000.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,6411742974800.0,7140428066792.0,6937297829958.0,7746409789506.0,13433637970789.0,9866271941569.0,9311130595215.0,17604445000000.0,13743877000000.0,14018309000000.0,21318145000000.0,16187120000000.0,20581903000000.0,20965183000000.0,21264861000000.0,20112289000000.0,20959204000000.0,20688620000000.0,26994268000000.0,24769272000000.0,35324196000000.0,28129805000000.0,29138185000000.0,27605486000000.0,25461668000000.0,22604404000000.0,27139507000000.0,29080916000000.0,32791295000000.0,29238802000000.0,29339826000000.0,35747342000000.0,36575948000000.0,40364208000000.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,12810631293464.0,18754900136920.0,24120358680296.0,19386853427592.0,31610113339576.0,25971950378443.0,27254170150508.0,19279650000000.0,17955010000000.0,17507318000000.0,16284325000000.0,18340419000000.0,17743218000000.0,18101577000000.0,20028857000000.0,21767291000000.0,30163319000000.0,37192055000000.0,44267122000000.0,38926568000000.0,38536483000000.0,34245504000000.0,36512248000000.0,34411258000000.0,37812849000000.0,36456365000000.0,38449157000000.0,40937213000000.0,52193588000000.0,59998585000000.0,72962931000000.0,84195016000000.0,84629574000000.0,135637373000000.0
