item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,1389390875386.0,1308940512459.0,1330018448498.0,1492760047632.0,1990851586973.0,1845907806535.0,1848209731999.0,1728809880343.0,1651098290613.0,1737369461475.0,1891821430831.0,2098630081539.0,2535597313040.0,2901598109642.0,2977226425919.0,4711549942912.0,5622350933169.0,8507760768765.0,8214486916310.0,8120725819241.0,7850080532358.0,8528658686483.0,8752832929023.0,9041916205385.0,10235478670675.0,10559449824364.0,18170499183659.0,19558155308985.0,20563916458536.0,24339768830051.0,31490793258294.0,33962186395621.0,29395196224922.0,38392165427826.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,62806901511.0,21540399436.0,6264356419.0,3939873002.0,108708576143.0,102732365520.0,2005178895.0,152040947355.0,76419217978.0,152171187094.0,190452381057.0,55551627636.0,52412732399.0,86996922693.0,118621270336.0,80418561952.0,307670345170.0,3357361504794.0,2024913103892.0,1349906924794.0,31527505379.0,20272547435.0,2218180352909.0,139539567122.0,707346070591.0,571174286048.0,4152905571996.0,693527828012.0,487051070917.0,1053870185574.0,909902606614.0,2049092199336.0,970994021164.0,2045847191635.0
Tiền,Cash,cash,62806901511.0,21540399436.0,6264356419.0,3939873002.0,108708576143.0,102732365520.0,2005178895.0,151040947355.0,76419217978.0,152171187094.0,190452381057.0,55551627636.0,52412732399.0,86996922693.0,118621270336.0,80418561952.0,307670345170.0,1357361504794.0,474913103892.0,1349906924794.0,31527505379.0,20272547435.0,2218180352909.0,139539567122.0,707346070591.0,571174286048.0,4152905571996.0,683527828012.0,65051070917.0,303870185574.0,183902606614.0,1179092199336.0,454994021164.0,1545847191635.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000000000.0,1550000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000000.0,422000000000.0,750000000000.0,726000000000.0,870000000000.0,516000000000.0,500000000000.0
Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),Financial assets at fair value through profit or loss (FVTPL),financial_assets_at_fair_value_through_profit_or_loss_fvtpl,671502627054.0,833467118657.0,827175970426.0,1105072872766.0,1387781126087.0,1388820933591.0,1301326756696.0,976968446264.0,1081031203781.0,1178219433500.0,1113797747986.0,1143539350951.0,820213193586.0,1332353062621.0,1082686553075.0,1600450372463.0,2595537105375.0,4380657109208.0,4684947333760.0,4892226747288.0,6064798295528.0,4703103416255.0,3919674174574.0,5791236720624.0,5217800705934.0,5760708664103.0,9285327615442.0,12517051695042.0,12622890206587.0,12921903481741.0,12410159921193.0,14540566904606.0,15041779357528.0,20818693425419.0
Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,Provision for diminution,provision_for_diminution,-420401532.0,-423464673.0,-279830299.0,-129830330.0,-129830330.0,-129830330.0,-3515543511.0,-2754214523.0,-6374856582.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0,-2734405440.0
Tổng các khoản phải thu,Accounts receivable,accounts_receivable,281194203790.0,283828648092.0,76886465563.0,36291812295.0,55224536737.0,28826657647.0,212626269501.0,216020279062.0,240661120671.0,35143307953.0,53174723050.0,31874047287.0,413587519834.0,283426008140.0,40177420157.0,43036713589.0,78260507942.0,66258753323.0,97439129593.0,87153216148.0,190209710207.0,211295588590.0,121553849228.0,104884583146.0,122874073575.0,118210961594.0,497239319837.0,152196410675.0,461134058951.0,241755825235.0,1103051753837.0,1476498666696.0,294800433735.0,277838612458.0
Phải thu khách hàng (Trước năm 2016),Trade accounts receivable (Before 2016),trade_accounts_receivable_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,250190342654.0,136243052224.0,58210739970.0,814192203.0,12749953804.0,334519042.0,175381916291.0,184213869712.0,209293895929.0,3897333535.0,4522966083.0,9082943444.0,15617211699.0,18254630877.0,5903815036.0,13302472500.0,28395014551.0,20059931774.0,18104513584.0,216512500.0,28957500.0,28710000.0,5459642750.0,1013582600.0,577922400.0,702630000.0,633930000.0,330125000.0,16830000.0,180490500.0,4386737200.0,63334000.0,152660683.0,638711133.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu về XDCB (Trước năm 2016),Construction contract in progress receivables (Before 2016),construction_contract_in_progress_receivables_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,135902167.0,160226177.0,226150040.0,132849491.0,167428353.0,104124711.0,108489391.0,430779850.0,401547713.0,390425750.0,81431119.0,96433899.0,94088086.0,90654250.0,115269399.0,198155816.0,242951370.0,92683842.0,80454697.0,310620558.0,149299468.0,136694888.0,304765104.0,203236387.0,385532428.0,214667152.0,180260168.0,6410515074.0,6525398992.0,133257355.0,11155175334.0,11616811588.0,16322745138.0,16327012367.0
Dự phòng nợ khó đòi (Trước năm 2016),Provision for doubtful debts (Before 2016),provision_for_doubtful_debts_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng (Trước năm 2016)","Inventories, Net (Before 2016)",inventories_net_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hàng tồn kho (Trước năm 2016),Inventories (Before 2016),inventories_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá HTK (Trước năm 2016),Provision for decline in inventories (Before 2016),provision_for_decline_in_inventories_before_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản ngắn hạn khác,Other current assets,other_current_assets,770771073.0,887125461.0,685758396.0,549940634.0,1379701540.0,1431008183.0,1110218690.0,952940091.0,1588448708.0,1695502406.0,1569379411.0,895380664.0,1230231484.0,1737876270.0,1006890910.0,201961523.0,998261244.0,11563693703.0,506715105.0,319681643.0,18310010715.0,11810473780.0,4431118635.0,961406701.0,20836920072.0,12954909600.0,4429254137.0,2196981604.0,2529235852.0,3401180605.0,3805349921.0,2475920126.0,3545877677.0,2394989571.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,294726076.0,301499376.0,211896783.0,64664200.0,364444316.0,338796207.0,176403698.0,116660956.0,402538554.0,367751011.0,204447797.0,46752371.0,319909381.0,860498897.0,700391641.0,102670630.0,791410157.0,11462844628.0,404088761.0,257066921.0,18204007097.0,11683774705.0,3885091638.0,529671263.0,20727539183.0,12664381621.0,4182607052.0,1835556715.0,2366676598.0,3142717899.0,3200456109.0,2101026314.0,2553320865.0,1839432759.0
Thuế giá trị gia tăng được khấu trừ,VAT to be claimed,vat_to_be_claimed,53055459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
