item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Năm,,year,2018,2018,2018,2018
Quý,,quarter,1,2,3,4
Mã TTM,Ratio TTM Id,ratioTTMId,2699372,2712957,2715818,2717082
Loại tỷ lệ,Ratio Type,ratioType,RATIO_TTM,RATIO_TTM,RATIO_TTM,RATIO_TTM
Số CP lưu hành (triệu),Outstanding Shares (mil),outstanding_shares,80964583,80964583,80964583,100964583
Vốn hóa,Market Cap,market_cap,526269789500.0,728681247000.0,720584788700.0,848102497200.0
Tỷ suất cổ tức (%),Dividend Yield (%),dividend_yield,0.0,0.0,0.0,0.0
P/E,P/E,pe_ratio,3.9765618155,5.2093226912,2.9452421169,3.1405408613
P/B,P/B,pb_ratio,0.4845332696,0.7409595866,0.659662117,0.7679867263
P/S,P/S,ps_ratio,1.12904209,1.6160683625,1.4142605334,1.8748543013
Giá/ Dòng tiền,Price/Cash Flow,price_to_cash_flow,2.0112036811,2.9583982061,1.6278868593,472.0818206458
EV/EBITDA,EV/EBITDA,ev_to_ebitda,2.2758675478,3.2851271933,2.4163633061,3.2157229982
Hệ số thanh toán tiền,Cash Ratio,cash_ratio,6.9197927846,30.5219224044,5.4163220719,3.594066372
Hệ số thanh toán nhanh,Quick Ratio,quick_ratio,13.0929758916,46.7263502458,8.6434601813,4.8377069688
Hệ số thanh toán hiện hành,Current Ratio,current_ratio,13.0929758916,46.7263502458,8.6434601813,4.8377069688
Vốn chủ sở hữu,Owners Equity,owners_equity,0.0,0.0,0.0,0.0
Nợ/Vốn chủ,Debt/Equity,debtPerEquity,0.0212679045,0.0,0.0732363078,0.0724428218
Nợ trên vốn chủ,Debt to Equity,debt_to_equity,0.4495054857,0.3707601576,0.2526928963,0.3857267869
ROE (%),ROE (%),roe,0.1439755583,0.1480255506,0.2454120505,0.2134727841
ROA (%),ROA (%),roa,0.0898599533,0.0986020781,0.1788765241,0.1517720002
Số ngày phải thu,Days Sales Outstanding,days_sales_outstanding,0.0,0.0,0.0,0.0
Số ngày tồn kho,Days Inventory Outstanding,days_inventory_outstanding,0.0,0.0,0.0,0.0
Số ngày phải trả,Days Payable Outstanding,days_payable_outstanding,34.7854682838,28.244477172,37.4465336595,2.5747582431
Biên LN gộp (%),Gross Margin (%),gross_margin,0.4979466042,0.5141826452,0.6761279968,0.6699958302
Biên EBIT (%),EBIT Margin (%),ebit_margin,0.4509343329,0.4671496715,0.6361727477,0.6236587377
Biên LN trước thuế (%),Pre-tax Profit Margin (%),pre_tax_profit_margin,0.3498580218,0.3846452692,0.5957920475,0.5931502366
Biên LN sau thuế (%),After-tax Profit Margin (%),net_margin,0.2838449754,0.3102261961,0.4801848124,0.4787283012
Vòng quay tài sản,Asset Turnover,asset_turnover,0.3164927704,0.3178393035,0.372515997,0.3170316018
Biên lãi thuần,Net Interest Margin,net_interest_margin,0.0,0.0,0.0,0.0
Lãi suất bình quân tài sản sinh lãi,Avg Yield on Earning Assets,avg_yield_on_earning_assets,0.0,0.0,0.0,0.0
Chi phí vốn bình quân,Avg Cost of Financing,avg_cost_of_financing,0.0,0.0,0.0,0.0
Thu nhập ngoài lãi,Non-interest Income,non_interest_income,0.0,0.0,0.0,0.0
Tỷ lệ CIR,Cost/Income Ratio,cost_to_income_ratio,0.0,0.0,0.0,0.0
Tăng trưởng cho vay (%),Loans Growth (%),loans_growth,0.0,0.0,0.0,0.0
Tăng trưởng tiền gửi (%),Deposit Growth (%),deposit_growth,0.0,0.0,0.0,0.0
Vốn chủ/Tổng nợ,Equity/Total Liabilities,equity_to_liabilities,0.0,0.0,0.0,0.0
Vốn chủ/Cho vay,Equity/Loans,equity_to_loans,0.0,0.0,0.0,0.0
Vốn chủ/Tổng tài sản,Equity/Total Assets,equity_to_assets,0.0,0.0,0.0,0.0
LDR (%),LDR (%),ldr,0.0,0.0,0.0,0.0
Nợ xấu (%),NPL (%),npl,0.0,0.0,0.0,0.0
DP rủi ro/Nợ xấu,Loan Loss Reserves/NPLs,loan_loss_reserves_to_npls,0.0,0.0,0.0,0.0
DP rủi ro/Cho vay,Loan Loss Reserve/Loans,loan_loss_reserve_to_loans,0.0,0.0,0.0,0.0
Trích lập DP/Cho vay,Provision/Outstanding Loans,provision_to_outstanding_loans,0.0,0.0,0.0,0.0
EBIT,EBIT,ebit,210189787031.0,210636637060.0,324138582800.0,282116072973.0
EBITDA,EBITDA,ebitda,212869544386.0,215255241567.0,328725581242.0,286665904151.0
ROIC,ROIC,roic,0.2084382093,0.2141858819,0.2764851603,0.2382094877
Chu kỳ tiền,Cash Cycle,cash_cycle,160.2994917691,150.588115311,137.6460619365,40.2844271415
Vòng quay TS cố định,Fixed Asset Turnover,fixed_asset_turnover,49.3074152202,54.0437446357,70.3656943966,65.1837919388
Đòn bẩy tài chính,Financial Leverage,financial_leverage,0.4495054857,0.3707601576,0.2526928963,0.3857267869
CIR,CIR,cir,0.0,0.0,0.0,0.0
CAR,CAR,car,,,,
Vốn chủ sở hữu,Equity,equity,,,,
Tỷ lệ CASA,CASA Ratio,casa_ratio,,,,
Mã năm tỷ lệ,Ratio Year Id,ratioYearId,,,,
