item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,18807939073686.0,18603578164013.0,19351950848811.0,19789154293867.0,19002091982471.0,21574622210868.0,20844564739132.0,26626471445906.0,22232501052662.0,24349082361336.0,22550649471812.0,24496625289704.0,27353003817452.0,25201802739094.0,26132963139252.0,27375787370013.0,37015308294106.0,34211975809663.0,40400479908669.0,31047872934405.0,33805248016606.0,31481522947844.0,33866777302218.0,37272431505972.0,38743314155395.0,43981809281627.0,43484442786804.0,38577508632397.0,36445843773744.0,40758031639436.0,39859762454987.0,49719146269227.0,50569480123328.0,54485175967747.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,5704781997646.0,4939421469372.0,4890383659238.0,7164923007451.0,5098305305035.0,4915033484217.0,3168319367301.0,6076130859648.0,2459284982899.0,2413573361917.0,2298775806473.0,3054995683706.0,2054231746882.0,1517051455785.0,1638909844223.0,1868273468458.0,2997541558262.0,3042740617895.0,2067794475466.0,1858261735520.0,1982370170345.0,2165034774500.0,2076624028013.0,5050743156638.0,3040653480907.0,2597624069785.0,2060926374159.0,4558984549152.0,2224187878214.0,7148653555458.0,5470360413800.0,10986580442252.0,6950828780635.0,4012519795108.0
Tiền,Cash,cash,1629611997646.0,1340041469372.0,1299973659238.0,3648963007451.0,1169219962569.0,1531737593806.0,1447545935400.0,3823874107200.0,469706345519.0,1774194724537.0,1345897169093.0,1367117046326.0,1512763095605.0,1016582804508.0,553941192946.0,983304817181.0,796091204228.0,1491782466856.0,593528697589.0,895285954496.0,680881578646.0,864583141801.0,752171639478.0,2427790228105.0,1595190188875.0,2042370459573.0,1545672420859.0,4028730256238.0,1711632568348.0,6532339773527.0,5392255096780.0,10899474784599.0,6832216901056.0,2232461098706.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,4075170000000.0,3599380000000.0,3590410000000.0,3515960000000.0,3929085342466.0,3383295890411.0,1720773431901.0,2252256752448.0,1989578637380.0,639378637380.0,952878637380.0,1687878637380.0,541468651277.0,500468651277.0,1084968651277.0,884968651277.0,2201450354034.0,1550958151039.0,1474265777877.0,962975781024.0,1301488591699.0,1300451632699.0,1324452388535.0,2622952928533.0,1445463292032.0,555253610212.0,515253953300.0,530254292914.0,512555309866.0,616313781931.0,78105317020.0,87105657653.0,118611879579.0,1780058696402.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,991400000000.0,1327400000000.0,849250000000.0,816900000000.0,876400000000.0,785400000000.0,546400000000.0,435000000000.0,300000000000.0,404000000000.0,419000000000.0,604000000000.0,1282010000000.0,764110000000.0,714310000000.0,859475421096.0,1458975421096.0,624475421096.0,4475421096.0,687775421096.0,509775421096.0,528875421096.0,558993871096.0,613343871096.0,799022311096.0,2412327124731.0,2672864582042.0,3825833411115.0,3914049999832.0,2438766831924.0,2741766655855.0,2697566655855.0,7572463834560.0,6371592359726.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,1552900000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,0.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0,990000000000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,-119500000000.0,-143150000000.0,-174500000000.0,-315000000000.0,-412000000000.0,-445000000000.0,-555000000000.0,-690000000000.0,-590000000000.0,-575000000000.0,-390000000000.0,-275000000000.0,-230000000000.0,-280000000000.0,-135000000000.0,-110000000000.0,-370000000000.0,0.0,-490000000000.0,-490000000000.0,-470900000000.0,-440800000000.0,-486450000000.0,-486450000000.0,-398750000000.0,-311850000000.0,-386800000000.0,-345000000000.0,-415000000000.0,-405500000000.0,-450000000000.0,-58409090909.0,-330000000000.0
Các khoản phải thu,Accounts receivable,accounts_receivable,11448377365218.0,11647288068785.0,12950021986398.0,11009134433391.0,12230652002429.0,14841449608722.0,16067006684052.0,18985742138634.0,18359305350281.0,20522967870254.0,18907398112367.0,19907228134374.0,23069700170412.0,21973763482188.0,22884713767985.0,23770128605410.0,31697807647375.0,29225680185674.0,36715578213918.0,26928983183585.0,30053949812178.0,27504897102281.0,29945494025486.0,30695940657487.0,33765953784477.0,37753479429286.0,37282593011142.0,27945458314477.0,27918664993135.0,28609119601892.0,29322352263460.0,33547327983359.0,33364235206654.0,40637000261352.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2037249744337.0,1927965547661.0,1884991628779.0,2611097370299.0,6712755644433.0,4099831626438.0,4891762014848.0,7605143637488.0,7659864076913.0,9358850637631.0,8739650523559.0,9195297582821.0,8940589113753.0,9105102605688.0,9901555708319.0,11600873803004.0,12294957001214.0,12049193748853.0,17448681807690.0,14253407756176.0,12536809032034.0,11893179714058.0,11581114031827.0,10721700030917.0,11996591767564.0,13117520196217.0,11577590860856.0,11364962887070.0,12001363866024.0,9650921163878.0,9251556874178.0,13684613276910.0,14826175310447.0,21849190237241.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,590412376835.0,494399485930.0,551959855428.0,583466179446.0,731933010234.0,239884531402.0,81186856050.0,148867979888.0,154476621269.0,160797188556.0,185706636252.0,225782426130.0,185116011655.0,295276884849.0,642408653853.0,653240344019.0,192010787577.0,1141164788288.0,2484236967027.0,2064286286755.0,3005345557323.0,676998742149.0,898271530747.0,1958751910473.0,1751527323694.0,2507703366912.0,2178026901431.0,769368218015.0,995288083611.0,1522599486219.0,1701443187914.0,1874089197800.0,2400051998903.0,2157910225784.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,8331553844046.0,8730601251194.0,10010578110191.0,7314766191646.0,4286158655762.0,9849671090882.0,10593715581154.0,10732248353258.0,10036236796099.0,11003320044067.0,9446698720556.0,9986988481423.0,13943995045004.0,12573383991651.0,12340749405813.0,11516014458387.0,18553839858584.0,15378321648533.0,16120513517701.0,9954289140654.0,13854795222821.0,14277718646074.0,16809108462912.0,17558488716097.0,19541718161426.0,21992691774289.0,23101405797940.0,14404780037999.0,13611194441900.0,16127834309001.0,17063525647723.0,16417802025396.0,16292224007503.0,16784318526947.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-373902439925.0,-85522080878.0,-227365281900.0,-227893851693.0,-230947810499.0,-232885899648.0,-153343970040.0,-154216110199.0,-154418728620.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,331369976976.0,328466753333.0,317942722110.0,421916497061.0,433738248016.0,632756880052.0,589575595705.0,683568930196.0,686629885804.0,708315803535.0,679882809195.0,686565424536.0,701315926654.0,845551080154.0,806392035193.0,811247030655.0,818372525486.0,902967230014.0,905075666273.0,982716071675.0,1028075400318.0,1075114220273.0,1115793253802.0,703384543264.0,962536753065.0,997508725571.0,1151714215562.0,2005435760243.0,2089933853193.0,2328542997582.0,2009708021115.0,2194104588398.0,2302034441653.0,3085052181633.0
Hàng tồn kho,Inventories,inventories,331369976976.0,328466753333.0,317942722110.0,421916497061.0,433738248016.0,632756880052.0,589575595705.0,683568930196.0,686629885804.0,708315803535.0,679882809195.0,686565424536.0,701315926654.0,845551080154.0,806392035193.0,811247030655.0,818372525486.0,902967230014.0,905075666273.0,982716071675.0,1028075400318.0,1075114220273.0,1115793253802.0,703384543264.0,962536753065.0,997508725571.0,1151714215562.0,2005435760243.0,2089933853193.0,2328542997582.0,2009708021115.0,2194104588398.0,2302034441653.0,3085052181633.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,332009733846.0,361001872523.0,344352481065.0,376280355964.0,362996426991.0,399982237877.0,473263092074.0,446029517428.0,427280833678.0,300225325630.0,245592743777.0,243836047088.0,245745973504.0,101326720967.0,88637491851.0,66662844394.0,42611141887.0,416112354984.0,707556131916.0,590136522529.0,231077212669.0,207601429694.0,169872123821.0,209019277487.0,175147825850.0,220869932254.0,316344603899.0,241796597410.0,299007049370.0,232948652580.0,315575100757.0,293566599363.0,379917859826.0,379011369928.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,271565406391.0,304839944044.0,289195062350.0,299977931264.0,307075588283.0,336214114036.0,409003063635.0,382337666788.0,312892361615.0,237218039369.0,212764682824.0,212806066715.0,218999917912.0,78040660959.0,69033435304.0,16306514271.0,2054058132.0,405374717672.0,572272534619.0,440027011417.0,160923448741.0,174089977941.0,134130649124.0,139380803142.0,116140577936.0,170146494075.0,274947415222.0,200408169962.0,275668060465.0,227278697391.0,307585923335.0,276048444208.0,371532446966.0,368887079521.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,70308723.0,976845974.0,966301668.0,441154762.0,1102149228.0,533971429.0,66016548731.0,14635362929.0,340182.0,2665999116.0,3095048009.0,4725439944.0,5721854377.0,50356330123.0,40557083755.0,10228637312.0,135283597297.0,150109511112.0,53063030170.0,11783843260.0,14160075188.0,9006655475.0,7849570477.0,6575843694.0,6767087672.0,6675640802.0,5881134354.0,5669955189.0,5621047839.0,6217436758.0,5707652818.0,5056568343.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,60444327455.0,56161928479.0,55087109992.0,75325578726.0,54954537040.0,63326969079.0,63157879211.0,63157879211.0,48371923332.0,48371923332.0,32827720771.0,28363981257.0,23651007583.0,18560620064.0,13882202170.0,0.0,0.0,0.0,0.0,0.0,17090733758.0,21727608493.0,21581399509.0,60631818870.0,51157677437.0,44147594485.0,34630101005.0,34712786646.0,17457854551.0,0.0,2368129583.0,11300718397.0,2677760042.0,5067722064.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,13582114340036.0,15631985845672.0,15604877678883.0,19433265566768.0,22385118532293.0,21430262235702.0,22301728341075.0,20981887293169.0,24672632357080.0,21968264877554.0,22753771934233.0,22591631380013.0,20144806418136.0,24654093682247.0,24815715760749.0,24408991156547.0,21186686554855.0,28456804772590.0,27069703986459.0,36098931070315.0,35471643896394.0,39743501493825.0,42671722964439.0,47408630772454.0,47084857269199.0,48224115181770.0,50281906529049.0,60737746152196.0,62320259190804.0,71401160226089.0,75368603886802.0,89671864843931.0,92964104205226.0,94607666868548.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,6541174589301.0,8062464594522.0,7881340666188.0,9290437473031.0,13503018744273.0,12122691285431.0,12909933171407.0,12939507707180.0,14656334734962.0,14786717982932.0,15501406488782.0,15410005431192.0,13356427788357.0,17305479530405.0,17069606968185.0,13533579509650.0,12296920928037.0,19353119914000.0,17163956083066.0,22121135796687.0,21258547201406.0,24758058273474.0,27814223329335.0,29649890834721.0,27076668727180.0,27097595166415.0,27784862099134.0,35105699605872.0,33881883037225.0,37481110235148.0,37892488065602.0,28355820604332.0,26086058598867.0,26409640783667.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2905560000000.0,0.0,0.0,3864957000000.0,3771425000000.0,3977091500000.0,3930010008679.0,2013413479000.0,0.0,0.0,4648331762954.0,4734126720660.0,4925884069469.0,5113198948090.0,4941233765415.0,4992139217704.0,4998698191103.0
