item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,19974838548267.0,20818678622022.0,18360115898846.0,20559756794837.0,22040432596172.0,22089274019449.0,22146344620561.0,24721565376552.0,26461638721175.0,30073376341979.0,31541319633765.0,29665725805058.0,32834546632146.0,35042535233833.0,34446542339559.0,36109910649785.0,35452395671778.0,36871285863860.0,34373292456500.0,31560382174201.0,32394853632375.0,33403479517290.0,37680161943052.0,35935879621477.0,35013917574413.0,37332761258942.0,40582371278735.0,37553650065098.0,38407988421683.0,38255091705279.0,38746850813464.0,36261180908033.0,38757016956726.0,40892259162483.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,563392699177.0,1343435279374.0,630784664818.0,1522610167671.0,1209154406312.0,1676491290318.0,1043473767363.0,2665194638452.0,1379711866875.0,2176667357252.0,2335881481579.0,2111242815581.0,1197956795582.0,1663036014269.0,2051857098275.0,2348551874348.0,1680858133124.0,4507497088287.0,2867857717514.0,2299943527624.0,2011202511723.0,1582506692207.0,6875567986039.0,2912027359925.0,1788254863348.0,1198562887528.0,2616234711174.0,2225943732075.0,2538024316626.0,2498443286245.0,5154466367051.0,1794879718871.0,2077596293461.0,4535672366831.0
Tiền,Cash,cash,513392699177.0,808435279374.0,545784664818.0,1072610167671.0,1029154406312.0,826491290318.0,987873767363.0,2378583764655.0,1028411866875.0,2044667357252.0,995896481579.0,863853260384.0,869981048166.0,1261476873446.0,1432929886920.0,1187350251579.0,906974752516.0,1200418415119.0,1904312680816.0,1327429518437.0,925091957178.0,791780310675.0,4244364731244.0,1025487470250.0,790185177929.0,1018562887528.0,1421234711174.0,1877943732075.0,1228704316626.0,2137443286245.0,1427466367051.0,1630879718871.0,2003596293461.0,3763870966831.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,50000000000.0,535000000000.0,85000000000.0,450000000000.0,180000000000.0,850000000000.0,55600000000.0,286610873797.0,351300000000.0,132000000000.0,1339985000000.0,1247389555197.0,327975747416.0,401559140823.0,618927211355.0,1161201622769.0,773883380608.0,3307078673168.0,963545036698.0,972514009187.0,1086110554545.0,790726381532.0,2631203254795.0,1886539889675.0,998069685419.0,180000000000.0,1195000000000.0,348000000000.0,1309320000000.0,361000000000.0,3727000000000.0,164000000000.0,74000000000.0,771801400000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,9661889566014.0,9210770926165.0,7772300444146.0,8673926951890.0,9666846652579.0,9306531479431.0,10238285848104.0,12435744328964.0,14370288608530.0,16363060738340.0,17872002664622.0,17313679774893.0,19542794237097.0,19971222710510.0,19753142693943.0,21025735779475.0,19832829713819.0,18976163363916.0,19533563143705.0,17414055328683.0,16801331801284.0,19083000543582.0,19012123617176.0,20137243800460.0,20268129028720.0,23030876331498.0,25982843560980.0,23260088671767.0,23170818696485.0,22249418458587.0,21133947314899.0,21354863600460.0,23002417266337.0,21967555447949.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,443134964291.0,443143269828.0,443161346585.0,443154262451.0,443154995292.0,443157926658.0,443154506731.0,1153041048.0,1148118350.0,1129064471.0,1128087349.0,1124178861.0,1123201739.0,1129553032.0,1116850446.0,1119781812.0,1122713178.0,1143965582.0,1173034961.0,1159355253.0,1154469643.0,1160332375.0,1195020206.0,1193065962.0,1219936817.0,1244511435.0,1208699914.0,1248322211.0,1257556014.0,1284915430.0,1292048421.0,1288677349.0,1282326057.0,1284231445.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-678242110.0,-683310293.0,-694341044.0,-605728258.0,-606120823.0,-607691084.0,-605859113.0,-840586787.0,-854402660.0,-840223212.0,-839496060.0,-936520806.0,-935706794.0,-940997872.0,-930415716.0,-666201430.0,-667945412.0,-680589288.0,-697883784.0,-689745197.0,-686838559.0,-690326525.0,-710963655.0,-822663402.0,-841191857.0,-876198857.0,-850984254.0,-920681738.0,-927498172.0,-1052578600.0,-1058421812.0,-849021293.0,-844836861.0,-817155511.0
Các khoản phải thu,Accounts receivable,accounts_receivable,5175991528051.0,5149241546227.0,5460673084444.0,4639447900101.0,5520731708608.0,5391295160818.0,5699702616339.0,4503154728959.0,4711713537853.0,5674690836392.0,5976863349617.0,5187253172150.0,5320350430335.0,6370305908925.0,6118496933219.0,5822028742791.0,6024628344054.0,6040009761668.0,5954158809895.0,6100402870854.0,6619266952011.0,6142392930802.0,5931433000484.0,6529705184034.0,5868614319329.0,6344861898250.0,5606208371600.0,6233758612009.0,5469228387577.0,6147236082985.0,5910568513570.0,6027719081073.0,5591443574678.0,5949416079195.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,4012596156588.0,3743264814054.0,4235883096045.0,3380017354930.0,4251244955578.0,4115244550066.0,4296365444224.0,3474498518959.0,3742853911024.0,4399627020704.0,4609296981692.0,4173563213813.0,3946331935127.0,4603103630069.0,4459917129465.0,4367766482060.0,4593058625517.0,4599132964101.0,4551764192610.0,4633942510271.0,4960431442318.0,4504795196787.0,4432011912404.0,4808183557645.0,4665002106326.0,5132578641172.0,4528319895015.0,4793132726166.0,4116404286198.0,4539163648054.0,4813124478938.0,4701653413423.0,4883108025108.0,5150211936876.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,696320345390.0,985009857695.0,793597136008.0,876158254325.0,824642255092.0,764793333218.0,760510957858.0,576013061394.0,388901000559.0,540579362752.0,475798169117.0,546236562342.0,653239283565.0,976845401593.0,866059864322.0,655822646219.0,656413782366.0,572608294056.0,584122702158.0,589439884812.0,799563355449.0,762802524795.0,633286108202.0,655619313409.0,414596137009.0,339915869823.0,367957536152.0,566479222775.0,438005266850.0,596144052565.0,320501373067.0,443955080617.0,399014486833.0,513178822738.0
