item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,18855657057945.0,16177992148783.0,17045421378817.0,16968084097983.0,16744609675338.0,12965404856436.0,15485051436522.0,15548707382507.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-8309592957.0,-29334277160.0,-11868972863.0,-14852560120.0,-20012195784.0,-30899523580.0,-7978311081.0,-11370069034.0
Doanh thu thuần,Net sales,net_sales,18847347464988.0,16148657871623.0,17033552405954.0,16953231537863.0,16724597479554.0,12934505332856.0,15477073125441.0,15537337313473.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-10643261509232.0,-9252731827546.0,-10143535412610.0,-9865934701695.0,-9702919554414.0,-7724022892977.0,-9267382480456.0,-9135891859183.0
Lợi nhuận gộp,Gross Profit,gross_profit,8204085955756.0,6895926044077.0,6890016993344.0,7087296836168.0,7021677925140.0,5210482439879.0,6209690644985.0,6401445454290.0
Doanh thu hoạt động tài chính,Financial income,financial_income,426283158190.0,386473829446.0,358341189804.0,395840396288.0,376333100451.0,366337215645.0,394631907537.0,430476492135.0
Chi phí tài chính,Financial expenses,financial_expenses,-147341998794.0,-154556282718.0,-107566612631.0,-91354486972.0,-109547632124.0,-41765368480.0,-140107172656.0,-97962433824.0
Chi phí lãi vay,Interest expenses,interest_expenses,-116087966581.0,-118301437284.0,-89980184766.0,-75464626344.0,-85204331624.0,-75155207673.0,-66109861870.0,-62624826693.0
Chi phí bán hàng,Selling expenses,selling_expenses,-4104010852782.0,-3724703172095.0,-3186832400615.0,-3573752079537.0,-3711347500232.0,-3169757183300.0,-3351121538996.0,-3336422575566.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-520564179761.0,-459769658861.0,-545076497173.0,-465785970174.0,-462277916899.0,-430929441463.0,-554570624982.0,-421729399873.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,3908962379225.0,2991830566118.0,3432867145001.0,3157752824075.0,3118598303706.0,1950556716681.0,2581919225696.0,2970748116715.0
Thu nhập khác,Other incomes,other_incomes,12458764063.0,41379503759.0,128002667372.0,37389682775.0,32160581071.0,48165047774.0,121552139821.0,37227938682.0
Chi phí khác,Other expenses,other_expenses,-22248441789.0,-18813601301.0,-83869930287.0,-69541892798.0,-54670351500.0,-47425568932.0,-60102594612.0,-66174414919.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-9789677726.0,22565902458.0,44132737085.0,-32152210023.0,-22509770429.0,739478842.0,61449545209.0,-28946476237.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,3899172701499.0,3014396468576.0,3476999882086.0,3125600614052.0,3096088533277.0,1951296195523.0,2643368770905.0,2941801640478.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-740564247640.0,-508834009350.0,-688334808992.0,-644325193049.0,-613806796858.0,-326819068821.0,-555142311297.0,-573837659232.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,25793187889.0,-47341456694.0,38533967838.0,29257322200.0,6302943861.0,-37203858648.0,58564884369.0,35189074022.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-714771059751.0,-556175466044.0,-649800841154.0,-615067870849.0,-607503852997.0,-364022927469.0,-496577426928.0,-538648585210.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,3184401641748.0,2458221002532.0,2827199040932.0,2510532743203.0,2488584680280.0,1587273268054.0,2146791343977.0,2403153055268.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,17370511336.0,29501189428.0,-13168560770.0,-16233815688.0,13999382282.0,18791079953.0,23142075495.0,-366049616.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,3167031130412.0,2428719813104.0,2840367601702.0,2526766558891.0,2474585297998.0,1568482188101.0,2123649268482.0,2403519104884.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1369.0,1051.0,1224.0,1084.0,1046.0,674.0,908.0,1032.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,50510296616.0,48459806269.0,23984472272.0,-194491871698.0,3760327370.0,16189054400.0,23396009808.0,-5059420447.0
