item,item_en,item_id,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1682514000000.0,5034196000000.0,5237147000000.0,2434319000000.0,2973152000000.0,2946477000000.0,3111001000000.0,6525798000000.0,3501120000000.0,3326112000000.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-769000000.0,-4520000000.0,-5896000000.0,-842000000.0,-2506000000.0,-4627000000.0,-9897000000.0,-302000000.0,-16017000000.0,-16566000000.0
Doanh thu thuần,Net sales,net_sales,1681745000000.0,5029676000000.0,5231251000000.0,2433477000000.0,2970646000000.0,2941850000000.0,3101104000000.0,6525496000000.0,3485103000000.0,3309546000000.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1435789000000.0,-3612051000000.0,-4522426000000.0,-1942803000000.0,-2153007000000.0,-2174196000000.0,-2281643000000.0,-3535911000000.0,-2318253000000.0,-2151570000000.0
Lợi nhuận gộp,Gross Profit,gross_profit,245956000000.0,1417625000000.0,708825000000.0,490674000000.0,817639000000.0,767654000000.0,819461000000.0,2989585000000.0,1166850000000.0,1157976000000.0
Doanh thu hoạt động tài chính,Financial income,financial_income,3264468000000.0,28285000000.0,563293000000.0,408275000000.0,514555000000.0,475386000000.0,498999000000.0,472191000000.0,1974798000000.0,935945000000.0
Chi phí tài chính,Financial expenses,financial_expenses,-509254000000.0,-472190000000.0,-262378000000.0,-496509000000.0,-429204000000.0,-512514000000.0,-499790000000.0,-2243356000000.0,-2308295000000.0,-710558000000.0
Chi phí lãi vay,Interest expenses,interest_expenses,-234939000000.0,-218797000000.0,-392834000000.0,-479211000000.0,-292265000000.0,-286584000000.0,-306579000000.0,-335918000000.0,-382300000000.0,-101536000000.0
Chi phí bán hàng,Selling expenses,selling_expenses,-101500000000.0,-142942000000.0,-171145000000.0,-201982000000.0,-223576000000.0,-42149000000.0,-217317000000.0,-43920000000.0,-146419000000.0,-131744000000.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-324470000000.0,-440144000000.0,-206017000000.0,-693847000000.0,-451068000000.0,-482735000000.0,-456226000000.0,-677284000000.0,-595775000000.0,-518434000000.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,2575200000000.0,390634000000.0,632578000000.0,-493389000000.0,228346000000.0,205642000000.0,145127000000.0,497216000000.0,91159000000.0,733185000000.0
Thu nhập khác,Other incomes,other_incomes,6776000000.0,15755000000.0,75318000000.0,-49987000000.0,57306000000.0,31345000000.0,9777000000.0,-3994000000.0,1750631000000.0,2184000000.0
Chi phí khác,Other expenses,other_expenses,-43656000000.0,-39705000000.0,-107609000000.0,-21661000000.0,-118240000000.0,-23697000000.0,-9686000000.0,-2310000000.0,-22700000000.0,-35784000000.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-36880000000.0,-23950000000.0,-32291000000.0,-71648000000.0,-60934000000.0,7648000000.0,91000000.0,-6304000000.0,1727931000000.0,-33600000000.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,2538320000000.0,366684000000.0,600287000000.0,-565037000000.0,167412000000.0,213290000000.0,145218000000.0,490912000000.0,1819090000000.0,699585000000.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-244709000000.0,-219465000000.0,-352864000000.0,32969000000.0,-103625000000.0,-79388000000.0,-3767000000.0,177558000000.0,-336480000000.0,-127983000000.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-51617000000.0,189680000000.0,258653000000.0,-2867000000.0,26599000000.0,34506000000.0,27885000000.0,5094000000.0,25500000000.0,60251000000.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-296326000000.0,-29785000000.0,-94211000000.0,30102000000.0,-77026000000.0,-44882000000.0,24118000000.0,182652000000.0,-310980000000.0,-67732000000.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,2241994000000.0,336899000000.0,506076000000.0,-534935000000.0,90386000000.0,168408000000.0,169336000000.0,673564000000.0,1508110000000.0,631853000000.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,10000000.0,152000000.0,157000000.0,-9000000.0,52000000.0,38000000.0,45000000.0,-7000000.0,27000000.0,36000000.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,2241984000000.0,336747000000.0,505919000000.0,-534926000000.0,90334000000.0,168370000000.0,169291000000.0,673571000000.0,1508083000000.0,631817000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1422.0,141.0,0.0,-330.0,51.0,94.0,0.0,378.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
