item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,13339606720807.0,10217477751859.0,7612490700119.0,7122640820313.0,5716028161779.0,4815223289934.0,5636025386100.0,4368190000000.0,5287694000000.0,8162385000000.0,9770627000000.0,7099011000000.0,5936580000000.0,5708358000000.0,5911228000000.0,7896580000000.0,7044190000000.0,7065392000000.0,7165237000000.0,10481806000000.0,11909878000000.0,12223422000000.0,13022665000000.0,10036448000000.0,11393460000000.0,12383653000000.0,12589361000000.0,12312424000000.0,12922667000000.0,14764329000000.0,13768246000000.0,7961052000000.0,8182621000000.0,9168895000000.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1404510417149.0,1532281471765.0,2325004793606.0,2431380824439.0,1112607743953.0,702379310803.0,1383196409294.0,1388344000000.0,2054379000000.0,4105252000000.0,2225517000000.0,3050907000000.0,3013452000000.0,2309153000000.0,2689495000000.0,3297060000000.0,3888543000000.0,4900731000000.0,4133898000000.0,7019648000000.0,7295225000000.0,7515430000000.0,6766117000000.0,4101549000000.0,2921399000000.0,1003225000000.0,3426879000000.0,2884680000000.0,2916158000000.0,5235253000000.0,2808595000000.0,4434617000000.0,3788657000000.0,5707705000000.0
Tiền,Cash,cash,283790581724.0,762713467941.0,569810606175.0,501380824439.0,932607743953.0,182379310803.0,713196409294.0,1368344000000.0,2034379000000.0,1885252000000.0,1105517000000.0,1030907000000.0,1067373000000.0,547800000000.0,427855000000.0,1788884000000.0,625258000000.0,695717000000.0,1624078000000.0,180901000000.0,157678000000.0,5494882000000.0,2570946000000.0,4051549000000.0,1062109000000.0,1003225000000.0,3426879000000.0,2884680000000.0,2916158000000.0,4835253000000.0,608595000000.0,3034617000000.0,3788657000000.0,2582264000000.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1120719835425.0,769568003824.0,1755194187431.0,1930000000000.0,180000000000.0,520000000000.0,670000000000.0,20000000000.0,20000000000.0,2220000000000.0,1120000000000.0,2020000000000.0,1946079000000.0,1761353000000.0,2261640000000.0,1508176000000.0,3263285000000.0,4205014000000.0,2509820000000.0,6838747000000.0,7137547000000.0,2020548000000.0,4195171000000.0,50000000000.0,1859290000000.0,0.0,0.0,0.0,0.0,400000000000.0,2200000000000.0,1400000000000.0,0.0,3125441000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,60181546761.0,14982629666.0,14982629666.0,701416674850.0,701416674850.0,76125309785.0,85357763534.0,88537000000.0,88862000000.0,64716000000.0,1893283000000.0,1894314000000.0,1108729000000.0,674165000000.0,174517000000.0,190424000000.0,292484000000.0,293313000000.0,93555000000.0,97426000000.0,97924000000.0,99541000000.0,2039803000000.0,1070978000000.0,1017357000000.0,1449460000000.0,1458104000000.0,125918000000.0,126098000000.0,127528000000.0,1134172000000.0,133239000000.0,133645000000.0,134961000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,3886015542554.0,1129069356921.0,1226188264388.0,1047919405624.0,1049460122669.0,1292915998297.0,1321439451937.0,724237000000.0,782997000000.0,1542202000000.0,1671928000000.0,1532703000000.0,1451733000000.0,1313544000000.0,1630616000000.0,1487714000000.0,1034464000000.0,1222234000000.0,1253786000000.0,1351642000000.0,1354646000000.0,1462240000000.0,1790289000000.0,1612789000000.0,4321763000000.0,4184154000000.0,1941936000000.0,2016405000000.0,2586953000000.0,2069206000000.0,3756420000000.0,2885735000000.0,3277884000000.0,2719932000000.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,596332263364.0,444121937830.0,507961353058.0,444767619024.0,402767869945.0,409216659502.0,516732861105.0,431915000000.0,489302000000.0,924711000000.0,967395000000.0,817997000000.0,1212853000000.0,1134012000000.0,1462495000000.0,1166709000000.0,959915000000.0,1090769000000.0,998384000000.0,1062283000000.0,1081452000000.0,1178885000000.0,1339841000000.0,1460717000000.0,1455796000000.0,1663385000000.0,1709826000000.0,1674317000000.0,1558111000000.0,1506211000000.0,1452512000000.0,1319815000000.0,1324501000000.0,1206800000000.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,216186342947.0,291094202373.0,280147101446.0,282451398435.0,246716853484.0,419448497910.0,229301430045.0,121081000000.0,116345000000.0,436251000000.0,119890000000.0,97136000000.0,79423000000.0,68715000000.0,49098000000.0,42620000000.0,36571000000.0,110524000000.0,128517000000.0,99471000000.0,70291000000.0,54479000000.0,68093000000.0,77967000000.0,80999000000.0,65954000000.0,116238000000.0,94909000000.0,126236000000.0,138775000000.0,1244041000000.0,1298757000000.0,1254859000000.0,1268177000000.0
