item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,523289582750.0,568201105990.0,562175898323.0,603188940958.0,677462834184.0,679027979927.0,637585099218.0,635586906677.0,694418832744.0,805956898269.0,856308646073.0,895757954126.0,943338885848.0,996102782924.0,947191269322.0,1442493727604.0,1560536143749.0,1228245507797.0,1323552873062.0,1305795538303.0,1409037526271.0,1155329892754.0,1241097341198.0,1338882873206.0,1534930595272.0,3551337411765.0,2273841866477.0,1811557308602.0,2184149555149.0,2856221396120.0,5505921438547.0,4001843016254.0,3771657618095.0,3145692272845.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,238737048891.0,251086942664.0,238259920395.0,279499935132.0,302182182353.0,257366875118.0,276170447661.0,296857516444.0,286238106150.0,377261271286.0,407650658908.0,493382114203.0,553500233366.0,537418085454.0,518534599625.0,1013594183927.0,1061914956701.0,582677585670.0,460191086085.0,360383344706.0,562194548070.0,330747178714.0,308834851881.0,370506274358.0,556699581545.0,655668705735.0,600764730236.0,546631384396.0,883423559831.0,676759173937.0,793464302669.0,915803506493.0,1112834564753.0,762183493645.0
Tiền,Cash,cash,98487048891.0,115674407431.0,92009920395.0,91049935132.0,86982182353.0,87966875118.0,120220447661.0,178411744063.0,97053452926.0,123442429244.0,138896483429.0,119703575821.0,176349720467.0,105343614099.0,308122675341.0,651672196498.0,109797813816.0,116853100796.0,119289786085.0,80590591281.0,325223629254.0,150633485436.0,136084851881.0,135606274358.0,384898581545.0,336085705735.0,471309730236.0,340111384396.0,393723559831.0,325290173937.0,369424302669.0,491503506493.0,606634564753.0,511972931311.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,140250000000.0,135412535233.0,146250000000.0,188450000000.0,215200000000.0,169400000000.0,155950000000.0,118445772381.0,189184653224.0,253818842042.0,268754175479.0,373678538382.0,377150512899.0,432074471355.0,210411924284.0,361921987429.0,952117142885.0,465824484874.0,340901300000.0,279792753425.0,236970918816.0,180113693278.0,172750000000.0,234900000000.0,171801000000.0,319583000000.0,129455000000.0,206520000000.0,489700000000.0,351469000000.0,424040000000.0,424300000000.0,506200000000.0,250210562334.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4404993916.0,3856217217.0,3300000000.0,3300000000.0,3300000000.0,3300000000.0,3300000000.0,3300000000.0,22506264383.0,69400000000.0,69400000000.0,7500000000.0,22500000000.0,61500000000.0,46500000000.0,98700000000.0,155700000000.0,255018900000.0,284036439500.0,239367439500.0,111367439500.0,264148000000.0,413826714686.0,425016299943.0,469863293757.0,51883578552.0,968931033587.0,806333297341.0,853380702240.0,1721383996451.0,2411895018646.0,1337461753773.0,933621974586.0,1100486655434.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215461708500.0,29683578552.0,712541033587.0,546648172508.0,692356007368.0,1404542928928.0,2073537528367.0,975849648647.0,631923142454.0,715775545166.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26064875167.0,-11125305128.0,-2308932477.0,-13502509721.0,-64547894874.0,-50461167868.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,190829627535.0,216446552892.0,217463526428.0,201087531144.0,232324032229.0,299434053404.0,231319278783.0,211129622961.0,258375772602.0,215618760067.0,246849946656.0,268111036427.0,235245786875.0,245451745380.0,245946098619.0,232334387079.0,245554657414.0,279353197185.0,462878924955.0,560177830176.0,599456379288.0,434425753404.0,431391845888.0,459992517275.0,421918186662.0,2744767483791.0,606625885186.0,354874936762.0,336164556041.0,348420871459.0,2188142886985.0,1633399016771.0,1608248475669.0,1119375630833.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,165841842927.0,184726401497.0,188392612122.0,177181302169.0,199890204510.0,256971148931.0,193739867123.0,176467954758.0,220301356000.0,180639862531.0,199888019660.0,193832261311.0,199833922737.0,221294821787.0,220830575434.0,210870194878.0,203092824303.0,241429821816.0,166926731733.0,189203945748.0,171444908546.0,204039063759.0,229796518541.0,205263011710.0,206694904252.0,306664694204.0,255299695231.0,236744183566.0,229779044357.0,262209502539.0,246339880512.0,214386592272.0,222107845689.0,221139679303.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,5583988397.0,7183488978.0,3407215462.0,5118028409.0,7321759164.0,5911963772.0,5264405878.0,5165933846.0,14574487506.0,10257063920.0,13577164282.0,41665304537.0,8884305117.0,4322746132.0,2714231626.0,2890481699.0,7640248193.0,10969426754.0,67017283749.0,8315243630.0,7495345183.0,6851897276.0,12131486755.0,13578690375.0,25025462752.0,22298904863.0,36925090068.0,18808589913.0,26804944326.0,18346837122.0,954783645488.0,10100939450.0,169947291151.0,23122885324.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,20353358582.0,25564568383.0,26691604810.0,20024658232.0,26348526221.0,37787398367.0,33551463448.0,30897766464.0,24901961203.0,25831526898.0,34494455996.0,33424268661.0,27338357103.0,20644975543.0,23212089641.0,19515398464.0,35763272880.0,27895636577.0,229758268914.0,363668499880.0,421525984641.0,225114254472.0,191043302695.0,243187989027.0,191998336453.0,2418253058561.0,317419876744.0,103073509674.0,83331913749.0,71796011357.0,991221040296.0,1413623208215.0,1220905061995.0,879846186438.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-949562371.0,-1027905966.0,-1027905966.0,-1236457666.0,-1236457666.0,-1236457666.0,-1236457666.0,-1402032107.0,-1402032107.0,-1109693282.0,-1109693282.0,-810798082.0,-810798082.0,-810798082.0,-810798082.0,-941687962.0,-941687962.0,-941687962.0,-823359441.0,-1009859082.0,-1009859082.0,-1579462103.0,-1579462103.0,-2037173837.0,-1800516795.0,-2449173837.0,-3018776857.0,-3751346391.0,-3751346391.0,-3931479559.0,-4201679311.0,-4711723166.0,-4711723166.0,-4733120232.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,17548763221.0,21132774429.0,21710838617.0,20523627223.0,20673553009.0,25294888951.0,31558280030.0,26441771941.0,25045146802.0,25351392869.0,25719938117.0,24491086794.0,25433803234.0,31349172022.0,24327830215.0,21111762403.0,24668971767.0,26331301848.0,26697323555.0,28028085828.0,28701553073.0,27459665954.0,28366508942.0,29065056002.0,28577744733.0,28467820753.0,37903816353.0,47470252892.0,45730681211.0,44757119623.0,50391321957.0,49550512891.0,54369706166.0,60564318137.0
Hàng tồn kho,Inventories,inventories,17548763221.0,21132774429.0,21710838617.0,20523627223.0,20673553009.0,25294888951.0,31558280030.0,26441771941.0,25045146802.0,25351392869.0,25719938117.0,24491086794.0,25433803234.0,31349172022.0,24327830215.0,21111762403.0,24668971767.0,26331301848.0,26697323555.0,28028085828.0,28701553073.0,27459665954.0,28366508942.0,29065056002.0,28577744733.0,28467820753.0,37903816353.0,47470252892.0,45730681211.0,44757119623.0,50391321957.0,49550512891.0,54369706166.0,60564318137.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,71769149187.0,75678618788.0,81441612883.0,98777847459.0,118983066593.0,93632162454.0,95237092744.0,97857995331.0,102253542807.0,118325474047.0,106688102392.0,102273716702.0,106659062373.0,120383780068.0,111882740863.0,76753394195.0,72697557867.0,84864523094.0,89749098967.0,117838838093.0,107317606340.0,98549294682.0,58677419801.0,54302725628.0,57871788575.0,70549822934.0,59616401115.0,56247437211.0,65450055826.0,64900234650.0,62027908290.0,65628226326.0,62582896921.0,103082174796.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,4412443878.0,5285139596.0,7792374767.0,25248316993.0,20454092183.0,12656839323.0,11607723440.0,13490869061.0,19684464580.0,34428850732.0,23949418126.0,19729626832.0,18840404817.0,30739625400.0,24817761238.0,22926052350.0,21767683648.0,34107916403.0,42169705727.0,43834422724.0,37673551912.0,34841506497.0,21433375310.0,17300447246.0,20231391690.0,31848843597.0,21395837178.0,17693351014.0,17807524952.0,17947750269.0,15955315501.0,19972440801.0,19287868485.0,18161882228.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,67308380306.0,70313758779.0,73640964121.0,73521240175.0,75623956936.0,80810438478.0,83563530033.0,84367126270.0,82429922358.0,83555170367.0,82679714050.0,81745639134.0,87816965913.0,89582656018.0,87044625191.0,52585960594.0,50169603006.0,49743593950.0,46068240392.0,72734567536.0,67989402845.0,62466596911.0,35867393187.0,35389709327.0,35053830720.0,36835776086.0,35214554107.0,35639643041.0,46303756798.0,45631288779.0,44493510953.0,45501162531.0,42866461002.0,84598461939.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,48325003.0,79720413.0,8273995.0,8290291.0,22905017474.0,164884653.0,65839271.0,0.0,139155869.0,341452948.0,58970216.0,798450736.0,1691643.0,61498650.0,20354434.0,1241381251.0,760271213.0,1013012741.0,1511152848.0,1269847833.0,1654651583.0,1241191274.0,1376651304.0,1612569055.0,2586566165.0,1865203251.0,3006009830.0,2914443156.0,1338774076.0,1321195602.0,1579081836.0,154622994.0,428567434.0,321830629.0
