symbol,sector,price,ma20,ma50,ma200,rsi,vol_ratio,cur_vol,vol_ma20,ret_1w,ret_1m,ret_3m,ret_6m,high_18m,low_18m,pos_18m,is_above_ma20,is_above_ma50,is_golden_cross,is_vol_breakout,bounce_from_low,has_fvg,has_displacement,macd_hist,total_score
BSR,Dầu khí,27650.0,25843.0,25202.2,23864.8,68.71008939974458,0.5372035726059504,4955100,9223877.6,1.6544117647058876,15.304420350291913,0.9492515516611899,-21.448863636363637,39160.0,8910.0,61.9504132231405,True,True,True,False,18.975903614457824,True,True,200.12788590661927,92.0
SSI,Dịch vụ tài chính,21250.0,19635.0,20246.0,22757.0,69.82968369829683,0.7064695953207802,14450600,20454666.55,8.974358974358964,15.614798694232856,-1.5291936978683918,-20.649738610903658,31530.0,14630.0,39.171597633136095,True,True,False,False,22.549019607843146,True,True,199.9709559163522,88.0
DPM,Hóa chất,22650.0,21917.5,21772.8,23563.2,55.69620253164557,0.5693635565758574,1424600,2502092.0,4.377880184331806,6.789250353606779,-3.821656050955413,-20.693277310924373,33520.0,14220.0,43.67875647668394,True,True,True,False,9.951456310679617,True,False,68.11578873845076,86.0
GAS,"Điện, Nước & Khí đốt",85700.0,75920.0,75810.0,82073.5,76.15894039735099,0.5931268919308054,844500,1423810.0,2.6347305389221587,27.910447761194025,4.257907542579065,-28.404344193817877,131500.0,47820.0,45.267686424474185,True,True,True,False,29.652042360060516,True,True,1319.384406694759,86.0
GEX,Hàng & Dịch vụ công nghiệp,26600.0,24422.5,26331.0,27994.0,62.96296296296296,0.3680715193723161,4441600,12067220.0,6.827309236947787,27.27272727272727,-14.193548387096778,7.3013311819281945,45310.0,11330.0,44.938198940553264,True,True,False,False,35.0253807106599,True,True,351.07266689390536,84.0
MBB,Ngân hàng,20950.0,19899.0,19883.4,20431.4,62.10937499999999,0.2995669414918527,3786900,12641248.0,5.012531328320802,13.55013550135502,6.129685916919958,-3.3225657591139823,23630.0,11690.0,77.55443886097152,True,True,True,False,17.82902137232847,True,False,113.82827644213603,84.0
GVR,Hóa chất,32850.0,30067.5,30832.0,32486.05,70.8133971291866,0.4784275260379696,1112100,2324490.0,2.6562500000000044,24.667931688804543,-5.057803468208089,-18.988902589395806,46500.0,21390.0,45.639187574671446,True,True,False,False,28.57142857142858,True,False,368.81882925108556,84.0
GEL,Xây dựng & Vật liệu,30550.0,28765.0,29030.0,32165.298507462685,61.42857142857143,0.2582457257546381,681300,2638185.0,5.344827586206891,28.631578947368432,-1.4516129032258074,-14.18539325842697,42600.0,22250.0,40.78624078624078,True,True,False,False,37.303370786516844,True,True,171.67615796703916,84.0
OIL,Dầu khí,14000.0,13300.0,13438.0,14082.5,66.66666666666666,1.4278509577987297,1670400,1169870.0,3.703703703703698,7.692307692307687,-4.109589041095896,-36.073059360730596,26100.0,7940.0,33.370044052863435,True,True,False,True,11.111111111111116,False,True,78.68317054314232,82.0
DXG,Bất động sản,11700.0,10942.5,11644.4,13417.25,61.76470588235294,0.48802227711221763,4653900,9536245.0,5.882352941176472,14.146341463414625,-8.949416342412453,-5.416329830234434,21490.0,9220.0,20.211898940505296,True,True,False,False,19.877049180327866,True,False,127.61761579479489,81.0
NVL,Bất động sản,13500.0,13337.5,12906.0,13159.0,52.17391304347826,0.1572143074382692,2468300,15700225.0,2.2727272727272707,4.247104247104239,2.195306585919754,30.183220829315328,19530.0,7330.0,50.57377049180328,True,True,True,False,9.756097560975618,True,False,-30.748280136917245,81.0
PLX,Dầu khí,38650.0,35340.5,35084.0,39979.85,72.03389830508475,0.5473955558528619,1649700,3013725.6,1.8445322793148922,22.4263541336712,3.0391895494534804,-38.12039705411463,67960.0,28910.0,24.94238156209987,True,True,True,False,25.487012987012992,True,True,438.4926743036285,81.0
MSR,Tài nguyên cơ bản,44900.0,39755.0,38330.0,36403.0,79.38144329896907,0.8531781770725357,1255200,1471205.0,5.89622641509433,23.691460055096414,16.020671834625322,3.218390804597693,57000.0,10400.0,74.0343347639485,True,True,True,False,28.65329512893984,True,False,601.0768386662958,81.0
HCM,Dịch vụ tài chính,26750.0,25537.5,24820.8,21843.4,64.86486486486487,0.39280806653448413,1704900,4340287.65,6.573705179282863,5.731225296442677,16.405570060922535,26.657196969696972,27350.0,15130.0,95.0900163666121,True,True,True,False,10.53719008264462,True,True,29.380502955844776,80.0
PVD,Dầu khí,19400.0,18325.0,18783.2,18674.65,66.66666666666666,1.0116226884490478,2862700,2829810.0,4.86486486486486,5.722070844686655,10.667427267541353,-23.380726698262244,27260.0,9730.0,55.162578436965205,True,True,False,False,9.915014164305958,True,False,125.77327029037593,79.0
MWG,Bán lẻ,74900.0,71835.0,73910.6,80078.1,62.50000000000001,0.12780084440143535,487000,3810616.45,2.8846153846153744,16.666666666666675,-2.359535914483113,-10.727056019070325,92960.0,44410.0,62.80123583934088,True,True,False,False,21.70945726356841,True,False,484.6754091478827,79.0
BID,Ngân hàng,37250.0,35775.0,36830.6,38586.85,66.47058823529412,0.3090550068088526,1246800,4034233.3,3.472222222222232,13.39421613394216,-3.447382063245208,-9.32327166504382,52370.0,28550.0,36.523929471032744,True,True,False,False,15.86314152410575,True,False,211.47227380704152,79.0
PVT,Hàng & Dịch vụ công nghiệp,20750.0,19185.0,19049.0,19222.65,74.6987951807229,0.25018345565745503,1024500,4094995.0,1.7156862745097978,24.624624624624623,5.921388463501787,-20.467612111920275,29730.0,12810.0,46.92671394799054,True,True,True,False,29.283489096573213,True,False,202.02959700595812,79.0
TCB,Ngân hàng,31650.0,30440.0,31332.0,32408.55,66.94915254237289,0.16593495355357862,2397400,14447830.0,2.593192868719618,11.05263157894736,-0.7836990595611271,0.3487634749524515,41130.0,21280.0,52.24181360201511,True,True,False,False,13.848920863309356,True,False,191.18999040940173,79.0
